site_code/Field No.	Site	plot_number	CU Code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
1	Whitelands_2018/19_	Q1	CU0146	2018	3	SU2990087100	"51.581972, -1.5698756"	seed_mix	8.03	136.4	0	0	1	1
	Whitelands_2018/19_	Q4	CU0147	2018	3	SU2990087100	"51.581972, -1.5698756"	seed_mix	8.03	136.4	0	0	1	1
	Whitelands_2018/19_	Q7	CU0148	2018	3	SU2990087100	"51.581972, -1.5698756"	seed_mix	8.03	136.4	0	0	1	1
	Whitelands_2018/19_	Q10	CU0149	2018	3	SU2990087100	"51.581972, -1.5698756"	seed_mix	8.03	136.4	0	0	1	1
	Whitelands_2018/19_	Q13	CU0150	2018	3	SU2990087100	"51.581972, -1.5698756"	seed_mix	8.03	136.4	0	0	1	1
2	Castle_Field_West_(W)	Q1	CU0151	2002	19	SU2950086200	"51.573901, -1.5757235"	seed_mix	7.93	139.3	0	1	1	1
	Castle_Field_West_(W)	Q4	CU0152	2002	19	SU2950086200	"51.573901, -1.5757235"	seed_mix	7.93	139.3	0	1	1	1
	Castle_Field_West_(W)	Q7	CU0153	2002	19	SU2950086200	"51.573901, -1.5757235"	seed_mix	7.93	139.3	0	1	1	1
	Castle_Field_West_(W)	Q10	CU0154	2002	19	SU2950086200	"51.573901, -1.5757235"	seed_mix	7.93	139.3	0	1	1	1
	Castle_Field_West_(W)	Q13	CU0155	2002	19	SU2950086200	"51.573901, -1.5757235"	seed_mix	7.93	139.3	0	1	1	1
3	Toposcope_Field_-_1980s	Q1	CU0156	1985	36	SU2950086600	"51.577497, -1.5756901"	Natural_regen	7.94	139.7	0	1	1	0
	Toposcope_Field_-_1980s	Q4	CU0157	1985	36	SU2950086600	"51.577497, -1.5756901"	Natural_regen	7.94	139.7	0	1	1	0
	Toposcope_Field_-_1980s	Q7	CU0158	1985	36	SU2950086600	"51.577497, -1.5756901"	Natural_regen	7.94	139.7	0	1	1	0
	Toposcope_Field_-_1980s	Q10	CU0159	1985	36	SU2950086600	"51.577497, -1.5756901"	Natural_regen	7.94	139.7	0	1	1	0
	Toposcope_Field_-_1980s	Q13	CU0160	1985	36	SU2950086600	"51.577497, -1.5756901"	Natural_regen	7.94	139.7	0	1	1	0
4	Bradenham_post-1986_b	Q1	CU0161	1986	35	SU8290097718	"51.672127, -0.80258692"	seed_mix	7.84	151.7	0	1	1	1
	Bradenham_post-1986_b	Q4	CU0162	1986	35	SU8290097718	"51.672127, -0.80258692"	seed_mix	7.84	151.7	0	1	1	1
	Bradenham_post-1986_b	Q7	CU0163	1986	35	SU8290097718	"51.672127, -0.80258692"	seed_mix	7.84	151.7	0	1	1	1
	Bradenham_post-1986_b	Q10	CU0164	1986	35	SU8290097718	"51.672127, -0.80258692"	seed_mix	7.84	151.7	0	1	1	1
	Bradenham_post-1986_b	Q13	CU0165	1986	35	SU8290097718	"51.672127, -0.80258692"	seed_mix	7.84	151.7	0	1	1	1
5	Lardon_Chase_The_Holies_motorcycle	Q1	CU0166	2007	14	SU5930079800	"51.514021, -1.1468383"	Natural_regen	7.94	135.7	0	0	1	0
	Lardon_Chase_The_Holies_motorcycle	Q4	CU0167	2007	14	SU5930079800	"51.514021, -1.1468383"	Natural_regen	7.94	135.7	0	0	1	0
	Lardon_Chase_The_Holies_motorcycle	Q7	CU0168	2007	14	SU5930079800	"51.514021, -1.1468383"	Natural_regen	7.94	135.7	0	0	1	0
	Lardon_Chase_The_Holies_motorcycle	Q10	CU0169	2007	14	SU5930079800	"51.514021, -1.1468383"	Natural_regen	7.94	135.7	0	0	1	0
	Lardon_Chase_The_Holies_motorcycle	Q13	CU0170	2007	14	SU5930079800	"51.514021, -1.1468383"	Natural_regen	7.94	135.7	0	0	1	0
