#SampleID	site_code_Field_No.	Site	plot_number	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
GP146	1	Whitelands_2018_19_	Q1	2018	3	SU2990087100	51.581972;_-1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP147		Whitelands_2018_19_	Q4	2018	3	SU2990087100	51.581972;_-1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP148		Whitelands_2018_19_	Q7	2018	3	SU2990087100	51.581972;_-1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP149		Whitelands_2018_19_	Q10	2018	3	SU2990087100	51.581972;_-1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP150		Whitelands_2018_19_	Q13	2018	3	SU2990087100	51.581972;_-1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP151	2	Castle_Field_West__W_	Q1	2002	19	SU2950086200	51.573901;_-1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP152		Castle_Field_West__W_	Q4	2002	19	SU2950086200	51.573901;_-1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP153		Castle_Field_West__W_	Q7	2002	19	SU2950086200	51.573901;_-1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP154		Castle_Field_West__W_	Q10	2002	19	SU2950086200	51.573901;_-1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP155		Castle_Field_West__W_	Q13	2002	19	SU2950086200	51.573901;_-1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP156	3	Toposcope_Field_-_1980s	Q1	1985	36	SU2950086600	51.577497;_-1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP157		Toposcope_Field_-_1980s	Q4	1985	36	SU2950086600	51.577497;_-1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP158		Toposcope_Field_-_1980s	Q7	1985	36	SU2950086600	51.577497;_-1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP159		Toposcope_Field_-_1980s	Q10	1985	36	SU2950086600	51.577497;_-1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP160		Toposcope_Field_-_1980s	Q13	1985	36	SU2950086600	51.577497;_-1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP161	4	Bradenham_post-1986_b	Q1	1986	35	SU8290097718	51.672127;_-0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP162		Bradenham_post-1986_b	Q4	1986	35	SU8290097718	51.672127;_-0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP163		Bradenham_post-1986_b	Q7	1986	35	SU8290097718	51.672127;_-0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP164		Bradenham_post-1986_b	Q10	1986	35	SU8290097718	51.672127;_-0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP165		Bradenham_post-1986_b	Q13	1986	35	SU8290097718	51.672127;_-0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP166	5	Lardon_Chase_The_Holies_motorcycle	Q1	2007	14	SU5930079800	51.514021;_-1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP167		Lardon_Chase_The_Holies_motorcycle	Q4	2007	14	SU5930079800	51.514021;_-1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP168		Lardon_Chase_The_Holies_motorcycle	Q7	2007	14	SU5930079800	51.514021;_-1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP169		Lardon_Chase_The_Holies_motorcycle	Q10	2007	14	SU5930079800	51.514021;_-1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP170		Lardon_Chase_The_Holies_motorcycle	Q13	2007	14	SU5930079800	51.514021;_-1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP171	6	Stonehenge_2000_2017a	Q1	2000	21	SU1370042400	51.180671;_-1.8053828	Green_hay_bush	7.88	144.3	0	1	1	1
GP172		Stonehenge_2000_2017a	Q4	2000	21	SU1370042400	51.180671;_-1.8053828	Green_hay_bush	7.88	144.3	0	1	1	1
GP173		Stonehenge_2000_2017a	Q7	2000	21	SU1370042400	51.180671;_-1.8053828	Green_hay_bush	7.88	144.3	0	1	1	1
GP174		Stonehenge_2000_2017a	Q10	2000	21	SU1370042400	51.180671;_-1.8053828	Green_hay_bush	7.88	144.3	0	1	1	1
GP175		Stonehenge_2000_2017a	Q13	2000	21	SU1370042400	51.180671;_-1.8053828	Green_hay_bush	7.88	144.3	0	1	1	1
GP176	7	Stonehenge_2003_2017b	Q1	2003	18	SU1150041600	51.173525;_-1.8368821	Green_hay_bush	7.69	184.4	0	1	1	1
GP177		Stonehenge_2003_2017b	Q4	2003	18	SU1150041600	51.173525;_-1.8368821	Green_hay_bush	7.69	184.4	0	1	1	1
GP178		Stonehenge_2003_2017b	Q7	2003	18	SU1150041600	51.173525;_-1.8368821	Green_hay_bush	7.69	184.4	0	1	1	1
GP179		Stonehenge_2003_2017b	Q10	2003	18	SU1150041600	51.173525;_-1.8368821	Green_hay_bush	7.69	184.4	0	1	1	1
GP180		Stonehenge_2003_2017b	Q13	2003	18	SU1150041600	51.173525;_-1.8368821	Green_hay_bush	7.69	184.4	0	1	1	1
GP181	8	Stonehenge_2009	Q1	2009	12	SU1050041700	51.174443;_-1.8511833	Green_hay_bush	7.82	156.5	0	0	1	1
GP182		Stonehenge_2009	Q4	2009	12	SU1050041700	51.174443;_-1.8511833	Green_hay_bush	7.82	156.5	0	0	1	1
GP183		Stonehenge_2009	Q7	2009	12	SU1050041700	51.174443;_-1.8511833	Green_hay_bush	7.82	156.5	0	0	1	1
GP184		Stonehenge_2009	Q10	2009	12	SU1050041700	51.174443;_-1.8511833	Green_hay_bush	7.82	156.5	0	0	1	1
GP185		Stonehenge_2009	Q13	2009	12	SU1050041700	51.174443;_-1.8511833	Green_hay_bush	7.82	156.5	0	0	1	1
GP186	9	Stonehenge_2007_2016	Q1	2007	14	SU1100041900	51.176233;_-1.8440251	Green_hay_bush	7.87	158.8	0	1	1	1
GP187		Stonehenge_2007_2016	Q4	2007	14	SU1100041900	51.176233;_-1.8440251	Green_hay_bush	7.87	158.8	0	1	1	1
GP188		Stonehenge_2007_2016	Q7	2007	14	SU1100041900	51.176233;_-1.8440251	Green_hay_bush	7.87	158.8	0	1	1	1
GP189		Stonehenge_2007_2016	Q10	2007	14	SU1100041900	51.176233;_-1.8440251	Green_hay_bush	7.87	158.8	0	1	1	1
GP190		Stonehenge_2007_2016	Q13	2007	14	SU1100041900	51.176233;_-1.8440251	Green_hay_bush	7.87	158.8	0	1	1	1
GP191	10	Stonehenge_2005	Q1	2005	16	SU1140042200	51.178922;_-1.8382937	Green_hay_bush	7.85	145	0	0	1	1
GP192		Stonehenge_2005	Q4	2005	16	SU1140042200	51.178922;_-1.8382937	Green_hay_bush	7.85	145	0	0	1	1
GP193		Stonehenge_2005	Q7	2005	16	SU1140042200	51.178922;_-1.8382937	Green_hay_bush	7.85	145	0	0	1	1
GP194		Stonehenge_2005	Q10	2005	16	SU1140042200	51.178922;_-1.8382937	Green_hay_bush	7.85	145	0	0	1	1
GP195		Stonehenge_2005	Q13	2005	16	SU1140042200	51.178922;_-1.8382937	Green_hay_bush	7.85	145	0	0	1	1
GP196	11	Stonehenge_2002_2017	Q1	2002	19	SU1480043200	51.187837;_-1.7896132	Green_hay_bush	7.91	130.3	0	1	1	1
GP197		Stonehenge_2002_2017	Q4	2002	19	SU1480043200	51.187837;_-1.7896132	Green_hay_bush	7.91	130.3	0	1	1	1
GP198		Stonehenge_2002_2017	Q7	2002	19	SU1480043200	51.187837;_-1.7896132	Green_hay_bush	7.91	130.3	0	1	1	1
GP199		Stonehenge_2002_2017	Q10	2002	19	SU1480043200	51.187837;_-1.7896132	Green_hay_bush	7.91	130.3	0	1	1	1
GP200		Stonehenge_2002_2017	Q13	2002	19	SU1480043200	51.187837;_-1.7896132	Green_hay_bush	7.91	130.3	0	1	1	1
GP201	12	Stonehenge_2010	Q1	2010	11	SU1070043000	51.186129;_-1.8482842	Green_hay_bush	7.69	202	0	1	1	1
GP202		Stonehenge_2010	Q4	2010	11	SU1070043000	51.186129;_-1.8482842	Green_hay_bush	7.69	202	0	1	1	1
GP203		Stonehenge_2010	Q7	2010	11	SU1070043000	51.186129;_-1.8482842	Green_hay_bush	7.69	202	0	1	1	1
GP204		Stonehenge_2010	Q10	2010	11	SU1070043000	51.186129;_-1.8482842	Green_hay_bush	7.69	202	0	1	1	1
GP205		Stonehenge_2010	Q13	2010	11	SU1070043000	51.186129;_-1.8482842	Green_hay_bush	7.69	202	0	1	1	1
GP206	13	Stonehenge_2011	Q1	2011	10	SU1050043600	51.191528;_-1.8511284	Green_hay_bush	7.85	174.3	0	1	1	1
GP207		Stonehenge_2011	Q4	2011	10	SU1050043600	51.191528;_-1.8511284	Green_hay_bush	7.85	174.3	0	1	1	1
GP208		Stonehenge_2011	Q7	2011	10	SU1050043600	51.191528;_-1.8511284	Green_hay_bush	7.85	174.3	0	1	1	1
GP209		Stonehenge_2011	Q10	2011	10	SU1050043600	51.191528;_-1.8511284	Green_hay_bush	7.85	174.3	0	1	1	1
GP210		Stonehenge_2011	Q13	2011	10	SU1050043600	51.191528;_-1.8511284	Green_hay_bush	7.85	174.3	0	1	1	1
GP211	14	Stonehenge_-_Luxenborough_BankB	Q1	2000	21	SU1290041900	51.176193;_-1.8168457	Green_hay_bush	7.78	186.6	1	0	1	1
GP212		Stonehenge_-_Luxenborough_BankB	Q4	2000	21	SU1290041900	51.176193;_-1.8168457	Green_hay_bush	7.78	186.6	1	0	1	1
GP213		Stonehenge_-_Luxenborough_BankB	Q7	2000	21	SU1290041900	51.176193;_-1.8168457	Green_hay_bush	7.78	186.6	1	0	1	1
GP214		Stonehenge_-_Luxenborough_BankB	Q10	2000	21	SU1290041900	51.176193;_-1.8168457	Green_hay_bush	7.78	186.6	1	0	1	1
GP215		Stonehenge_-_Luxenborough_BankB	Q13	2000	21	SU1290041900	51.176193;_-1.8168457	Green_hay_bush	7.78	186.6	1	0	1	1
GP216	15	Watlington_natural_reversion	Q1	2000	21	SU7050293600	51.636798;_-0.98266944	Natural_regen	7.8	147.5	0	0	1	0
GP217		Watlington_natural_reversion	Q4	2000	21	SU7050293600	51.636798;_-0.98266944	Natural_regen	7.8	147.5	0	0	1	0
GP218		Watlington_natural_reversion	Q7	2000	21	SU7050293600	51.636798;_-0.98266944	Natural_regen	7.8	147.5	0	0	1	0
GP219		Watlington_natural_reversion	Q10	2000	21	SU7050293600	51.636798;_-0.98266944	Natural_regen	7.8	147.5	0	0	1	0
GP220		Watlington_natural_reversion	Q13	2000	21	SU7050293600	51.636798;_-0.98266944	Natural_regen	7.8	147.5	0	0	1	0
GP221	16	St_Catherines_A3	Q1	1994	27	SU4812327449	51.044386;_-1.3149275	Green_hay_bush	7.63	222	1	1	1	0
GP222		St_Catherines_A3	Q4	1994	27	SU4812327449	51.044386;_-1.3149275	Green_hay_bush	7.63	222	1	1	1	0
GP223		St_Catherines_A3	Q7	1994	27	SU4812327449	51.044386;_-1.3149275	Green_hay_bush	7.63	222	1	1	1	0
GP224		St_Catherines_A3	Q10	1994	27	SU4812327449	51.044386;_-1.3149275	Green_hay_bush	7.63	222	1	1	1	0
GP225		St_Catherines_A3	Q13	1994	27	SU4812327449	51.044386;_-1.3149275	Green_hay_bush	7.63	222	1	1	1	0
GP226	17	HARLEY_FARMS_Chittern	Q1	2013	8	ST9762044730	51.201778;_-2.0354461	seed_mix	7.77	197.9	1	1	0	1
GP227		HARLEY_FARMS_Chittern	Q4	2013	8	ST9762044730	51.201778;_-2.0354461	seed_mix	7.77	197.9	1	1	0	1
GP228		HARLEY_FARMS_Chittern	Q7	2013	8	ST9762044730	51.201778;_-2.0354461	seed_mix	7.77	197.9	1	1	0	1
GP229		HARLEY_FARMS_Chittern	Q10	2013	8	ST9762044730	51.201778;_-2.0354461	seed_mix	7.77	197.9	1	1	0	1
GP230		HARLEY_FARMS_Chittern	Q13	2013	8	ST9762044730	51.201778;_-2.0354461	seed_mix	7.77	197.9	1	1	0	1
GP231	18	HARLEY_FARMS_New1	Q1	2020	1	ST9346829822	51.067692;_-2.0945983	seed_mix	7.84	144.1	0	1	0	0
GP232		HARLEY_FARMS_New1	Q4	2020	1	ST9346829822	51.067692;_-2.0945983	seed_mix	7.84	144.1	0	1	0	0
GP233		HARLEY_FARMS_New1	Q7	2020	1	ST9346829822	51.067692;_-2.0945983	seed_mix	7.84	144.1	0	1	0	0
GP234		HARLEY_FARMS_New1	Q10	2020	1	ST9346829822	51.067692;_-2.0945983	seed_mix	7.84	144.1	0	1	0	0
GP235		HARLEY_FARMS_New1	Q13	2020	1	ST9346829822	51.067692;_-2.0945983	seed_mix	7.84	144.1	0	1	0	0
GP236	19	HARLEY_FARMS_new2b	Q1	2020	1	ST9242629613	51.065799;_-2.1094648	seed_mix	7.09	102.5	1	0	0	0
GP237		HARLEY_FARMS_new2b	Q4	2020	1	ST9242629613	51.065799;_-2.1094648	seed_mix	7.09	102.5	1	0	0	0
GP238		HARLEY_FARMS_new2b	Q7	2020	1	ST9242629613	51.065799;_-2.1094648	seed_mix	7.09	102.5	1	0	0	0
GP239		HARLEY_FARMS_new2b	Q10	2020	1	ST9242629613	51.065799;_-2.1094648	seed_mix	7.09	102.5	1	0	0	0
GP240		HARLEY_FARMS_new2b	Q13	2020	1	ST9242629613	51.065799;_-2.1094648	seed_mix	7.09	102.5	1	0	0	0
GP241	20	WINDMILL_farm	Q1	1990	31	SU7176229761	51.06271;_-0.97732036	seed_mix	7.32	210	1	1	1	1
GP242		WINDMILL_farm	Q4	1990	31	SU7176229761	51.06271;_-0.97732036	seed_mix	7.32	210	1	1	1	1
GP243		WINDMILL_farm	Q7	1990	31	SU7176229761	51.06271;_-0.97732036	seed_mix	7.32	210	1	1	1	1
GP244		WINDMILL_farm	Q10	1990	31	SU7176229761	51.06271;_-0.97732036	seed_mix	7.32	210	1	1	1	1
GP245		WINDMILL_farm	Q13	1990	31	SU7176229761	51.06271;_-0.97732036	seed_mix	7.32	210	1	1	1	1
GP246	21	DRUIDS	Q1	2002	19	SU2964250324	51.251319;_-1.5766624	seed_mix	7.14	176.3	1	1	1	1
GP247		DRUIDS	Q4	2002	19	SU2964250324	51.251319;_-1.5766624	seed_mix	7.14	176.3	1	1	1	1
GP248		DRUIDS	Q7	2002	19	SU2964250324	51.251319;_-1.5766624	seed_mix	7.14	176.3	1	1	1	1
GP249		DRUIDS	Q10	2002	19	SU2964250324	51.251319;_-1.5766624	seed_mix	7.14	176.3	1	1	1	1
GP250		DRUIDS	Q13	2002	19	SU2964250324	51.251319;_-1.5766624	seed_mix	7.14	176.3	1	1	1	1
GP251	22	Stratton_Wood	Q1	1995	26	SU1647289260	51.601942;_-1.7635665	seed_mix	7.41	126.8	1	0	0	1
GP252		Stratton_Wood	Q4	1995	26	SU1647289260	51.601942;_-1.7635665	seed_mix	7.41	126.8	1	0	0	1
GP253		Stratton_Wood	Q7	1995	26	SU1647289260	51.601942;_-1.7635665	seed_mix	7.41	126.8	1	0	0	1
GP254		Stratton_Wood	Q10	1995	26	SU1647289260	51.601942;_-1.7635665	seed_mix	7.41	126.8	1	0	0	1
GP255		Stratton_Wood	Q13	1995	26	SU1647289260	51.601942;_-1.7635665	seed_mix	7.41	126.8	1	0	0	1
GP256	23	WESTMEAD_FARM	Q1	2000	21	SU6317525168	51.022422;_-1.1006408	seed_mix	7.75	159	1	0	1	0
GP257		WESTMEAD_FARM	Q4	2000	21	SU6317525168	51.022422;_-1.1006408	seed_mix	7.75	159	1	0	1	0
GP258		WESTMEAD_FARM	Q7	2000	21	SU6317525168	51.022422;_-1.1006408	seed_mix	7.75	159	1	0	1	0
GP259		WESTMEAD_FARM	Q10	2000	21	SU6317525168	51.022422;_-1.1006408	seed_mix	7.75	159	1	0	1	0
GP260		WESTMEAD_FARM	Q13	2000	21	SU6317525168	51.022422;_-1.1006408	seed_mix	7.75	159	1	0	1	0
GP261	24	RSPB_orig_green	Q1	2006	15	SU2135640329	51.161815;_-1.6959767	Green_hay_bush	7.99	138.1	0	1	1	0
