OTU ID	Taxonomy	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
OTU_1	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	1182.0	3132.0	4215.0	854.0	3843.0	968.0	2674.0	1513.0	1230.0	2878.0	2131.0	1830.0	1844.0	2488.0	3460.0	3022.0	3602.0	1332.0	773.0	1034.0	1196.0	665.0	1780.0	3049.0	3420.0	1626.0	4367.0	917.0	6650.0	6342.0	3678.0	3305.0	4154.0	3390.0	1412.0	702.0	918.0	1259.0	680.0	1365.0	2215.0	1260.0	5442.0	1035.0	5053.0	1290.0	1082.0	1352.0	3158.0	4310.0	3507.0	2997.0	2248.0	2799.0	6243.0	42.0	3855.0	2282.0	2060.0	3815.0	1330.0	1970.0	4595.0	589.0	419.0	287.0
OTU_2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_sp	947.0	350.0	763.0	877.0	368.0	362.0	107.0	263.0	440.0	103.0	271.0	269.0	376.0	1038.0	80.0	314.0	612.0	5.0	0.0	218.0	1406.0	15.0	169.0	462.0	815.0	239.0	31.0	534.0	281.0	36.0	760.0	1315.0	2003.0	1533.0	742.0	32.0	555.0	112.0	1303.0	650.0	898.0	624.0	506.0	1264.0	1628.0	216.0	638.0	803.0	52.0	366.0	834.0	137.0	266.0	237.0	217.0	4.0	308.0	435.0	71.0	522.0	363.0	251.0	210.0	183.0	17.0	10.0
OTU_3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis;__	1381.0	305.0	0.0	6.0	0.0	89.0	50.0	83.0	824.0	116.0	205.0	302.0	507.0	381.0	0.0	5.0	371.0	1202.0	1510.0	62.0	201.0	28.0	425.0	204.0	128.0	444.0	1005.0	2117.0	195.0	543.0	1164.0	64.0	82.0	81.0	695.0	0.0	847.0	114.0	141.0	151.0	320.0	168.0	3.0	197.0	214.0	54.0	58.0	149.0	12.0	311.0	1139.0	46.0	128.0	138.0	158.0	10.0	224.0	420.0	5.0	6.0	3.0	3.0	1.0	145.0	14.0	92.0
OTU_4	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;__	45.0	337.0	418.0	215.0	62.0	130.0	243.0	114.0	273.0	514.0	236.0	213.0	120.0	359.0	48.0	61.0	134.0	242.0	1159.0	108.0	94.0	7.0	63.0	254.0	137.0	212.0	109.0	151.0	327.0	271.0	166.0	282.0	195.0	132.0	15.0	107.0	15.0	127.0	331.0	283.0	661.0	77.0	145.0	433.0	56.0	1.0	445.0	581.0	154.0	245.0	283.0	641.0	459.0	340.0	78.0	205.0	124.0	241.0	27.0	408.0	10.0	64.0	101.0	133.0	28.0	59.0
OTU_5	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina	52.0	519.0	371.0	69.0	403.0	282.0	603.0	964.0	420.0	660.0	461.0	512.0	198.0	510.0	67.0	61.0	195.0	72.0	0.0	128.0	7.0	596.0	952.0	298.0	295.0	654.0	231.0	80.0	49.0	8.0	336.0	144.0	83.0	298.0	79.0	0.0	28.0	122.0	43.0	276.0	851.0	654.0	135.0	318.0	54.0	387.0	235.0	370.0	246.0	242.0	358.0	703.0	387.0	461.0	253.0	0.0	426.0	254.0	217.0	220.0	68.0	60.0	123.0	0.0	0.0	0.0
OTU_6	k__Fungi;__;__;__;__;__;__	236.0	689.0	160.0	457.0	1094.0	271.0	237.0	347.0	354.0	304.0	229.0	426.0	316.0	593.0	290.0	178.0	490.0	1220.0	202.0	274.0	810.0	1388.0	704.0	1165.0	860.0	561.0	226.0	1199.0	688.0	301.0	745.0	456.0	746.0	463.0	508.0	264.0	446.0	374.0	355.0	497.0	471.0	502.0	592.0	705.0	662.0	894.0	203.0	750.0	1969.0	541.0	685.0	463.0	944.0	493.0	743.0	47.0	614.0	1541.0	224.0	140.0	220.0	249.0	262.0	180.0	45.0	236.0
OTU_7	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;__;__	260.0	47.0	75.0	513.0	311.0	287.0	346.0	401.0	97.0	108.0	341.0	127.0	340.0	262.0	617.0	212.0	160.0	67.0	19.0	26.0	70.0	119.0	419.0	855.0	473.0	528.0	294.0	539.0	162.0	265.0	58.0	172.0	36.0	127.0	306.0	0.0	233.0	721.0	12.0	158.0	224.0	392.0	42.0	55.0	181.0	733.0	22.0	62.0	122.0	88.0	115.0	76.0	332.0	227.0	398.0	0.0	457.0	398.0	314.0	164.0	146.0	68.0	391.0	0.0	0.0	0.0
OTU_8	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;__;__	71.0	326.0	474.0	0.0	312.0	29.0	209.0	171.0	67.0	58.0	194.0	98.0	71.0	127.0	15.0	10.0	96.0	57.0	105.0	92.0	67.0	37.0	0.0	100.0	31.0	42.0	34.0	147.0	1057.0	855.0	598.0	302.0	176.0	164.0	71.0	50.0	99.0	441.0	123.0	48.0	129.0	0.0	9.0	126.0	164.0	0.0	564.0	202.0	539.0	438.0	522.0	126.0	239.0	233.0	170.0	1464.0	68.0	382.0	74.0	92.0	32.0	0.0	73.0	580.0	66.0	2249.0
OTU_9	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp	556.0	233.0	607.0	1743.0	811.0	250.0	547.0	313.0	408.0	518.0	806.0	290.0	217.0	242.0	1663.0	815.0	310.0	214.0	127.0	832.0	432.0	2282.0	939.0	545.0	415.0	1161.0	868.0	468.0	260.0	68.0	616.0	574.0	825.0	412.0	257.0	224.0	469.0	828.0	100.0	697.0	977.0	695.0	505.0	848.0	157.0	692.0	429.0	895.0	545.0	1061.0	345.0	882.0	1199.0	984.0	512.0	1445.0	1428.0	1431.0	2163.0	1050.0	1864.0	910.0	666.0	865.0	584.0	908.0
OTU_10	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_equina	104.0	78.0	21.0	29.0	7.0	128.0	190.0	278.0	255.0	202.0	162.0	202.0	162.0	24.0	13.0	218.0	150.0	57.0	280.0	482.0	580.0	370.0	208.0	62.0	118.0	396.0	201.0	12.0	0.0	9.0	41.0	28.0	67.0	62.0	16.0	444.0	121.0	43.0	579.0	797.0	39.0	308.0	324.0	486.0	52.0	293.0	855.0	605.0	54.0	44.0	39.0	761.0	144.0	101.0	37.0	351.0	144.0	158.0	162.0	21.0	589.0	146.0	20.0	127.0	43.0	2.0
