# Constructed from biom file
OTU ID	Whitelands_2018/19_	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	0.0	0.0	0.0	0.0	849.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	413.0	64.0	5.0	227.0	564.0	42.0	0.0	56.0	0.0	0.0	10.0	0.0	0.0	60.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	4.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__	117.0	212.0	150.0	54.0	257.0	229.0	115.0	176.0	150.0	163.0	178.0	198.0	137.0	116.0	105.0	130.0	190.0	258.0	320.0	415.0	354.0	126.0	109.0	276.0	207.0	302.0	204.0	158.0	245.0	339.0	214.0	183.0	232.0	178.0	208.0	888.0	102.0	251.0	671.0	349.0	254.0	300.0	398.0	407.0	197.0	164.0	566.0	490.0	122.0	241.0	279.0	272.0	297.0	203.0	289.0	173.0	346.0	269.0	215.0	155.0	164.0	132.0	364.0	358.0	679.0	364.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__	176.0	270.0	228.0	329.0	177.0	212.0	196.0	174.0	207.0	213.0	253.0	270.0	265.0	280.0	435.0	503.0	247.0	212.0	58.0	75.0	110.0	146.0	213.0	257.0	239.0	174.0	210.0	579.0	334.0	501.0	209.0	370.0	203.0	315.0	255.0	14.0	301.0	229.0	75.0	184.0	267.0	158.0	432.0	153.0	381.0	194.0	141.0	224.0	418.0	422.0	356.0	150.0	235.0	216.0	460.0	43.0	224.0	293.0	272.0	490.0	506.0	754.0	491.0	18.0	3.0	16.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__	54.0	83.0	94.0	73.0	45.0	72.0	88.0	84.0	73.0	84.0	80.0	72.0	73.0	75.0	73.0	63.0	71.0	55.0	87.0	139.0	134.0	101.0	109.0	72.0	93.0	80.0	76.0	37.0	100.0	49.0	58.0	75.0	79.0	88.0	84.0	167.0	66.0	61.0	148.0	129.0	69.0	94.0	81.0	62.0	75.0	102.0	111.0	99.0	40.0	45.0	46.0	85.0	59.0	64.0	65.0	227.0	108.0	73.0	101.0	83.0	88.0	80.0	62.0	205.0	149.0	122.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__	27.0	70.0	58.0	125.0	48.0	57.0	89.0	65.0	48.0	68.0	41.0	85.0	60.0	75.0	125.0	114.0	51.0	45.0	46.0	45.0	60.0	62.0	48.0	54.0	47.0	51.0	52.0	107.0	78.0	49.0	12.0	126.0	35.0	95.0	31.0	16.0	17.0	34.0	10.0	68.0	61.0	46.0	122.0	57.0	70.0	65.0	47.0	87.0	56.0	80.0	72.0	61.0	32.0	48.0	96.0	38.0	18.0	36.0	99.0	78.0	129.0	93.0	109.0	38.0	32.0	41.0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__	66.0	38.0	22.0	30.0	8.0	84.0	50.0	41.0	55.0	69.0	46.0	44.0	69.0	37.0	33.0	29.0	47.0	58.0	38.0	45.0	32.0	82.0	68.0	21.0	71.0	68.0	57.0	49.0	51.0	35.0	72.0	25.0	50.0	37.0	61.0	2.0	96.0	56.0	60.0	44.0	65.0	47.0	31.0	38.0	47.0	37.0	56.0	38.0	78.0	56.0	34.0	68.0	29.0	33.0	32.0	6.0	55.0	69.0	50.0	28.0	43.0	24.0	25.0	26.0	0.0	8.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	125.0	159.0	127.0	80.0	91.0	130.0	165.0	198.0	154.0	149.0	178.0	132.0	157.0	140.0	88.0	141.0	159.0	125.0	91.0	93.0	141.0	108.0	126.0	129.0	146.0	114.0	161.0	221.0	161.0	173.0	167.0	292.0	119.0	236.0	113.0	132.0	113.0	183.0	125.0	150.0	254.0	84.0	91.0	99.0	242.0	138.0	87.0	102.0	144.0	175.0	172.0	91.0	126.0	116.0	142.0	109.0	127.0	133.0	187.0	222.0	180.0	195.0	184.0	68.0	103.0	106.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__	32.0	41.0	55.0	59.0	71.0	32.0	38.0	34.0	42.0	42.0	32.0	37.0	32.0	49.0	78.0	31.0	35.0	34.0	25.0	28.0	21.0	47.0	34.0	34.0	29.0	37.0	32.0	56.0	59.0	62.0	30.0	45.0	36.0	36.0	26.0	2.0	26.0	37.0	5.0	17.0	56.0	27.0	25.0	23.0	37.0	34.0	7.0	25.0	39.0	53.0	40.0	36.0	28.0	62.0	62.0	12.0	48.0	58.0	61.0	115.0	68.0	59.0	113.0	5.0	1.0	5.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	54.0	93.0	82.0	156.0	53.0	79.0	159.0	107.0	112.0	117.0	106.0	100.0	114.0	108.0	149.0	146.0	86.0	80.0	119.0	172.0	187.0	136.0	126.0	84.0	110.0	69.0	74.0	82.0	88.0	72.0	49.0	88.0	77.0	102.0	59.0	145.0	62.0	94.0	79.0	158.0	90.0	102.0	158.0	111.0	85.0	130.0	83.0	146.0	78.0	77.0	93.0	165.0	75.0	65.0	121.0	233.0	141.0	99.0	155.0	118.0	175.0	208.0	152.0	209.0	258.0	246.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	143.0	108.0	108.0	182.0	78.0	128.0	187.0	158.0	188.0	191.0	123.0	205.0	148.0	177.0	142.0	156.0	136.0	138.0	148.0	174.0	119.0	109.0	141.0	118.0	158.0	174.0	152.0	95.0	114.0	93.0	100.0	192.0	104.0	170.0	103.0	27.0	115.0	108.0	88.0	97.0	183.0	183.0	104.0	132.0	158.0	177.0	109.0	137.0	195.0	139.0	141.0	176.0	90.0	109.0	175.0	79.0	82.0	130.0	166.0	132.0	101.0	82.0	112.0	115.0	39.0	101.0
