OTU ID	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis	1217.0	3231.0	4186.0	856.0	3904.0	1031.0	2685.0	1518.0	1246.0	2897.0	2115.0	1891.0	1845.0	2487.0	3553.0	3058.0	3566.0	1353.0	813.0	1032.0	1229.0	729.0	1765.0	3075.0	3412.0	1613.0	4317.0	889.0	6746.0	6337.0	3720.0	3255.0	4098.0	3434.0	1390.0	740.0	897.0	1226.0	701.0	1356.0	2223.0	1249.0	5543.0	994.0	5012.0	1295.0	1064.0	1358.0	3116.0	4355.0	3493.0	3045.0	2184.0	2748.0	6217.0	42.0	3817.0	2214.0	2014.0	3750.0	1369.0	1970.0	4625.0	566.0	376.0	262.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	927.0	376.0	792.0	914.0	389.0	345.0	116.0	255.0	479.0	93.0	286.0	252.0	389.0	1032.0	98.0	307.0	607.0	1.0	0.0	236.0	1450.0	11.0	175.0	493.0	795.0	238.0	54.0	556.0	273.0	19.0	713.0	1263.0	1964.0	1481.0	736.0	35.0	562.0	119.0	1321.0	665.0	963.0	631.0	494.0	1247.0	1647.0	202.0	621.0	777.0	49.0	350.0	783.0	140.0	259.0	251.0	214.0	5.0	322.0	447.0	65.0	525.0	412.0	260.0	221.0	186.0	20.0	14.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis	1358.0	289.0	0.0	34.0	0.0	63.0	47.0	83.0	822.0	109.0	219.0	315.0	506.0	390.0	0.0	7.0	374.0	1207.0	1483.0	52.0	188.0	23.0	407.0	221.0	140.0	453.0	1007.0	2111.0	173.0	522.0	1197.0	66.0	106.0	86.0	721.0	0.0	791.0	103.0	153.0	164.0	305.0	172.0	2.0	186.0	218.0	50.0	57.0	145.0	19.0	332.0	1127.0	49.0	123.0	137.0	182.0	13.0	219.0	420.0	8.0	4.0	5.0	3.0	1.0	139.0	13.0	104.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum	46.0	315.0	419.0	211.0	68.0	137.0	241.0	104.0	312.0	500.0	226.0	205.0	116.0	359.0	57.0	54.0	148.0	248.0	1203.0	106.0	87.0	10.0	65.0	258.0	125.0	242.0	98.0	150.0	309.0	293.0	166.0	304.0	221.0	121.0	17.0	88.0	16.0	127.0	336.0	317.0	647.0	82.0	138.0	422.0	52.0	1.0	424.0	552.0	123.0	233.0	275.0	672.0	503.0	345.0	86.0	187.0	121.0	275.0	24.0	429.0	10.0	71.0	114.0	127.0	17.0	66.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	578.0	764.0	936.0	1763.0	1245.0	507.0	1108.0	1346.0	807.0	1170.0	1327.0	747.0	428.0	735.0	1720.0	858.0	483.0	289.0	430.0	976.0	407.0	2804.0	1862.0	844.0	715.0	1845.0	1080.0	546.0	317.0	72.0	982.0	737.0	926.0	664.0	336.0	259.0	513.0	922.0	146.0	897.0	1825.0	1370.0	643.0	1164.0	206.0	1051.0	677.0	1289.0	771.0	1204.0	710.0	1514.0	1635.0	1357.0	755.0	1467.0	1838.0	1644.0	2357.0	1244.0	2049.0	987.0	802.0	928.0	615.0	915.0
k__Fungi;__;__;__;__;__	265.0	701.0	159.0	448.0	1017.0	257.0	251.0	332.0	338.0	289.0	226.0	429.0	307.0	612.0	295.0	168.0	503.0	1157.0	178.0	277.0	800.0	1357.0	720.0	1137.0	821.0	561.0	244.0	1183.0	665.0	290.0	763.0	438.0	812.0	481.0	525.0	255.0	413.0	378.0	363.0	493.0	442.0	500.0	599.0	720.0	685.0	916.0	212.0	742.0	2015.0	516.0	655.0	441.0	950.0	505.0	712.0	42.0	619.0	1556.0	203.0	148.0	214.0	271.0	250.0	181.0	33.0	271.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;__	250.0	39.0	79.0	532.0	316.0	334.0	372.0	420.0	100.0	112.0	366.0	133.0	350.0	261.0	609.0	208.0	167.0	60.0	12.0	24.0	81.0	125.0	422.0	844.0	455.0	496.0	297.0	565.0	148.0	279.0	53.0	170.0	50.0	135.0	298.0	0.0	242.0	742.0	11.0	133.0	219.0	354.0	43.0	40.0	220.0	705.0	25.0	55.0	128.0	102.0	110.0	88.0	352.0	197.0	377.0	2.0	461.0	416.0	350.0	160.0	149.0	62.0	374.0	0.0	0.0	0.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;__	83.0	304.0	477.0	0.0	325.0	30.0	172.0	186.0	85.0	47.0	187.0	115.0	76.0	129.0	9.0	9.0	87.0	53.0	95.0	91.0	83.0	38.0	0.0	107.0	33.0	45.0	41.0	155.0	1027.0	835.0	583.0	289.0	155.0	167.0	83.0	56.0	107.0	448.0	125.0	52.0	125.0	0.0	12.0	159.0	192.0	0.0	568.0	216.0	542.0	429.0	525.0	131.0	227.0	235.0	160.0	1433.0	63.0	348.0	71.0	75.0	39.0	0.0	63.0	580.0	74.0	2209.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	118.0	135.0	34.0	46.0	4.0	158.0	305.0	360.0	278.0	213.0	259.0	222.0	287.0	33.0	19.0	232.0	184.0	65.0	392.0	484.0	556.0	404.0	219.0	78.0	118.0	395.0	241.0	9.0	0.0	5.0	37.0	54.0	65.0	78.0	21.0	480.0	132.0	38.0	617.0	829.0	81.0	330.0	371.0	570.0	73.0	370.0	970.0	671.0	74.0	44.0	69.0	807.0	150.0	143.0	39.0	364.0	195.0	156.0	292.0	22.0	629.0	127.0	25.0	163.0	45.0	10.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	270.0	61.0	18.0	18.0	67.0	4.0	17.0	1.0	2.0	2.0	0.0	2.0	16.0	135.0	11.0	363.0	233.0	1420.0	790.0	298.0	219.0	466.0	58.0	59.0	5.0	28.0	116.0	400.0	23.0	353.0	104.0	110.0	101.0	358.0	412.0	0.0	140.0	53.0	146.0	45.0	110.0	69.0	14.0	101.0	45.0	50.0	48.0	79.0	25.0	26.0	196.0	127.0	41.0	22.0	37.0	2.0	3.0	24.0	67.0	88.0	87.0	7.0	77.0	92.0	15.0	41.0
