OTU ID	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
Endophyte-|Plant Pathogen|-Plant Saprotroph	280.0	61.0	18.0	18.0	72.0	4.0	29.0	5.0	2.0	4.0	3.0	4.0	25.0	135.0	18.0	375.0	247.0	1436.0	790.0	315.0	222.0	542.0	69.0	59.0	5.0	29.0	116.0	400.0	23.0	353.0	104.0	110.0	101.0	359.0	412.0	10.0	140.0	53.0	154.0	45.0	116.0	70.0	14.0	101.0	45.0	61.0	48.0	79.0	25.0	26.0	196.0	131.0	41.0	22.0	37.0	216.0	3.0	29.0	72.0	92.0	95.0	12.0	78.0	92.0	15.0	48.0
Ectomycorrhizal-Fungal Parasite-|Undefined Saprotroph|-Undefined Symbiotroph	25.0	0.0	4.0	4.0	25.0	0.0	0.0	1.0	1.0	56.0	7.0	0.0	1.0	0.0	12.0	10.0	0.0	0.0	0.0	20.0	22.0	59.0	0.0	47.0	0.0	7.0	0.0	7.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	100.0	123.0	23.0	20.0	0.0	0.0	2.0	0.0	0.0	0.0	66.0	0.0	22.0	4.0	2.0	11.0	157.0	55.0	0.0	43.0	0.0	0.0	27.0	20.0	25.0	0.0	6.0	69.0	55.0	43.0
|Animal Parasite|-Animal Pathogen-Undefined Saprotroph	0.0	21.0	8.0	121.0	42.0	0.0	9.0	1.0	3.0	8.0	5.0	0.0	11.0	2.0	26.0	64.0	18.0	0.0	10.0	18.0	7.0	3.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	21.0	0.0	2.0	2.0	27.0	5.0	0.0	25.0	51.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	0.0	3.0	0.0	0.0	0.0	0.0	8.0	152.0	21.0	48.0	85.0	16.0	21.0	378.0
Animal Parasite-|Undefined Saprotroph|	48.0	123.0	0.0	26.0	0.0	1.0	3.0	6.0	0.0	13.0	0.0	5.0	2.0	5.0	5.0	657.0	68.0	138.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	11.0	942.0	39.0	57.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	26.0	4.0	90.0	3.0	37.0	13.0	0.0	89.0	79.0
Undefined Saprotroph-|Wood Saprotroph|	55.0	6.0	32.0	60.0	51.0	38.0	220.0	23.0	25.0	53.0	78.0	65.0	82.0	59.0	45.0	67.0	30.0	31.0	36.0	110.0	101.0	279.0	21.0	29.0	35.0	26.0	24.0	84.0	98.0	4.0	79.0	28.0	11.0	22.0	8.0	0.0	96.0	6.0	235.0	38.0	30.0	79.0	40.0	33.0	37.0	126.0	423.0	28.0	36.0	23.0	7.0	47.0	2.0	29.0	10.0	241.0	17.0	82.0	46.0	24.0	8.0	167.0	39.0	105.0	44.0	87.0
Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|	53.0	61.0	3.0	240.0	129.0	48.0	126.0	179.0	189.0	179.0	168.0	93.0	125.0	190.0	77.0	190.0	158.0	189.0	168.0	90.0	17.0	185.0	106.0	44.0	49.0	35.0	29.0	354.0	0.0	0.0	0.0	54.0	0.0	168.0	22.0	20.0	17.0	3.0	107.0	117.0	24.0	5.0	7.0	50.0	15.0	85.0	9.0	19.0	11.0	10.0	35.0	28.0	4.0	45.0	28.0	67.0	16.0	0.0	98.0	304.0	37.0	148.0	193.0	46.0	44.0	85.0
Dung Saprotroph-Endophyte-Lichen Parasite-|Plant Saprotroph|	0.0	0.0	7.0	4.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	50.0	62.0	30.0	0.0	0.0	0.0	0.0	3.0	0.0	31.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	28.0	14.0	40.0	0.0	0.0	9.0	0.0	12.0	18.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	60.0	200.0	2.0	0.0	0.0	0.0
Endophyte-Plant Pathogen-|Undefined Saprotroph|	7.0	0.0	0.0	1.0	0.0	16.0	6.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	6.0	30.0	0.0	4.0	109.0	348.0	3.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	79.0	0.0	341.0	11.0	0.0	172.0	23.0	18.0	0.0	4.0	26.0	2.0	0.0	22.0	21.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	90.0	0.0	0.0	55.0	32.0	14.0	4.0	9.0	23.0	82.0	1.0
Endophyte-Epiphyte-Fungal Parasite-Insect Parasite	0.0	0.0	8.0	11.0	0.0	20.0	28.0	3.0	17.0	13.0	0.0	100.0	23.0	57.0	19.0	463.0	0.0	3.0	126.0	836.0	387.0	141.0	61.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	13.0	0.0	41.0	0.0	1150.0	0.0	0.0	839.0	497.0	12.0	283.0	386.0	751.0	41.0	8.0	871.0	534.0	40.0	0.0	19.0	451.0	0.0	0.0	24.0	1871.0	0.0	0.0	487.0	0.0	682.0	386.0	27.0	862.0	227.0	368.0
Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	23.0	0.0	9.0	1.0	0.0	11.0	27.0	151.0	84.0	6.0	65.0	0.0	104.0	0.0	80.0	4.0	9.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	55.0	0.0	6.0	0.0	17.0	0.0	0.0	46.0	0.0	23.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	6.0	18.0	137.0	34.0	8.0	0.0	145.0	0.0	13.0	16.0	68.0	0.0	3.0	7.0	0.0	0.0	15.0	0.0	12.0	0.0	26.0	18.0	2.0	22.0	2.0
