# Constructed from biom file
OTU ID	Whitelands_2018_19_	Castle_Field_West__W_	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A_New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
1CMET2-PWY	6459.969303367472	6908.070599628935	7150.547910301821	6092.632115695807	7136.56583881183	6299.403203096305	6349.917917622513	6417.168030946866	6070.2155882038	6088.825979249063	6484.943095385086	6340.039855214607	6216.1113226079415	6087.926158758008	6270.0096663158165	6130.5613708936635	6450.622371986524	6462.1135436053355	6739.871815561298	6830.045477261043	6756.076236758692	6606.823669781156	6628.903492350761	6839.164795308071	6570.4622654793475	6649.021051223896	6483.610433488867	6444.714783301929	6748.6586893574395	6959.818528780594	6490.892300171442	6264.888918162693	6698.648814739016	6330.9914268773055	6787.3609220438275	6817.006578979861	6140.5039177059825	6635.64968198477	7458.171026092513	6952.526760645784	6418.27559108035	6723.484811785928	6818.243253872497	6822.199019943065	6357.518226687856	6783.943112176036	7108.9122252140705	6981.406540867113	5899.883776890227	6344.481141062103	6349.282570100792	6587.234727323616	6655.814141161673	6447.87489997768	6286.666923530087	6837.249225195359	7123.117073419947	6613.849737695622	7039.952708157928	6657.08819673749	6969.498525656148	6385.684851730662	6804.5679128322845	6661.534759520694	6923.264895938473	6566.220801638876
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	726.5223005613973	657.0540800312588	766.6073499144579	453.0328577729374	2619.9768799778267	556.730531367718	688.3022124855198	615.9184655687782	553.1382997411083	525.8877034596891	619.4298548125371	597.5487504956242	544.6351113419264	569.5969562543984	531.9922767965645	739.4633702259456	473.75692099317496	560.0037200778075	618.6610216158216	681.992593326263	693.6243718314375	733.6032352198655	763.0496045278413	706.0524538971499	694.0429774903415	606.0029332761997	619.3776277814259	823.3016731224056	530.623138399556	413.7705576011156	520.8124322828592	480.66377364754936	619.0898047906271	578.1108836153481	723.4850640529762	886.4380157243429	756.0661746379725	613.5800879221503	1155.8405615675433	2107.2235820591236	868.6413956054195	831.5373730366365	1383.1845731621515	2147.878056427158	650.9199226587928	791.2565350552552	1127.583289253708	652.5565732465054	383.982683411036	456.3634592102025	578.156597380351	726.9305341981103	947.9552107984836	599.5533007675779	573.0473048722581	551.8403039810878	705.6134312067836	664.9553195897728	590.0777125088011	419.2871699000805	766.2383818786692	629.5721687934262	414.0876099008779	894.3927509012797	662.1186151615607	626.6122827185551
AEROBACTINSYN-PWY	27.643480791618163	31.15880787303257	20.940021959071764	19.870687927107063	10.56086099366406	15.488293201611008	19.597107843333507	31.27808783445174	13.217792181907988	11.886478304742685	21.04209825770891	18.458732823577154	9.282362945568309	19.727780046277395	21.176882236371362	17.157389260644486	28.79864782010705	28.847155255544845	21.09559463694933	17.17785061238572	14.510038445108925	12.705958906363898	17.17260711712804	26.22770041473277	24.919468280855018	24.973320668067828	17.160363237201874	9.28015237971201	13.152909336941812	22.31731640979148	28.808433107756372	5.306482064191315	19.773273477531404	10.572310005860432	39.031594237985715	0.0	25.00477142876646	34.21694654092537	0.0	1.4986526139289778	13.203475008765437	10.610603771105708	6.903824716195091	6.621790815708342	7.953923686105112	16.288071662840785	11.949048913043478	10.59205959240057	11.925060888028478	14.502698362688404	14.509111506084103	1.3321093506159691	26.210342585304076	33.949419233125	6.628571428571429	0.0	27.507636655948556	3.9871864689111707	10.59094942324756	9.250839667668377	5.317985942749437	17.176086364873445	2.6568222090962785	0.0	0.0	0.0
ALL-CHORISMATE-PWY	2681.911009428231	1936.8402944253514	2491.5344989381488	1678.1899401447497	2972.0008123277885	2011.7793676957335	2015.2168950828714	2175.2390713723403	2077.041303765972	1862.800555018456	2085.0367739228864	2022.8339278411784	2045.2953997185136	1829.074697019833	1292.393921424119	1801.0876982257191	2251.1578099410444	2119.2447619334675	2026.5963113982996	2084.0104476899387	2024.3867567843142	2492.8801714193905	2109.7685317242554	1841.4333303652702	1887.774565269727	2359.584263074294	2169.7999488636265	1542.22780530652	1513.6757916383644	1711.9207189396375	2399.2461225818943	1546.0737450654087	2410.7916657426804	1795.529218768234	2473.4143784206435	1109.5452596422442	2239.159726316358	1878.889226167353	2287.263975287908	2281.7295352463134	2158.486432194666	2371.8389481315417	1503.757326093299	1705.4921314105227	1725.0156992898824	2288.4726548311955	2395.6203189204816	2078.40718999773	2086.0684722015008	1792.6625088236626	1991.5841005057334	1818.960729995011	1920.507219520247	1654.8573005394157	1494.8562310244952	1603.8868190131618	1954.1575590502478	1700.9264302722881	1808.265750746629	1766.5466398432866	1267.620319559533	1656.9016280831	1137.8658244715652	1121.185813337279	357.4644348110771	1197.0329573430677
ANAEROFRUCAT-PWY	8705.638771051963	8719.42993425404	8601.908996341926	7626.423797970527	8328.450888847603	8674.623026256628	8558.954298608847	8982.59829067453	8495.7874701301	8436.019501715387	8836.413929571509	8390.57949380526	8531.632928217392	8231.636800901366	7630.690042099633	7904.435880303239	8794.486003989337	8754.015227276475	8789.772616348322	8621.837970525055	8880.252237954774	8700.247579647565	8628.50229464976	8838.69628306627	8863.0396984286	8801.80457253402	8979.084113903775	8581.697908248407	8395.681560047538	8842.880386970555	9144.923510087272	7999.6831011019185	8679.811479272363	8340.745351190319	8958.62223028657	8998.673236520102	8512.852163667736	8856.769609446517	9622.845119632344	8598.942924412378	9015.068387763917	8799.248234669993	7927.205053567884	8400.6052955637	8606.637405881167	8819.494749502199	9175.61792959483	8920.607522100065	8138.403899430402	8376.28560142689	8681.281178869363	8674.170510068625	8846.196056678897	8724.299911991535	8305.234129315344	8480.98691920216	9018.85543412021	8675.677370171605	7961.420414052672	7974.954678835811	7865.411363593931	7458.068914857135	7672.534094030501	8410.428001919197	7912.092942071532	8004.5954921249695
ANAGLYCOLYSIS-PWY	10233.103109667798	10358.869529573214	10306.127432400977	9906.693908036374	9452.488402994719	10437.580135407701	10338.624393193779	10512.120495972575	10371.206120338775	10348.362704542418	10577.027422469733	10247.169868005345	10308.355844212472	10175.776103909411	9772.117041346677	10086.040582713602	10409.516258812782	10398.614305096344	10431.350858697999	10337.391584853513	10529.982142883362	10232.456739901736	10275.215158604595	10623.490055165872	10507.522997259804	10462.562430962995	10456.506710514657	10517.267265276534	10434.623904170496	10526.122359453499	10505.34173239848	10296.689162971154	10310.12142210189	10360.735917183963	10424.791809344144	11042.112273956245	10299.753195414203	10675.921942140789	10919.657493550085	10091.58779551389	10648.933589897204	10479.157139036703	10066.00982403565	9856.036272296284	10413.313629848433	10285.397417694396	10685.274286962882	10778.319079927482	10275.276533269996	10394.18617705512	10504.875316248317	10354.900780251342	10475.208591247303	10500.014712250768	10479.974509736987	10098.140474802662	10595.453163669375	10463.445323545333	10423.95130198583	10372.089193964677	10285.872765481457	10082.903902089878	10460.0612395134	10193.6838855542	10546.09045984833	10087.588906038212
ARG+POLYAMINE-SYN	3291.1775464884554	3914.464410105592	3870.2100098332076	2973.074837834371	4200.266533917274	3548.287493027279	3214.8846721276072	3504.8051845103128	3424.178124292797	3342.929148811154	3641.173885082135	3682.734088689977	3196.938412749327	3198.579219418348	3425.9657168512585	3148.1699555157898	3606.7813377615507	3874.2424441943294	4403.2581666216165	4339.795622287633	4274.999616737806	3219.608774830922	3320.9209566892055	4218.772749657775	3930.19813170173	4152.827642382602	3675.1159502341734	3420.9030169964467	3707.2799108554195	4085.952549310816	3573.403904935803	3311.524351060991	3771.8971596113765	3473.6051816769527	3912.7254447544574	5005.848599924454	3454.402886656952	3802.4665518377637	4744.785548935483	3917.2365349827737	3766.025036393741	3896.825890611458	4364.320533415526	4142.414671463147	3265.7005494124487	3229.373341865107	4720.8144210366645	4551.16331197609	3063.5702453654617	3708.6623024367273	3776.1153722740155	3728.859168398486	4037.5422212491717	3572.291664881219	3614.8752999417416	3494.4834234219716	4374.64181823293	3814.832615162711	3227.602385413102	3147.493467613848	2867.639186610205	2691.583729588754	3902.8804378276855	4128.855468020548	4773.586121212711	3763.206163805249
ARGORNPROST-PWY	2453.971752714333	1903.9544720936888	2027.9339459731111	1280.021183820779	1248.767184365191	2003.8543543430358	1920.031722517406	2075.7882998952723	1820.7905211815655	1794.9178204416214	1942.2487915883366	1772.9197573403862	1933.710058973832	1659.0163967517692	1177.2804518145967	1435.8986373143723	2019.6392888617186	2189.7153687835794	2026.7006636685487	1962.5665547841666	1943.3616687903082	2091.7172974899545	1878.1924888489018	1844.0503976478662	1938.1677021533942	1970.9120656930784	2240.1082827827895	1669.8540079385002	1733.4912412710858	1887.2314265827156	2289.026196616823	1592.3613631890396	1956.9947910106766	1784.7122813053925	2085.0518921102366	2087.005032393348	2230.9743172985395	1887.6764680068618	2653.9919935283783	2080.458163480199	1931.1230516800902	2062.5919745584565	1479.7518483452204	1591.3344004392711	2034.3153748087614	2040.724950012321	2563.2146602401044	1948.5086862710036	1832.2853885242837	1593.5085349189956	1649.9609765547812	1696.4432237063784	1761.4809483669871	1692.5184787240216	1550.8229985477049	1611.9335760746274	1811.9030886527175	1717.1782847835811	1726.9375806593164	1393.0567396577367	1659.0212100981737	1269.4767869403333	965.309589045485	1944.0038197580645	1419.8074312738802	1728.5654931488173
ARGSYN-PWY	9231.380685672777	9364.976073088485	9266.510450173317	9179.369580640323	8214.148110687884	9501.279306116014	9470.261362427442	9542.251882914412	9498.396678988755	9485.938032606678	9567.807801558416	9340.399528841852	9383.540705869713	9258.411611530897	8950.592503183307	9243.497157838105	9402.723004195343	9393.46733833148	9369.807196600686	9343.641574800544	9456.708807327594	9306.07633605119	9339.336993649944	9548.732074496485	9552.560460672416	9523.514152446236	9487.686610034498	9483.75340058454	9471.684619174532	9447.637371018334	9463.608722085657	9464.467725582552	9337.261613877323	9468.730915852362	9341.475142928879	9404.015420925358	9344.332940386172	9606.924061104493	9669.473945433218	8980.845182298179	9570.478183792016	9597.530676933618	9095.693095000872	8567.167379304681	9481.929533432152	9424.544688344324	9484.082573807938	9704.294840949451	9408.84542361159	9472.073647457913	9463.58830394741	9440.499196684057	9348.540453995025	9490.129342175158	9548.805416695928	8990.156212683885	9478.466929813674	9442.016265671602	9520.263437299509	9470.18261837114	9414.19883144398	9371.317232287347	9430.704828032614	9184.254504831451	9354.877759737943	9051.23461857695
ARGSYNBSUB-PWY	10031.465309115903	10107.953496846716	10018.716872425934	10098.170901922362	8809.614329332604	10295.788833844454	10271.290937007727	10306.82830466244	10360.74680852846	10303.674730495939	10288.966900173955	10162.495190203434	10192.468756845325	10146.349527194125	9881.018483325704	10009.349640974033	10207.05543677923	10185.357122564323	10158.273896219685	10133.299408761233	10200.884185529698	10035.489133714345	10138.4790549633	10286.043218460916	10353.116190089895	10354.391669028575	10303.265357079554	10298.954809350238	10245.240671373333	10296.073913304452	10180.015684229933	10373.028383930961	10089.0779546436	10281.273079252096	10081.077693476273	10000.341652775689	10102.146648508888	10353.878622443039	10359.217809579775	9777.403503694504	10373.121345589036	10473.232250846493	9889.483466757954	9574.758794071926	10318.345573272112	10272.384472307469	10211.637171946826	10483.62716309729	10260.245839816269	10301.219471942908	10261.105249624108	10252.145734942365	10097.866348237414	10289.499529999337	10400.996174174166	9815.75223101165	10167.790480166284	10242.915977294619	10380.36592560296	10348.093619423553	10183.896944215794	9939.313151190738	10295.443928718907	9909.86938438972	10082.869327591368	9809.476806126551
