#SampleID	Plough
#q2:types	categorical
Whitelands_2018_19_	yes
Castle_Field_West__W_	yes
Toposcope_Field_-_1980s	no
Bradenham_post-1986_b	yes
Lardon_Chase_The_Holies_motorcycle	no
Stonehenge_2000_2017a	yes
Stonehenge_2003_2017b	yes
Stonehenge_2009	yes
Stonehenge_2007_2016	yes
Stonehenge_2005	yes
Stonehenge_2002_2017	yes
Stonehenge_2010	yes
Stonehenge_2011	yes
Stonehenge_-_Luxenborough_BankB	yes
Watlington_natural_reversion	no
St_Catherines_A3	no
HARLEY_FARMS_Chittern	yes
HARLEY_FARMS_New1	no
HARLEY_FARMS_new2b	no
WINDMILL_farm	yes
DRUIDS	yes
Stratton_Wood	yes
WESTMEAD_FARM	no
RSPB_orig_green	no
RSPB_churchil	no
RSPB_junction	no
RSPB_Mainline	no
Baltic_farm_1	no
Baltic_farm_2	no
WestEndFarm	yes
HorntonHouseFarm_1_parallel	no
TownsendFarm_1	no
TownsendFarm_2	no
TownsendFarm_3_big	no
ChurchFarm	no
StowellFarms_1_adj	yes
MannorFmAltonBarnes	no
HommingtonFarm	yes
ThropeManor_1	no
ThropeManor_2	yes
ThropeManor_3	no
MannorFmBroadChalke	no
BigleyFm_1	yes
BigleyFm_2	yes
NorringtonMannorFm_1	yes
NorringtonMannorFm_2	no
ManorFmBerwickStJohn_1	no
ManorFmBerwickStJohn_3	no
Jemma_1	no
Jemma_2	no
Jemma_7	yes
Jemma_4	no
Jemma_5	no
Jemma_6	no
Jemma_9	no
HomeFarm_WoodlandTrust_Hampshire_good_1c	no
Crux_easton_70b1	yes
Crux_easton_70b2	no
Martin_Down_arabel_reversion	yes
Parsonage_down_reversion	yes
TARGET_MartinDown	unknown
TARGET_St_Catherines	unknown
TARGET_ParsonageDown	unknown
TARGET_KNEPP_A_New_Barn_Field	unknown
Knepp_Pond_field	unknown
Knepp_Benton_field	unknown
