	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Toposcope_Field_-_1980s	Whitelands_2018_19_	AboveMedian	AboveMedian	0.6418772563176895
1	Lardon_Chase_The_Holies_motorcycle	Whitelands_2018_19_	AboveMedian	AboveMedian	0.7661431064572426
2	Lardon_Chase_The_Holies_motorcycle	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.6657115568290354
3	RSPB_orig_green	Whitelands_2018_19_	AboveMedian	AboveMedian	0.6516690856313497
4	RSPB_orig_green	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.5081037277147488
5	RSPB_orig_green	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.6273726273726273
6	RSPB_churchil	Whitelands_2018_19_	AboveMedian	AboveMedian	0.6091578086672118
7	RSPB_churchil	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.5931495405179615
8	RSPB_churchil	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.6387024608501118
9	RSPB_churchil	RSPB_orig_green	AboveMedian	AboveMedian	0.5009025270758123
10	RSPB_junction	Whitelands_2018_19_	AboveMedian	AboveMedian	0.6256022023399862
11	RSPB_junction	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.5907473309608541
12	RSPB_junction	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.7024013722126929
13	RSPB_junction	RSPB_orig_green	AboveMedian	AboveMedian	0.5083841463414634
14	RSPB_junction	RSPB_churchil	AboveMedian	AboveMedian	0.5012489592006661
15	RSPB_Mainline	Whitelands_2018_19_	AboveMedian	AboveMedian	0.6094946401225115
16	RSPB_Mainline	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.6161538461538462
17	RSPB_Mainline	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.6953966699314398
18	RSPB_Mainline	RSPB_orig_green	AboveMedian	AboveMedian	0.5346534653465347
19	RSPB_Mainline	RSPB_churchil	AboveMedian	AboveMedian	0.49675023212627667
20	RSPB_Mainline	RSPB_junction	AboveMedian	AboveMedian	0.4251644736842105
21	Baltic_farm_1	Whitelands_2018_19_	AboveMedian	AboveMedian	0.7806341045415596
22	Baltic_farm_1	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.7321911632100991
23	Baltic_farm_1	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.645021645021645
24	Baltic_farm_1	RSPB_orig_green	AboveMedian	AboveMedian	0.7014084507042253
25	Baltic_farm_1	RSPB_churchil	AboveMedian	AboveMedian	0.6673913043478261
26	Baltic_farm_1	RSPB_junction	AboveMedian	AboveMedian	0.7188552188552189
27	Baltic_farm_1	RSPB_Mainline	AboveMedian	AboveMedian	0.6955252918287937
28	Baltic_farm_2	Whitelands_2018_19_	AboveMedian	AboveMedian	0.7070789259560618
29	Baltic_farm_2	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.6210526315789474
30	Baltic_farm_2	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.630731102850062
31	Baltic_farm_2	RSPB_orig_green	AboveMedian	AboveMedian	0.5918181818181818
32	Baltic_farm_2	RSPB_churchil	AboveMedian	AboveMedian	0.5752302968270215
33	Baltic_farm_2	RSPB_junction	AboveMedian	AboveMedian	0.5933333333333334
34	Baltic_farm_2	RSPB_Mainline	AboveMedian	AboveMedian	0.5902712815715622
35	Baltic_farm_2	Baltic_farm_1	AboveMedian	AboveMedian	0.5625806451612904
36	WestEndFarm	Whitelands_2018_19_	AboveMedian	AboveMedian	0.7462019660411081
37	WestEndFarm	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.7296058661778185
38	WestEndFarm	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.6776978417266187
39	WestEndFarm	RSPB_orig_green	AboveMedian	AboveMedian	0.709280303030303
40	WestEndFarm	RSPB_churchil	AboveMedian	AboveMedian	0.6644518272425249
41	WestEndFarm	RSPB_junction	AboveMedian	AboveMedian	0.723874256584537
42	WestEndFarm	RSPB_Mainline	AboveMedian	AboveMedian	0.6816367265469062
43	WestEndFarm	Baltic_farm_1	AboveMedian	AboveMedian	0.5545171339563862
44	WestEndFarm	Baltic_farm_2	AboveMedian	AboveMedian	0.5413333333333333
45	HorntonHouseFarm_1_parallel	Whitelands_2018_19_	AboveMedian	AboveMedian	0.6076595744680852
46	HorntonHouseFarm_1_parallel	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.5897212543554007
47	HorntonHouseFarm_1_parallel	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.6743383199079401
48	HorntonHouseFarm_1_parallel	RSPB_orig_green	AboveMedian	AboveMedian	0.5543478260869565
49	HorntonHouseFarm_1_parallel	RSPB_churchil	AboveMedian	AboveMedian	0.5331294597349643
50	HorntonHouseFarm_1_parallel	RSPB_junction	AboveMedian	AboveMedian	0.5613598673300166
51	HorntonHouseFarm_1_parallel	RSPB_Mainline	AboveMedian	AboveMedian	0.5380997177798683
52	HorntonHouseFarm_1_parallel	Baltic_farm_1	AboveMedian	AboveMedian	0.6940382452193475
53	HorntonHouseFarm_1_parallel	Baltic_farm_2	AboveMedian	AboveMedian	0.5807486631016042
54	HorntonHouseFarm_1_parallel	WestEndFarm	AboveMedian	AboveMedian	0.6732558139534883
55	TownsendFarm_1	Whitelands_2018_19_	AboveMedian	AboveMedian	0.7232746955345061
56	TownsendFarm_1	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.6459087617668356
57	TownsendFarm_1	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.7245454545454545
58	TownsendFarm_1	RSPB_orig_green	AboveMedian	AboveMedian	0.643906020558003
59	TownsendFarm_1	RSPB_churchil	AboveMedian	AboveMedian	0.6523125996810207
60	TownsendFarm_1	RSPB_junction	AboveMedian	AboveMedian	0.6121593291404612
61	TownsendFarm_1	RSPB_Mainline	AboveMedian	AboveMedian	0.6315390447308568
62	TownsendFarm_1	Baltic_farm_1	AboveMedian	AboveMedian	0.6577946768060836
63	TownsendFarm_1	Baltic_farm_2	AboveMedian	AboveMedian	0.5509641873278237
64	TownsendFarm_1	WestEndFarm	AboveMedian	AboveMedian	0.6511627906976745
65	TownsendFarm_1	HorntonHouseFarm_1_parallel	AboveMedian	AboveMedian	0.6298482293423272
66	TownsendFarm_2	Whitelands_2018_19_	AboveMedian	AboveMedian	0.5940274414850686
67	TownsendFarm_2	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.5860655737704918
68	TownsendFarm_2	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.6936656282450675
69	TownsendFarm_2	RSPB_orig_green	AboveMedian	AboveMedian	0.5991769547325103
70	TownsendFarm_2	RSPB_churchil	AboveMedian	AboveMedian	0.5383159886471145
71	TownsendFarm_2	RSPB_junction	AboveMedian	AboveMedian	0.5805705474171164
72	TownsendFarm_2	RSPB_Mainline	AboveMedian	AboveMedian	0.5652549697493517
73	TownsendFarm_2	Baltic_farm_1	AboveMedian	AboveMedian	0.711088504577823
74	TownsendFarm_2	Baltic_farm_2	AboveMedian	AboveMedian	0.5964740450538688
75	TownsendFarm_2	WestEndFarm	AboveMedian	AboveMedian	0.694240837696335
76	TownsendFarm_2	HorntonHouseFarm_1_parallel	AboveMedian	AboveMedian	0.5050505050505051
77	TownsendFarm_2	TownsendFarm_1	AboveMedian	AboveMedian	0.6359338061465721
78	ChurchFarm	Whitelands_2018_19_	AboveMedian	AboveMedian	0.5923423423423423
79	ChurchFarm	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.6328182487122884
80	ChurchFarm	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.7468468468468469
81	ChurchFarm	RSPB_orig_green	AboveMedian	AboveMedian	0.6077389984825493
82	ChurchFarm	RSPB_churchil	AboveMedian	AboveMedian	0.59581589958159
83	ChurchFarm	RSPB_junction	AboveMedian	AboveMedian	0.59
84	ChurchFarm	RSPB_Mainline	AboveMedian	AboveMedian	0.573587907716786
85	ChurchFarm	Baltic_farm_1	AboveMedian	AboveMedian	0.75
86	ChurchFarm	Baltic_farm_2	AboveMedian	AboveMedian	0.660393498716852
87	ChurchFarm	WestEndFarm	AboveMedian	AboveMedian	0.728110599078341
88	ChurchFarm	HorntonHouseFarm_1_parallel	AboveMedian	AboveMedian	0.5415913200723327
89	ChurchFarm	TownsendFarm_1	AboveMedian	AboveMedian	0.685472496473907
90	ChurchFarm	TownsendFarm_2	AboveMedian	AboveMedian	0.553030303030303
