	SubjectID1	SubjectID2	Group1	Group2	Distance
0	HARLEY_FARMS_New1	HARLEY_FARMS_Chittern	no	no	0.07185958325862885
1	HARLEY_FARMS_new2b	HARLEY_FARMS_Chittern	no	no	0.1233767196536064
2	HARLEY_FARMS_new2b	HARLEY_FARMS_New1	no	no	0.1132993698120117
3	Stratton_Wood	HARLEY_FARMS_Chittern	no	no	0.1035409495234489
4	Stratton_Wood	HARLEY_FARMS_New1	no	no	0.1166301965713501
5	Stratton_Wood	HARLEY_FARMS_new2b	no	no	0.1299250423908234
6	Jemma_2	HARLEY_FARMS_Chittern	no	no	0.0808279737830162
7	Jemma_2	HARLEY_FARMS_New1	no	no	0.1173013150691986
8	Jemma_2	HARLEY_FARMS_new2b	no	no	0.141758143901825
9	Jemma_2	Stratton_Wood	no	no	0.1276946663856506
10	HomeFarm_WoodlandTrust_Hampshire_good_1c	HARLEY_FARMS_Chittern	no	no	0.2197420299053192
11	HomeFarm_WoodlandTrust_Hampshire_good_1c	HARLEY_FARMS_New1	no	no	0.2405976057052612
12	HomeFarm_WoodlandTrust_Hampshire_good_1c	HARLEY_FARMS_new2b	no	no	0.1925835907459259
13	HomeFarm_WoodlandTrust_Hampshire_good_1c	Stratton_Wood	no	no	0.1891747415065765
14	HomeFarm_WoodlandTrust_Hampshire_good_1c	Jemma_2	no	no	0.2287292182445526
15	Parsonage_down_reversion	HARLEY_FARMS_Chittern	no	no	0.1538433581590652
16	Parsonage_down_reversion	HARLEY_FARMS_New1	no	no	0.1943484395742416
17	Parsonage_down_reversion	HARLEY_FARMS_new2b	no	no	0.1976654082536697
18	Parsonage_down_reversion	Stratton_Wood	no	no	0.1712668836116791
19	Parsonage_down_reversion	Jemma_2	no	no	0.115021638572216
20	Parsonage_down_reversion	HomeFarm_WoodlandTrust_Hampshire_good_1c	no	no	0.22601518034935
21	TARGET_KNEPP_A_New_Barn_Field	HARLEY_FARMS_Chittern	no	no	0.1960557252168655
22	TARGET_KNEPP_A_New_Barn_Field	HARLEY_FARMS_New1	no	no	0.2025067508220673
23	TARGET_KNEPP_A_New_Barn_Field	HARLEY_FARMS_new2b	no	no	0.1274338960647583
24	TARGET_KNEPP_A_New_Barn_Field	Stratton_Wood	no	no	0.1897902488708496
25	TARGET_KNEPP_A_New_Barn_Field	Jemma_2	no	no	0.2012578248977661
26	TARGET_KNEPP_A_New_Barn_Field	HomeFarm_WoodlandTrust_Hampshire_good_1c	no	no	0.1288852095603943
27	TARGET_KNEPP_A_New_Barn_Field	Parsonage_down_reversion	no	no	0.2135336697101593
28	Knepp_Pond_field	HARLEY_FARMS_Chittern	no	no	0.3288140296936035
29	Knepp_Pond_field	HARLEY_FARMS_New1	no	no	0.3297419250011444
30	Knepp_Pond_field	HARLEY_FARMS_new2b	no	no	0.2828985452651978
31	Knepp_Pond_field	Stratton_Wood	no	no	0.3155936002731323
32	Knepp_Pond_field	Jemma_2	no	no	0.3182536363601685
33	Knepp_Pond_field	HomeFarm_WoodlandTrust_Hampshire_good_1c	no	no	0.2093468904495239
34	Knepp_Pond_field	Parsonage_down_reversion	no	no	0.3143140375614166
35	Knepp_Pond_field	TARGET_KNEPP_A_New_Barn_Field	no	no	0.2063692957162857
36	Knepp_Benton_field	HARLEY_FARMS_Chittern	no	no	0.2302751094102859
37	Knepp_Benton_field	HARLEY_FARMS_New1	no	no	0.2248780876398087
38	Knepp_Benton_field	HARLEY_FARMS_new2b	no	no	0.1573785841464996
39	Knepp_Benton_field	Stratton_Wood	no	no	0.2252838462591171
40	Knepp_Benton_field	Jemma_2	no	no	0.2360803484916687
41	Knepp_Benton_field	HomeFarm_WoodlandTrust_Hampshire_good_1c	no	no	0.1662667095661163
42	Knepp_Benton_field	Parsonage_down_reversion	no	no	0.2346629947423935
43	Knepp_Benton_field	TARGET_KNEPP_A_New_Barn_Field	no	no	0.09405184537172318
44	Knepp_Benton_field	Knepp_Pond_field	no	no	0.1854354739189148
45	HARLEY_FARMS_Chittern	Whitelands_2018_19_	no	yes	0.09704268723726273
46	HARLEY_FARMS_Chittern	Castle_Field_West__W_	no	yes	0.09477047622203827
47	HARLEY_FARMS_Chittern	Toposcope_Field_-_1980s	no	yes	0.1277757287025452
48	HARLEY_FARMS_Chittern	Bradenham_post-1986_b	no	yes	0.1472630798816681
49	HARLEY_FARMS_Chittern	Lardon_Chase_The_Holies_motorcycle	no	yes	0.2742728292942047
50	HARLEY_FARMS_Chittern	Stonehenge_2000_2017a	no	yes	0.05400343239307404
51	HARLEY_FARMS_Chittern	Stonehenge_2003_2017b	no	yes	0.06889329850673676
52	HARLEY_FARMS_Chittern	Stonehenge_2009	no	yes	0.06787310540676117
53	HARLEY_FARMS_Chittern	Stonehenge_2007_2016	no	yes	0.06592883914709091
54	HARLEY_FARMS_Chittern	Stonehenge_2005	no	yes	0.06065937504172325
55	HARLEY_FARMS_Chittern	Stonehenge_2002_2017	no	yes	0.06847421824932098
56	HARLEY_FARMS_Chittern	Stonehenge_2010	no	yes	0.05734055489301682
57	HARLEY_FARMS_Chittern	Stonehenge_2011	no	yes	0.05231313407421112
58	HARLEY_FARMS_Chittern	Stonehenge_-_Luxenborough_BankB	no	yes	0.07302702963352203
59	HARLEY_FARMS_Chittern	Watlington_natural_reversion	no	yes	0.1718576103448868
60	HARLEY_FARMS_Chittern	St_Catherines_A3	no	yes	0.1254404932260513
61	HARLEY_FARMS_Chittern	WINDMILL_farm	no	yes	0.1169920861721039
62	HARLEY_FARMS_Chittern	DRUIDS	no	yes	0.08872471004724503
63	HARLEY_FARMS_Chittern	WESTMEAD_FARM	no	yes	0.08943495899438858
64	HARLEY_FARMS_Chittern	RSPB_orig_green	no	yes	0.07336536049842834
65	HARLEY_FARMS_Chittern	RSPB_churchil	no	yes	0.05162923783063889
66	HARLEY_FARMS_Chittern	RSPB_junction	no	yes	0.06037760525941849
67	HARLEY_FARMS_Chittern	RSPB_Mainline	no	yes	0.05237956717610359
68	HARLEY_FARMS_Chittern	Baltic_farm_1	no	yes	0.1532635986804962
69	HARLEY_FARMS_Chittern	Baltic_farm_2	no	yes	0.09070534259080887
70	HARLEY_FARMS_Chittern	WestEndFarm	no	yes	0.1237002834677696
71	HARLEY_FARMS_Chittern	HorntonHouseFarm_1_parallel	no	yes	0.07913131266832352
72	HARLEY_FARMS_Chittern	TownsendFarm_1	no	yes	0.0940178856253624
73	HARLEY_FARMS_Chittern	TownsendFarm_2	no	yes	0.08016253262758255
74	HARLEY_FARMS_Chittern	TownsendFarm_3_big	no	yes	0.07575654238462448
75	HARLEY_FARMS_Chittern	ChurchFarm	no	yes	0.07675795257091522
76	HARLEY_FARMS_Chittern	StowellFarms_1_adj	no	yes	0.3025314211845398
77	HARLEY_FARMS_Chittern	MannorFmAltonBarnes	no	yes	0.09339498728513718
78	HARLEY_FARMS_Chittern	HommingtonFarm	no	yes	0.07016190886497498
79	HARLEY_FARMS_Chittern	ThropeManor_1	no	yes	0.1840713024139404
80	HARLEY_FARMS_Chittern	ThropeManor_2	no	yes	0.1546946465969086
81	HARLEY_FARMS_Chittern	ThropeManor_3	no	yes	0.08005109429359436
82	HARLEY_FARMS_Chittern	MannorFmBroadChalke	no	yes	0.08105380088090897
83	HARLEY_FARMS_Chittern	BigleyFm_1	no	yes	0.1867225021123886
84	HARLEY_FARMS_Chittern	BigleyFm_2	no	yes	0.1907389611005783
85	HARLEY_FARMS_Chittern	NorringtonMannorFm_1	no	yes	0.07663638144731522
86	HARLEY_FARMS_Chittern	NorringtonMannorFm_2	no	yes	0.08682379126548767
87	HARLEY_FARMS_Chittern	ManorFmBerwickStJohn_1	no	yes	0.1513245403766632
88	HARLEY_FARMS_Chittern	ManorFmBerwickStJohn_3	no	yes	0.1206102818250656
89	HARLEY_FARMS_Chittern	Jemma_1	no	yes	0.09073002636432648
90	HARLEY_FARMS_Chittern	Jemma_7	no	yes	0.08254693448543549
91	HARLEY_FARMS_Chittern	Jemma_4	no	yes	0.09272291511297226
92	HARLEY_FARMS_Chittern	Jemma_5	no	yes	0.09542057663202286
93	HARLEY_FARMS_Chittern	Jemma_6	no	yes	0.08969879895448685
94	HARLEY_FARMS_Chittern	Jemma_9	no	yes	0.09713128209114075
95	HARLEY_FARMS_Chittern	Crux_easton_70b1	no	yes	0.1110032945871353
96	HARLEY_FARMS_Chittern	Crux_easton_70b2	no	yes	0.08512798696756363
97	HARLEY_FARMS_Chittern	Martin_Down_arabel_reversion	no	yes	0.1398817449808121
98	HARLEY_FARMS_Chittern	TARGET_MartinDown	no	yes	0.1783168464899063
99	HARLEY_FARMS_Chittern	TARGET_St_Catherines	no	yes	0.2104081511497498
100	HARLEY_FARMS_Chittern	TARGET_ParsonageDown	no	yes	0.1891642510890961
101	HARLEY_FARMS_New1	Whitelands_2018_19_	no	yes	0.0963873639702797
102	HARLEY_FARMS_New1	Castle_Field_West__W_	no	yes	0.138703390955925
