#SampleID	Sheep
#q2:types	categorical
Whitelands_2018_19_	yes
Castle_Field_West__W_	yes
Toposcope_Field_-_1980s	yes
Bradenham_post-1986_b	yes
Lardon_Chase_The_Holies_motorcycle	yes
Stonehenge_2000_2017a	yes
Stonehenge_2003_2017b	yes
Stonehenge_2009	yes
Stonehenge_2007_2016	yes
Stonehenge_2005	yes
Stonehenge_2002_2017	yes
Stonehenge_2010	yes
Stonehenge_2011	yes
Stonehenge_-_Luxenborough_BankB	yes
Watlington_natural_reversion	yes
St_Catherines_A3	yes
HARLEY_FARMS_Chittern	no
HARLEY_FARMS_New1	no
HARLEY_FARMS_new2b	no
WINDMILL_farm	yes
DRUIDS	yes
Stratton_Wood	no
WESTMEAD_FARM	yes
RSPB_orig_green	yes
RSPB_churchil	yes
RSPB_junction	yes
RSPB_Mainline	yes
Baltic_farm_1	yes
Baltic_farm_2	yes
WestEndFarm	yes
HorntonHouseFarm_1_parallel	yes
TownsendFarm_1	yes
TownsendFarm_2	yes
TownsendFarm_3_big	yes
ChurchFarm	yes
StowellFarms_1_adj	yes
MannorFmAltonBarnes	yes
HommingtonFarm	yes
ThropeManor_1	yes
ThropeManor_2	yes
ThropeManor_3	yes
MannorFmBroadChalke	yes
BigleyFm_1	yes
BigleyFm_2	yes
NorringtonMannorFm_1	yes
NorringtonMannorFm_2	yes
ManorFmBerwickStJohn_1	yes
ManorFmBerwickStJohn_3	yes
Jemma_1	yes
Jemma_2	no
Jemma_7	yes
Jemma_4	yes
Jemma_5	yes
Jemma_6	yes
Jemma_9	yes
HomeFarm_WoodlandTrust_Hampshire_good_1c	no
Crux_easton_70b1	yes
Crux_easton_70b2	yes
Martin_Down_arabel_reversion	yes
Parsonage_down_reversion	no
TARGET_MartinDown	yes
TARGET_St_Catherines	yes
TARGET_ParsonageDown	yes
TARGET_KNEPP_A_New_Barn_Field	no
Knepp_Pond_field	no
Knepp_Benton_field	no
