Group 1,Group 2,H,p-value,q-value
1945 (n=1),1957 (n=1),1.0,0.31731050786291115,0.6591643699251635
1945 (n=1),1985 (n=1),1.0,0.31731050786291115,0.6591643699251635
1945 (n=1),1986 (n=1),1.0,0.31731050786291115,0.6591643699251635
1945 (n=1),1990 (n=1),1.0,0.31731050786291115,0.6591643699251635
1945 (n=1),1994 (n=2),0.0,1.0,1.0
1945 (n=1),1995 (n=1),1.0,0.31731050786291115,0.6591643699251635
1945 (n=1),1998 (n=2),1.5,0.22067136191984324,0.633377344136345
1945 (n=1),2000 (n=6),0.2545454545454546,0.6138925134377758,0.9117594003814262
1945 (n=1),2002 (n=5),0.7941176470588244,0.37285793639518294,0.7216487387146896
1945 (n=1),2003 (n=2),0.0,1.0,1.0
1945 (n=1),2005 (n=3),0.8888888888888896,0.34577858615115986,0.7065910238741107
1945 (n=1),2006 (n=2),0.0,1.0,1.0
1945 (n=1),2007 (n=3),0.22222222222222143,0.6373518882339377,0.9117594003814262
1945 (n=1),2008 (n=1),1.0,0.31731050786291115,0.6591643699251635
1945 (n=1),2009 (n=3),0.1999999999999993,0.6547208460185774,0.9117594003814262
1945 (n=1),2010 (n=5),0.09090909090909059,0.7630246005529954,0.9911629639940374
1945 (n=1),2011 (n=1),1.0,0.31731050786291115,0.6591643699251635
1945 (n=1),2012 (n=2),0.0,1.0,1.0
1945 (n=1),2013 (n=2),1.5,0.22067136191984324,0.633377344136345
1945 (n=1),2014 (n=5),0.08823529411764675,0.766432716454146,0.9911629639940374
1945 (n=1),2015 (n=4),0.5263157894736842,0.468159909854428,0.7965073579423753
1945 (n=1),2016 (n=2),1.5,0.22067136191984324,0.633377344136345
1945 (n=1),2017 (n=2),0.0,1.0,1.0
1945 (n=1),2018 (n=2),0.0,1.0,1.0
1945 (n=1),2019 (n=1),1.0,0.31731050786291115,0.6591643699251635
1945 (n=1),2020 (n=2),1.5,0.22067136191984324,0.633377344136345
1945 (n=1),old (n=3),1.8000000000000007,0.17971249487899588,0.633377344136345
1957 (n=1),1985 (n=1),1.0,0.31731050786291115,0.6591643699251635
1957 (n=1),1986 (n=1),1.0,0.31731050786291115,0.6591643699251635
1957 (n=1),1990 (n=1),1.0,0.31731050786291115,0.6591643699251635
1957 (n=1),1994 (n=2),0.0,1.0,1.0
1957 (n=1),1995 (n=1),1.0,0.31731050786291115,0.6591643699251635
1957 (n=1),1998 (n=2),0.0,1.0,1.0
1957 (n=1),2000 (n=6),1.0181818181818183,0.31295067552291106,0.6591643699251635
1957 (n=1),2002 (n=5),2.205882352941176,0.1374852075950244,0.633377344136345
1957 (n=1),2003 (n=2),0.0,1.0,1.0
1957 (n=1),2005 (n=3),0.1999999999999993,0.6547208460185774,0.9117594003814262
1957 (n=1),2006 (n=2),1.5,0.22067136191984324,0.633377344136345
1957 (n=1),2007 (n=3),0.22222222222222143,0.6373518882339377,0.9117594003814262
1957 (n=1),2009 (n=3),0.1999999999999993,0.6547208460185774,0.9117594003814262
1957 (n=1),2010 (n=5),0.818181818181819,0.365712296281513,0.7216487387146896
1957 (n=1),2011 (n=1),1.0,0.31731050786291115,0.6591643699251635
1957 (n=1),2012 (n=2),1.5,0.22067136191984324,0.633377344136345
1957 (n=1),2013 (n=2),1.5,0.22067136191984324,0.633377344136345
1957 (n=1),2014 (n=5),2.205882352941176,0.1374852075950244,0.633377344136345
1957 (n=1),2015 (n=4),0.5263157894736842,0.468159909854428,0.7965073579423753
1957 (n=1),2016 (n=2),1.5,0.22067136191984324,0.633377344136345
1957 (n=1),2017 (n=2),0.0,1.0,1.0
1957 (n=1),2018 (n=2),0.0,1.0,1.0
1957 (n=1),2019 (n=1),1.0,0.31731050786291115,0.6591643699251635
1957 (n=1),2020 (n=2),1.5,0.22067136191984324,0.633377344136345
1957 (n=1),old (n=3),0.1999999999999993,0.6547208460185774,0.9117594003814262
1985 (n=1),1986 (n=1),1.0,0.31731050786291115,0.6591643699251635
1985 (n=1),1990 (n=1),1.0,0.31731050786291115,0.6591643699251635
1985 (n=1),1994 (n=2),1.5,0.22067136191984324,0.633377344136345
1985 (n=1),1995 (n=1),1.0,0.31731050786291115,0.6591643699251635
1985 (n=1),1998 (n=2),1.5,0.22067136191984324,0.633377344136345
1985 (n=1),2000 (n=6),2.290909090909091,0.13013368168806863,0.633377344136345
1985 (n=1),2002 (n=5),0.08823529411764675,0.766432716454146,0.9911629639940374
1985 (n=1),2003 (n=2),1.5,0.22067136191984324,0.633377344136345
1985 (n=1),2005 (n=3),1.8000000000000007,0.17971249487899588,0.633377344136345
1985 (n=1),2006 (n=2),0.0,1.0,1.0
1985 (n=1),2007 (n=3),2.000000000000001,0.15729920705028094,0.633377344136345
1985 (n=1),2008 (n=1),1.0,0.31731050786291115,0.6591643699251635
1985 (n=1),2009 (n=3),1.8000000000000007,0.17971249487899588,0.633377344136345
1985 (n=1),2010 (n=5),2.272727272727272,0.13166801602281455,0.633377344136345
1985 (n=1),2011 (n=1),1.0,0.31731050786291115,0.6591643699251635
1985 (n=1),2012 (n=2),0.0,1.0,1.0
1985 (n=1),2013 (n=2),1.5,0.22067136191984324,0.633377344136345
1985 (n=1),2014 (n=5),2.205882352941176,0.1374852075950244,0.633377344136345
1985 (n=1),2015 (n=4),2.1052631578947367,0.14679308730856683,0.633377344136345
1985 (n=1),2016 (n=2),0.5,0.47950012218695337,0.8048752050995289
1985 (n=1),2017 (n=2),1.5,0.22067136191984324,0.633377344136345
1985 (n=1),2018 (n=2),0.0,1.0,1.0
1985 (n=1),2019 (n=1),1.0,0.31731050786291115,0.6591643699251635
1985 (n=1),2020 (n=2),1.5,0.22067136191984324,0.633377344136345
1985 (n=1),old (n=3),1.8000000000000007,0.17971249487899588,0.633377344136345
1986 (n=1),1990 (n=1),1.0,0.31731050786291115,0.6591643699251635
1986 (n=1),1994 (n=2),1.5,0.22067136191984324,0.633377344136345
1986 (n=1),1995 (n=1),1.0,0.31731050786291115,0.6591643699251635
1986 (n=1),1998 (n=2),1.5,0.22067136191984324,0.633377344136345
1986 (n=1),2000 (n=6),0.0,1.0,1.0
1986 (n=1),2002 (n=5),0.08823529411764675,0.766432716454146,0.9911629639940374
1986 (n=1),2003 (n=2),0.0,1.0,1.0
1986 (n=1),2005 (n=3),1.8000000000000007,0.17971249487899588,0.633377344136345
1986 (n=1),2006 (n=2),0.0,1.0,1.0
1986 (n=1),2007 (n=3),0.22222222222222143,0.6373518882339377,0.9117594003814262
1986 (n=1),2008 (n=1),1.0,0.31731050786291115,0.6591643699251635
1986 (n=1),2009 (n=3),0.1999999999999993,0.6547208460185774,0.9117594003814262
1986 (n=1),2010 (n=5),0.09090909090909059,0.7630246005529954,0.9911629639940374
1986 (n=1),2012 (n=2),0.0,1.0,1.0
1986 (n=1),2013 (n=2),1.5,0.22067136191984324,0.633377344136345
1986 (n=1),2014 (n=5),0.7941176470588244,0.37285793639518294,0.7216487387146896
1986 (n=1),2015 (n=4),2.1052631578947367,0.14679308730856683,0.633377344136345
1986 (n=1),2016 (n=2),1.5,0.22067136191984324,0.633377344136345
1986 (n=1),2017 (n=2),1.5,0.22067136191984324,0.633377344136345
1986 (n=1),2018 (n=2),0.0,1.0,1.0
1986 (n=1),2019 (n=1),1.0,0.31731050786291115,0.6591643699251635
1986 (n=1),2020 (n=2),1.5,0.22067136191984324,0.633377344136345
1986 (n=1),old (n=3),1.8000000000000007,0.17971249487899588,0.633377344136345
1990 (n=1),1994 (n=2),1.5,0.22067136191984324,0.633377344136345
1990 (n=1),1995 (n=1),1.0,0.31731050786291115,0.6591643699251635
1990 (n=1),1998 (n=2),1.5,0.22067136191984324,0.633377344136345
1990 (n=1),2000 (n=6),0.0,1.0,1.0
1990 (n=1),2002 (n=5),0.7941176470588244,0.37285793639518294,0.7216487387146896
1990 (n=1),2003 (n=2),0.0,1.0,1.0
1990 (n=1),2005 (n=3),1.8000000000000007,0.17971249487899588,0.633377344136345
1990 (n=1),2006 (n=2),0.0,1.0,1.0
1990 (n=1),2007 (n=3),0.22222222222222143,0.6373518882339377,0.9117594003814262
1990 (n=1),2008 (n=1),1.0,0.31731050786291115,0.6591643699251635
1990 (n=1),2009 (n=3),0.1999999999999993,0.6547208460185774,0.9117594003814262
1990 (n=1),2010 (n=5),0.09090909090909059,0.7630246005529954,0.9911629639940374
1990 (n=1),2011 (n=1),1.0,0.31731050786291115,0.6591643699251635
1990 (n=1),2012 (n=2),0.0,1.0,1.0
1990 (n=1),2013 (n=2),0.5,0.47950012218695337,0.8048752050995289
1990 (n=1),2014 (n=5),0.36363636363636237,0.5464935954065828,0.8758358511598799
1990 (n=1),2015 (n=4),2.1052631578947367,0.14679308730856683,0.633377344136345
1990 (n=1),2016 (n=2),1.5,0.22067136191984324,0.633377344136345
1990 (n=1),2017 (n=2),0.0,1.0,1.0
1990 (n=1),2018 (n=2),0.0,1.0,1.0
1990 (n=1),2019 (n=1),1.0,0.31731050786291115,0.6591643699251635
1990 (n=1),2020 (n=2),1.5,0.22067136191984324,0.633377344136345
1990 (n=1),old (n=3),1.8000000000000007,0.17971249487899588,0.633377344136345
1994 (n=2),1995 (n=1),1.5,0.22067136191984324,0.633377344136345
1994 (n=2),1998 (n=2),0.0,1.0,1.0
1994 (n=2),2000 (n=6),1.0120481927710843,0.31441265497873283,0.6591643699251635
1994 (n=2),2002 (n=5),2.4436363636363625,0.11800239206898293,0.633377344136345
1994 (n=2),2003 (n=2),0.16666666666666508,0.6830913983096101,0.9449104236402159
1994 (n=2),2005 (n=3),0.0,1.0,1.0
1994 (n=2),2006 (n=2),0.5999999999999996,0.43857802608099994,0.7670015711928185
1994 (n=2),2007 (n=3),0.3508771929824587,0.553616991965779,0.8758358511598799
1994 (n=2),2008 (n=1),0.0,1.0,1.0
1994 (n=2),2009 (n=3),0.3333333333333357,0.5637028616507718,0.8758358511598799
1994 (n=2),2010 (n=5),0.62222222222222,0.43022269113219225,0.7670015711928185
1994 (n=2),2011 (n=1),1.5,0.22067136191984324,0.633377344136345
1994 (n=2),2012 (n=2),0.5999999999999996,0.43857802608099994,0.7670015711928185
1994 (n=2),2013 (n=2),0.5999999999999996,0.43857802608099994,0.7670015711928185
1994 (n=2),2014 (n=5),0.6109090909090887,0.434445726552776,0.7670015711928185
1994 (n=2),2015 (n=4),0.22058823529411503,0.6385920776850218,0.9117594003814262
1994 (n=2),2016 (n=2),2.3999999999999986,0.12133525035848367,0.633377344136345
1994 (n=2),2017 (n=2),0.0,1.0,1.0
1994 (n=2),2018 (n=2),0.5999999999999996,0.43857802608099994,0.7670015711928185
1994 (n=2),2019 (n=1),0.0,1.0,1.0
1994 (n=2),2020 (n=2),2.3999999999999986,0.12133525035848367,0.633377344136345
1994 (n=2),old (n=3),0.33333333333333215,0.5637028616507738,0.8758358511598799
1995 (n=1),1998 (n=2),1.5,0.22067136191984324,0.633377344136345
1995 (n=1),2000 (n=6),0.2692307692307692,0.6038482460673433,0.9117594003814262
1995 (n=1),2002 (n=5),0.0,1.0,1.0
1995 (n=1),2003 (n=2),0.0,1.0,1.0
1995 (n=1),2005 (n=3),1.8000000000000007,0.17971249487899588,0.633377344136345
1995 (n=1),2006 (n=2),0.0,1.0,1.0
