Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),0.0016103059581240586,0.9679905865500065,0.9679905865500065
0-10 (n=23),11-20 (n=24),0.330163043478251,0.5655630979388047,0.8713791212144167
0-10 (n=23),21-30 (n=11),0.7483907396950826,0.38698621086023755,0.8713791212144167
0-10 (n=23),31-40 (n=3),0.58132045088567,0.4457952113107644,0.8713791212144167
0-10 (n=23),61-70 (n=1),0.25565217391304884,0.6131230293263645,0.8713791212144167
0-10 (n=23),71-100 (n=1),0.8817391304347808,0.3477257877238704,0.8713791212144167
100+ (n=3),11-20 (n=24),0.0952380952380878,0.7576207236834058,0.8727289300188208
100+ (n=3),21-30 (n=11),0.054545454545454675,0.8153345943552274,0.8727289300188208
100+ (n=3),31-40 (n=3),0.04761904761904745,0.8272593465627116,0.8727289300188208
100+ (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.8713791212144167
100+ (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.8713791212144167
11-20 (n=24),21-30 (n=11),0.04545454545456096,0.831170409541734,0.8727289300188208
11-20 (n=24),31-40 (n=3),0.2916666666666572,0.5891544654500643,0.8713791212144167
11-20 (n=24),61-70 (n=1),0.9423076923076934,0.3316850680568594,0.8713791212144167
11-20 (n=24),71-100 (n=1),1.2307692307692406,0.26725749315438274,0.8713791212144167
21-30 (n=11),31-40 (n=3),0.49090909090909207,0.4835220598680484,0.8713791212144167
21-30 (n=11),61-70 (n=1),0.18881118881118653,0.6639079018776508,0.8713791212144167
21-30 (n=11),71-100 (n=1),0.18881118881118653,0.6639079018776508,0.8713791212144167
31-40 (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.8713791212144167
31-40 (n=3),71-100 (n=1),0.1999999999999993,0.6547208460185774,0.8713791212144167
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.8713791212144167
