id	Year_est	Age	Establishment	Cutting	Cattle	Sheep	Plough	Year_group	Age_group	Age_binary	pH_binary	pielou_evenness
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
Whitelands_2018_19_	2018	3	seed_mix	no	no	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	0.912097129941955
Castle_Field_West__W_	2002	19	seed_mix	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	0.915865635295658
Toposcope_Field_-_1980s	1985	36	Natural_regen	no	yes	yes	no	1981-2000	31-40	AboveMedian	AboveMedian	0.915687641809641
Bradenham_post-1986_b	1986	35	seed_mix	no	yes	yes	yes	1981-2000	31-40	AboveMedian	BelowMedian	0.90546360400171
Lardon_Chase_The_Holies_motorcycle	2007	14	Natural_regen	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	0.92801014505712
Stonehenge_2000_2017a	2000	21	Green_hay_bush	no	yes	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	0.912198008430146
Stonehenge_2003_2017b	2003	18	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	0.909945329935334
Stonehenge_2009	2009	12	Green_hay_bush	no	no	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	0.910314799072187
Stonehenge_2007_2016	2007	14	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	0.914850405862875
Stonehenge_2005	2005	16	Green_hay_bush	no	no	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	0.912780810908112
Stonehenge_2002_2017	2002	19	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	0.910266319616212
Stonehenge_2010	2010	11	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	0.916522037586567
Stonehenge_2011	2011	10	Green_hay_bush	no	yes	yes	yes	2011-2020	0-10	BelowMedian	BelowMedian	0.911903139797076
Stonehenge_-_Luxenborough_BankB	2000	21	Green_hay_bush	yes	no	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	0.9104050911107
Watlington_natural_reversion	2000	21	Natural_regen	no	no	yes	no	1981-2000	21-30	AboveMedian	BelowMedian	0.911622459217545
St_Catherines_A3	1994	27	Green_hay_bush	yes	yes	yes	no	1981-2000	21-30	AboveMedian	BelowMedian	0.911948883269099
HARLEY_FARMS_Chittern	2013	8	seed_mix	yes	yes	no	yes	2011-2020	0-10	BelowMedian	BelowMedian	0.916065738890822
HARLEY_FARMS_New1	2020	1	seed_mix	no	yes	no	no	2011-2020	0-10	BelowMedian	BelowMedian	0.911029709588265
HARLEY_FARMS_new2b	2020	1	seed_mix	yes	no	no	no	2011-2020	0-10	BelowMedian	BelowMedian	0.914493737416239
WINDMILL_farm	1990	31	seed_mix	yes	yes	yes	yes	1981-2000	31-40	AboveMedian	BelowMedian	0.917823176793889
DRUIDS	2002	19	seed_mix	yes	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	0.913592938332233
Stratton_Wood	1995	26	seed_mix	yes	no	no	yes	1981-2000	21-30	AboveMedian	BelowMedian	0.913528656742298
WESTMEAD_FARM	2000	21	seed_mix	yes	no	yes	no	1981-2000	21-30	AboveMedian	BelowMedian	0.913283181551871
RSPB_orig_green	2006	15	Green_hay_bush	no	yes	yes	no	2001-2010	11-20	AboveMedian	AboveMedian	0.913862207739202
RSPB_churchil	2010	11	Green_hay_bush	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	0.913610649184475
RSPB_junction	2007	14	Green_hay_bush	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	0.916586077047905
RSPB_Mainline	2016	5	Green_hay_bush	no	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.913589799954832
Baltic_farm_1	2005	16	Green_hay_bush	yes	yes	yes	no	2001-2010	11-20	AboveMedian	AboveMedian	0.913798177943185
Baltic_farm_2	1998	23	Green_hay_bush	yes	yes	yes	no	1981-2000	21-30	AboveMedian	AboveMedian	0.918261216569059
WestEndFarm	2019	2	Green_hay_bush	yes	no	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	0.92120705422147
HorntonHouseFarm_1_parallel	2016	5	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.913228496192832
TownsendFarm_1	2017	4	seed_mix	yes	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.912466234985286
TownsendFarm_2	2010	11	seed_mix	yes	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	0.91421729267159
TownsendFarm_3_big	2014	7	Green_hay_bush	yes	no	yes	no	2011-2020	0-10	BelowMedian	BelowMedian	0.912769307280318
ChurchFarm	2012	9	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.914677741412084
StowellFarms_1_adj	2015	6	seed_mix	yes	yes	yes	yes	2011-2020	0-10	BelowMedian	BelowMedian	0.919142809710933
MannorFmAltonBarnes	2012	9	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.91503355336515
HommingtonFarm	2014	7	seed_mix	yes	yes	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	0.918629654892228
ThropeManor_1	2002	19	seed_mix	yes	no	yes	no	2001-2010	11-20	AboveMedian	BelowMedian	0.924561655118066
ThropeManor_2	1998	23	seed_mix	yes	no	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	0.928527753362206
ThropeManor_3	2000	21	seed_mix	yes	no	yes	no	1981-2000	21-30	AboveMedian	AboveMedian	0.920618048230562
MannorFmBroadChalke	2010	11	Green_hay_bush	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	0.919835254069357
BigleyFm_1	2014	7	seed_mix	yes	yes	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	0.922852915384705
BigleyFm_2	2017	4	seed_mix	yes	yes	yes	yes	2011-2020	0-10	BelowMedian	BelowMedian	0.930544208859474
NorringtonMannorFm_1	2009	12	seed_mix	no	no	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	0.917278678267291
NorringtonMannorFm_2	2009	12	seed_mix	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	0.919388913537916
ManorFmBerwickStJohn_1	2014	7	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	BelowMedian	0.922516172870641
ManorFmBerwickStJohn_3	2018	3	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.923198482611146
Jemma_1	2010	11	Green_hay_bush	yes	yes	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	0.914078307271091
Jemma_2	2008	13	Natural_regen	no	yes	no	no	2001-2010	11-20	BelowMedian	AboveMedian	0.917639412170485
