Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),6.803542673107884,0.009097717827604079,0.19105207437968566
0-10 (n=23),11-20 (n=24),2.2192028985507193,0.13630341639952398,0.5391374846369876
0-10 (n=23),21-30 (n=11),1.8054206662902317,0.1790585417958558,0.5391374846369876
0-10 (n=23),31-40 (n=3),0.0016103059581240586,0.9679905865500065,0.9679905865500065
0-10 (n=23),61-70 (n=1),0.25565217391304884,0.6131230293263645,0.8132735450069526
0-10 (n=23),71-100 (n=1),2.300869565217397,0.12930159289480816,0.5391374846369876
100+ (n=3),11-20 (n=24),4.339285714285708,0.037242544595979456,0.3910467182577843
100+ (n=3),21-30 (n=11),2.672727272727272,0.10208096113248488,0.5391374846369876
100+ (n=3),31-40 (n=3),0.42857142857142705,0.5126907602619241,0.8132735450069526
100+ (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.5391374846369876
100+ (n=3),71-100 (n=1),0.1999999999999993,0.6547208460185774,0.8132735450069526
11-20 (n=24),21-30 (n=11),0.020202020202034987,0.8869743120400183,0.9341922823097857
11-20 (n=24),31-40 (n=3),0.3809523809523796,0.5370939784426423,0.8132735450069526
11-20 (n=24),61-70 (n=1),0.019230769230759392,0.8897069355331292,0.9341922823097857
11-20 (n=24),71-100 (n=1),1.5576923076923208,0.21200343092282017,0.556509006172403
21-30 (n=11),31-40 (n=3),0.15151515151515582,0.6970916100059593,0.8132735450069526
21-30 (n=11),61-70 (n=1),0.18881118881118653,0.6639079018776508,0.8132735450069526
21-30 (n=11),71-100 (n=1),0.5244755244755197,0.468938769522672,0.8132735450069526
31-40 (n=3),61-70 (n=1),0.1999999999999993,0.6547208460185774,0.8132735450069526
31-40 (n=3),71-100 (n=1),0.1999999999999993,0.6547208460185774,0.8132735450069526
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.7403911850134594
