sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-4770_iter-1,depth-4770_iter-2,depth-4770_iter-3,depth-4770_iter-4,depth-4770_iter-5,depth-4770_iter-6,depth-4770_iter-7,depth-4770_iter-8,depth-4770_iter-9,depth-4770_iter-10,depth-9540_iter-1,depth-9540_iter-2,depth-9540_iter-3,depth-9540_iter-4,depth-9540_iter-5,depth-9540_iter-6,depth-9540_iter-7,depth-9540_iter-8,depth-9540_iter-9,depth-9540_iter-10,depth-14310_iter-1,depth-14310_iter-2,depth-14310_iter-3,depth-14310_iter-4,depth-14310_iter-5,depth-14310_iter-6,depth-14310_iter-7,depth-14310_iter-8,depth-14310_iter-9,depth-14310_iter-10,depth-19080_iter-1,depth-19080_iter-2,depth-19080_iter-3,depth-19080_iter-4,depth-19080_iter-5,depth-19080_iter-6,depth-19080_iter-7,depth-19080_iter-8,depth-19080_iter-9,depth-19080_iter-10,depth-23849_iter-1,depth-23849_iter-2,depth-23849_iter-3,depth-23849_iter-4,depth-23849_iter-5,depth-23849_iter-6,depth-23849_iter-7,depth-23849_iter-8,depth-23849_iter-9,depth-23849_iter-10,depth-28619_iter-1,depth-28619_iter-2,depth-28619_iter-3,depth-28619_iter-4,depth-28619_iter-5,depth-28619_iter-6,depth-28619_iter-7,depth-28619_iter-8,depth-28619_iter-9,depth-28619_iter-10,depth-33389_iter-1,depth-33389_iter-2,depth-33389_iter-3,depth-33389_iter-4,depth-33389_iter-5,depth-33389_iter-6,depth-33389_iter-7,depth-33389_iter-8,depth-33389_iter-9,depth-33389_iter-10,depth-38159_iter-1,depth-38159_iter-2,depth-38159_iter-3,depth-38159_iter-4,depth-38159_iter-5,depth-38159_iter-6,depth-38159_iter-7,depth-38159_iter-8,depth-38159_iter-9,depth-38159_iter-10,depth-42929_iter-1,depth-42929_iter-2,depth-42929_iter-3,depth-42929_iter-4,depth-42929_iter-5,depth-42929_iter-6,depth-42929_iter-7,depth-42929_iter-8,depth-42929_iter-9,depth-42929_iter-10,Year_est,Age,OS_location,Lat_long,Establishment,Plough
Whitelands_2018/19_,1,1,1,1,1,1,1,1,1,1,958,957,963,956,958,966,940,966,965,949,1126.0,1131.0,1125.0,1112.0,1122.0,1127.0,1122.0,1125.0,1114.0,1116.0,1200.0,1203.0,1183.0,1191.0,1193.0,1185.0,1189.0,1196.0,1199.0,1201.0,1228.0,1224.0,1239.0,1232.0,1236.0,1241.0,1226.0,1242.0,1236.0,1229.0,1257.0,1254.0,1259.0,1257.0,1259.0,1263.0,1263.0,1253.0,1255.0,1259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,3,SU2990087100,"51.581972, -1.5698756",seed_mix,1
Castle_Field_West_(W),1,1,1,1,1,1,1,1,1,1,732,722,714,730,718,727,716,728,723,732,795.0,797.0,800.0,794.0,793.0,792.0,793.0,795.0,786.0,795.0,810.0,806.0,805.0,812.0,817.0,802.0,813.0,812.0,806.0,805.0,816.0,819.0,818.0,820.0,819.0,818.0,819.0,818.0,817.0,822.0,827.0,827.0,826.0,826.0,826.0,827.0,826.0,826.0,826.0,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,19,SU2950086200,"51.573901, -1.5757235",seed_mix,1
Toposcope_Field_-_1980s,1,1,1,1,1,1,1,1,1,1,858,860,851,842,850,859,846,837,848,854,946.0,937.0,954.0,945.0,944.0,942.0,944.0,934.0,934.0,939.0,971.0,967.0,972.0,970.0,970.0,967.0,977.0,977.0,976.0,967.0,984.0,993.0,981.0,992.0,989.0,988.0,990.0,986.0,989.0,980.0,996.0,996.0,990.0,996.0,998.0,997.0,996.0,996.0,992.0,991.0,1001.0,1002.0,1000.0,999.0,1000.0,1001.0,996.0,999.0,999.0,997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,36,SU2950086600,"51.577497, -1.5756901",Natural_regen,0
Bradenham_post-1986_b,1,1,1,1,1,1,1,1,1,1,878,874,868,875,853,860,843,887,876,862,973.0,980.0,981.0,969.0,977.0,985.0,973.0,975.0,983.0,980.0,1010.0,1010.0,1014.0,1007.0,1020.0,1003.0,1014.0,1012.0,1006.0,1004.0,1026.0,1031.0,1032.0,1027.0,1023.0,1030.0,1027.0,1032.0,1030.0,1027.0,1044.0,1037.0,1043.0,1038.0,1038.0,1036.0,1036.0,1039.0,1049.0,1034.0,1043.0,1041.0,1045.0,1043.0,1048.0,1050.0,1044.0,1046.0,1046.0,1045.0,1050.0,1048.0,1056.0,1052.0,1048.0,1051.0,1047.0,1051.0,1049.0,1052.0,1053.0,1056.0,1056.0,1053.0,1053.0,1056.0,1056.0,1055.0,1054.0,1055.0,,,,,,,,,,,1986,35,SU8290097718,"51.672127, -0.80258692",seed_mix,1
Lardon_Chase_The_Holies_motorcycle,1,1,1,1,1,1,1,1,1,1,438,436,436,436,424,442,425,440,440,436,458.0,457.0,462.0,460.0,457.0,459.0,459.0,461.0,459.0,460.0,471.0,469.0,471.0,468.0,468.0,471.0,465.0,469.0,467.0,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,14,SU5930079800,"51.514021, -1.1468383",Natural_regen,0
Stonehenge_2000_2017a,1,1,1,1,1,1,1,1,1,1,859,863,854,844,862,871,854,857,860,870,960.0,958.0,974.0,953.0,956.0,959.0,960.0,964.0,978.0,953.0,1002.0,1009.0,997.0,1008.0,1001.0,999.0,1002.0,1005.0,1002.0,1006.0,1020.0,1019.0,1022.0,1023.0,1020.0,1019.0,1020.0,1015.0,1017.0,1022.0,1028.0,1027.0,1031.0,1025.0,1028.0,1027.0,1028.0,1025.0,1029.0,1027.0,1030.0,1034.0,1029.0,1034.0,1032.0,1036.0,1031.0,1032.0,1033.0,1028.0,1038.0,1037.0,1037.0,1037.0,1038.0,1035.0,1038.0,1039.0,1038.0,1037.0,1041.0,1040.0,1041.0,1041.0,1041.0,1041.0,1041.0,1041.0,1041.0,1041.0,,,,,,,,,,,2000,21,SU1370042400,"51.180671, -1.8053828",Green_hay/bush,1
Stonehenge_2003_2017b,1,1,1,1,1,1,1,1,1,1,828,813,829,813,813,826,823,819,834,833,909.0,915.0,909.0,912.0,915.0,929.0,921.0,919.0,919.0,929.0,958.0,949.0,949.0,946.0,945.0,958.0,944.0,943.0,952.0,952.0,968.0,970.0,967.0,966.0,966.0,970.0,958.0,969.0,964.0,962.0,975.0,975.0,978.0,978.0,978.0,976.0,979.0,976.0,976.0,968.0,984.0,986.0,982.0,983.0,986.0,984.0,985.0,984.0,984.0,985.0,989.0,989.0,989.0,988.0,989.0,988.0,989.0,986.0,984.0,988.0,,,,,,,,,,,,,,,,,,,,,2003,18,SU1150041600,"51.173525, -1.8368821",Green_hay/bush,1
Stonehenge_2009,1,1,1,1,1,1,1,1,1,1,905,888,873,907,867,912,908,883,889,887,1007.0,1013.0,1016.0,1007.0,1014.0,1010.0,1014.0,1007.0,1016.0,1005.0,1053.0,1049.0,1046.0,1055.0,1043.0,1056.0,1052.0,1056.0,1050.0,1049.0,1067.0,1064.0,1068.0,1069.0,1070.0,1068.0,1068.0,1066.0,1075.0,1065.0,1081.0,1083.0,1082.0,1076.0,1080.0,1073.0,1078.0,1079.0,1085.0,1075.0,1086.0,1088.0,1081.0,1084.0,1085.0,1090.0,1086.0,1087.0,1089.0,1084.0,1090.0,1091.0,1091.0,1089.0,1094.0,1091.0,1091.0,1093.0,1090.0,1092.0,1093.0,1096.0,1095.0,1095.0,1094.0,1096.0,1095.0,1096.0,1096.0,1095.0,,,,,,,,,,,2009,12,SU1050041700,"51.174443, -1.8511833",Green_hay/bush,1
Stonehenge_2007_2016,1,1,1,1,1,1,1,1,1,1,836,833,855,832,830,840,832,836,848,852,930.0,950.0,934.0,941.0,939.0,945.0,938.0,920.0,934.0,939.0,975.0,976.0,971.0,976.0,968.0,976.0,966.0,972.0,980.0,978.0,987.0,987.0,999.0,988.0,995.0,996.0,987.0,991.0,987.0,977.0,998.0,1006.0,999.0,995.0,995.0,998.0,999.0,997.0,1000.0,1004.0,1008.0,1009.0,1009.0,1006.0,1007.0,1001.0,1008.0,1006.0,1009.0,1010.0,1012.0,1012.0,1013.0,1011.0,1012.0,1012.0,1013.0,1013.0,1013.0,1011.0,,,,,,,,,,,,,,,,,,,,,2007,14,SU1100041900,"51.176233, -1.8440251",Green_hay/bush,1
Stonehenge_2005,1,1,1,1,1,1,1,1,1,1,846,848,843,850,846,838,841,839,846,831,943.0,928.0,941.0,941.0,946.0,949.0,938.0,931.0,933.0,939.0,961.0,969.0,963.0,965.0,959.0,968.0,968.0,964.0,970.0,972.0,976.0,985.0,978.0,987.0,980.0,986.0,976.0,986.0,980.0,987.0,987.0,997.0,993.0,991.0,991.0,992.0,992.0,991.0,1000.0,996.0,998.0,996.0,1005.0,999.0,996.0,994.0,1000.0,1003.0,1002.0,999.0,1002.0,1004.0,1005.0,1003.0,1000.0,1005.0,1003.0,1001.0,1003.0,1002.0,,,,,,,,,,,,,,,,,,,,,2005,16,SU1140042200,"51.178922, -1.8382937",Green_hay/bush,1
