id	clr	W
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;__	0.6666916557429728	6
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	4.818305015082693	17
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	3.5426953611104994	19
k__Bacteria;__;__;__;__;__	0.6385820600454185	7
k__Bacteria;p__;c__;o__;f__;g__	1.8903903672738156	6
k__Bacteria;p__Acidobacteria;__;__;__;__	3.493768583184419	13
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	4.6368312938957414	16
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	9.148688428404188	134
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;__;__;__	3.3387553655303233	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	5.2617817846375985	12
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	0.8121093545152342	5
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	2.356795444554018	10
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	8.626573004279042	59
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	3.0437350325346726	2
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;__;__	2.3900553436185836	4
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__	2.8133545261576307	6
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidicapsa	1.2429203925979273	9
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidopila	2.9876484975450994	6
