Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Green_hay_bush	Green_hay_bush	Green_hay_bush	Green_hay_bush	Green_hay_bush	Natural_regen	Natural_regen	Natural_regen	Natural_regen	Natural_regen	seed_mix	seed_mix	seed_mix	seed_mix	seed_mix
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	12.75	2227.0	1.0	1.0	1.0	2.75	1550.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__	329.0	440.0	529.0	687.0	902.0	324.0	401.5	620.5	912.75	1776.0	125.0	533.5	695.0	958.5	2313.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__	399.0	559.25	660.0	863.5	1478.0	20.0	400.5	883.0	1341.25	2040.0	41.0	428.75	572.5	698.75	1099.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__	118.0	185.75	207.5	236.25	269.0	127.0	170.5	227.5	290.5	541.0	119.0	179.25	220.5	298.0	663.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__	121.0	133.5	165.0	206.75	287.0	88.0	122.25	212.5	277.5	362.0	32.0	97.25	128.5	171.5	345.0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__	64.0	106.25	134.0	159.75	255.0	1.0	49.0	65.5	89.25	132.0	6.0	98.75	125.5	160.25	267.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	213.0	359.5	403.0	463.25	643.0	168.0	268.0	421.0	524.25	607.0	214.0	303.25	322.0	376.75	737.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__	72.0	82.5	94.0	110.0	176.0	4.0	108.0	146.0	207.0	314.0	4.0	64.5	91.0	105.5	182.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	174.0	230.75	264.0	285.0	441.0	142.0	285.0	436.5	544.75	658.0	133.0	220.75	259.5	392.0	526.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	263.0	337.25	426.0	476.25	566.0	117.0	262.75	300.0	392.5	426.0	87.0	279.75	327.0	405.5	520.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Microlunatus	76.0	145.25	202.0	224.75	315.0	1.0	36.5	82.5	111.25	167.0	13.0	108.25	141.5	162.75	241.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;__	77.0	98.5	119.0	137.0	216.0	56.0	76.0	130.0	156.25	178.0	29.0	100.75	133.5	160.25	225.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	519.0	601.75	672.0	784.75	1013.0	358.0	469.75	572.0	601.25	801.0	309.0	561.75	643.0	738.25	1019.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	103.0	141.25	161.0	181.0	199.0	1.0	72.5	191.0	220.25	234.0	38.0	91.5	142.0	170.5	223.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__;g__	20.0	30.0	50.0	85.5	149.0	1.0	11.25	26.0	34.25	53.0	3.0	26.5	33.5	44.0	79.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	20.0	28.5	40.5	61.0	162.0	18.0	43.25	75.5	144.25	429.0	9.0	19.5	44.0	112.75	186.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__	45.0	94.0	107.5	141.75	210.0	1.0	9.75	43.5	60.25	106.0	23.0	66.25	96.5	148.5	216.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__	386.0	486.25	551.5	610.75	758.0	134.0	329.0	457.0	679.0	710.0	112.0	437.5	490.0	538.5	845.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter	20.0	33.5	40.5	65.0	142.0	1.0	3.75	9.5	26.5	66.0	5.0	28.75	39.0	63.75	100.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	43.0	53.25	61.5	67.75	93.0	1.0	34.0	48.5	68.25	73.0	2.0	41.0	56.5	62.25	91.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__	64.0	102.5	123.5	140.75	214.0	1.0	38.5	106.5	162.75	288.0	1.0	53.0	80.5	122.25	171.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	201.0	358.5	447.5	505.5	693.0	20.0	132.75	196.5	299.5	482.0	11.0	325.5	369.0	427.0	534.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__Ilumatobacter	109.0	126.0	151.5	159.75	225.0	14.0	71.5	94.0	130.5	185.0	5.0	105.25	144.0	194.25	325.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__	54.0	70.25	76.0	82.75	105.0	1.0	36.25	67.0	84.0	137.0	19.0	62.25	79.0	94.5	183.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;__	25.0	43.75	60.0	70.75	106.0	1.0	10.75	22.5	38.75	63.0	1.0	39.25	56.5	76.0	108.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__	13.0	35.25	47.5	54.0	100.0	1.0	26.75	39.0	49.5	71.0	13.0	24.75	38.0	60.25	75.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	59.0	88.0	100.5	112.75	154.0	1.0	33.25	65.5	94.5	147.0	5.0	70.75	105.0	130.25	199.0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__	61.0	98.25	104.5	126.25	178.0	30.0	66.75	85.5	106.25	291.0	42.0	86.0	106.5	131.75	280.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;__	1.0	12.75	18.0	29.0	43.0	1.0	10.75	14.5	23.25	608.0	1.0	16.75	22.5	30.0	63.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__	34.0	45.0	54.5	58.0	94.0	1.0	28.5	44.5	58.0	99.0	2.0	29.0	40.5	70.75	126.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Reyranella	37.0	43.0	47.0	55.75	83.0	37.0	52.25	57.5	69.5	89.0	34.0	45.75	53.5	66.75	96.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter	53.0	91.75	107.5	119.5	164.0	9.0	68.5	109.0	137.25	190.0	10.0	83.25	115.5	145.25	203.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter	16.0	27.5	33.5	37.0	74.0	1.0	19.0	44.5	69.5	82.0	1.0	20.75	25.5	33.25	70.0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__Candidatus Xiphinematobacter	10.0	18.75	42.0	77.25	261.0	21.0	74.5	101.0	563.75	630.0	6.0	34.5	55.5	90.0	211.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Kribbella	7.0	19.0	22.5	36.75	71.0	7.0	17.0	24.5	33.75	55.0	11.0	18.75	40.0	60.75	273.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Blastococcus	9.0	26.25	38.5	54.75	85.0	1.0	1.0	4.0	15.0	27.0	4.0	17.25	28.5	46.25	93.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	34.0	44.0	51.0	57.25	77.0	1.0	13.0	25.5	39.0	76.0	7.0	30.25	40.5	59.5	98.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides	53.0	113.0	116.0	125.0	290.0	8.0	35.0	52.0	82.5	242.0	15.0	103.0	130.5	165.5	287.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;__	1.0	22.5	33.0	45.5	99.0	1.0	1.0	17.5	24.5	54.0	17.0	37.75	46.0	57.75	140.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__;g__	1.0	15.25	21.0	30.0	51.0	1.0	20.0	28.0	32.25	40.0	1.0	24.0	30.0	36.0	55.0
k__Bacteria;p__Actinobacteria;__;__;__;__	108.0	173.5	192.5	210.75	282.0	58.0	99.5	106.5	155.5	375.0	136.0	203.0	229.0	243.75	399.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	28.0	53.0	68.5	84.0	129.0	29.0	39.75	54.5	68.25	109.0	21.0	39.5	51.0	83.75	127.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__	19.0	29.25	34.5	46.25	77.0	16.0	24.0	28.0	39.0	68.0	6.0	22.5	35.5	78.25	146.0
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__	14.0	28.0	30.0	35.75	43.0	1.0	12.75	18.0	32.75	47.0	5.0	18.75	25.0	31.25	64.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;__	4.0	27.25	37.0	60.25	110.0	1.0	27.5	69.0	89.25	108.0	1.0	18.5	29.5	58.75	101.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;g__Actinomadura	1.0	1.0	1.0	3.25	42.0	1.0	1.0	1.0	30.5	529.0	1.0	1.0	1.0	1.0	791.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	51.0	72.0	91.5	100.75	142.0	17.0	39.25	73.5	97.75	174.0	27.0	76.5	103.0	127.5	178.0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__	17.0	38.75	63.0	86.0	111.0	1.0	19.75	35.0	40.75	55.0	1.0	39.75	50.5	80.0	252.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;__	17.0	34.5	46.0	64.75	92.0	13.0	16.75	59.0	80.75	382.0	3.0	40.0	55.0	84.25	185.0
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__	1.0	20.25	28.5	40.25	66.0	1.0	4.0	17.0	31.75	57.0	1.0	18.0	29.0	47.75	61.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__[Entotheonellales];f__[Entotheonellaceae];g__	1.0	50.5	61.5	73.75	93.0	1.0	19.0	36.5	62.5	94.0	1.0	26.25	51.5	76.25	147.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	7.0	20.25	25.5	28.5	38.0	1.0	10.0	18.0	24.0	51.0	3.0	13.25	20.5	28.25	64.0
k__Bacteria;p__;c__;o__;f__;g__	51.0	98.75	114.5	125.0	163.0	11.0	53.0	64.5	114.0	153.0	1.0	60.25	85.5	119.75	220.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;__	57.0	82.5	103.5	107.75	142.0	5.0	75.0	108.5	143.0	233.0	10.0	71.0	91.0	115.5	247.0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101	1.0	5.25	8.0	18.5	112.0	11.0	16.75	75.0	209.75	976.0	1.0	7.25	21.0	52.25	399.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Dactylosporangium	5.0	10.25	13.0	15.75	32.0	9.0	12.75	14.0	17.0	19.0	8.0	13.0	17.5	22.0	36.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	13.0	50.5	61.5	72.75	111.0	1.0	1.0	27.5	44.25	66.0	1.0	35.5	47.0	72.25	123.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Paenisporosarcina	19.0	23.0	26.5	35.5	74.0	1.0	15.25	31.0	42.25	55.0	10.0	17.75	25.0	35.0	69.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	23.0	33.0	41.5	50.5	91.0	1.0	11.5	32.5	41.25	52.0	1.0	25.25	37.0	42.5	70.0
k__Bacteria;__;__;__;__;__	32.0	69.0	74.0	110.0	139.0	20.0	44.25	52.0	99.5	132.0	9.0	53.5	73.5	89.5	149.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__;g__	18.0	38.5	44.5	52.0	75.0	1.0	20.0	25.5	43.5	93.0	1.0	23.75	42.5	59.5	90.0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21;g__	49.0	87.0	105.5	114.25	131.0	34.0	88.75	109.0	125.5	249.0	8.0	61.75	91.5	103.25	224.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Bacillus	1.0	11.25	17.0	23.0	33.0	1.0	12.75	17.0	26.5	66.0	1.0	10.25	16.5	26.0	69.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__;__	47.0	67.0	76.5	84.75	130.0	12.0	51.75	67.0	142.75	308.0	10.0	77.0	88.5	111.5	168.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;__	6.0	16.75	26.5	35.75	91.0	1.0	1.0	3.5	11.0	27.0	7.0	20.5	31.0	42.75	123.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus	1.0	7.25	10.5	16.5	26.0	1.0	10.75	14.0	16.5	32.0	1.0	5.75	7.5	15.5	35.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__TK10;f__;g__	7.0	16.25	18.5	21.5	27.0	1.0	1.75	14.5	22.5	28.0	1.0	7.0	11.5	20.25	46.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__	1.0	1.75	9.5	16.75	29.0	1.0	1.0	1.0	11.5	22.0	1.0	8.75	18.5	26.0	42.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Ammoniphilus	5.0	8.25	9.5	11.0	15.0	1.0	7.75	10.0	16.25	24.0	1.0	6.0	10.5	18.0	68.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__	18.0	51.25	60.5	76.0	98.0	7.0	12.25	23.0	34.75	109.0	11.0	41.25	66.5	84.0	128.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Aetherobacter	1.0	22.25	30.5	34.0	70.0	1.0	1.0	15.0	33.75	73.0	2.0	22.75	31.0	41.5	69.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j;f__;g__	1.0	12.5	16.0	19.75	25.0	1.0	1.0	20.5	23.25	45.0	1.0	7.75	15.5	21.25	44.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;__;__;__	4.0	20.25	27.0	32.25	38.0	1.0	18.25	24.0	35.25	70.0	1.0	8.5	14.5	28.0	76.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae;g__Nostocoida	1.0	14.5	30.5	46.75	103.0	1.0	11.5	34.0	103.75	513.0	1.0	16.75	28.5	48.25	353.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas	6.0	9.25	13.0	17.0	35.0	1.0	1.0	17.0	20.75	28.0	1.0	11.0	13.0	21.25	32.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__	1.0	4.0	8.0	10.75	150.0	1.0	7.75	10.0	14.0	29.0	1.0	4.0	8.0	12.0	115.0
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__;f__;g__	9.0	28.0	41.0	58.0	84.0	1.0	18.0	23.0	30.75	60.0	1.0	18.5	32.5	57.75	83.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces	17.0	44.0	54.0	69.25	90.0	18.0	29.25	42.5	51.75	64.0	18.0	38.75	61.0	80.25	213.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	11.0	19.0	23.5	29.5	44.0	1.0	1.0	1.5	22.25	35.0	1.0	10.75	19.0	31.5	43.0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__	1.0	4.5	24.5	35.25	55.0	1.0	1.0	12.0	34.0	59.0	1.0	1.0	3.5	13.25	63.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;g__Streptosporangium	5.0	8.25	11.5	14.0	21.0	1.0	4.75	7.5	10.5	17.0	1.0	5.0	8.5	13.0	32.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Ellin5301;g__	1.0	4.25	7.5	9.0	21.0	1.0	1.0	5.0	10.5	36.0	2.0	6.0	11.5	15.25	150.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;__;__	1.0	7.75	17.0	29.5	57.0	5.0	9.0	11.5	21.5	54.0	1.0	2.5	6.5	18.0	62.0
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__	1.0	15.25	22.5	26.5	41.0	1.0	1.0	5.5	10.5	31.0	1.0	6.5	14.5	22.75	38.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__koll13;g__mixed	1.0	6.0	9.0	12.75	24.0	1.0	1.0	3.0	7.5	12.0	1.0	5.0	10.0	17.0	29.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	7.0	10.0	12.0	13.75	20.0	1.0	1.0	1.0	11.25	16.0	1.0	7.0	11.0	14.25	24.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;__	1.0	6.25	9.0	12.0	21.0	1.0	1.0	4.5	9.25	26.0	1.0	9.75	12.0	16.25	37.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__	11.0	30.75	39.5	48.75	181.0	1.0	14.25	20.5	59.5	128.0	18.0	31.75	40.5	59.25	138.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	5.0	9.0	12.5	14.75	23.0	1.0	4.0	6.5	8.5	19.0	1.0	9.0	14.0	21.0	31.0
