index,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Actinobacteria;c__MB-A2-108,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,k__Bacteria;p__Acidobacteria;c__iii1-8,k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],k__Bacteria;p__Actinobacteria;__,k__Bacteria;p__Acidobacteria;c__PAUC37f,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria,k__Bacteria;p__;c__,k__Bacteria;__;__,k__Bacteria;p__Gemmatimonadetes;c__Gemm-1,k__Bacteria;p__Nitrospirae;c__Nitrospira,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Planctomycetes;c__Planctomycetia,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Acidobacteria;c__Sva0725,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,k__Bacteria;p__Acidobacteria;c__Solibacteres,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Chloroflexi;c__TK10,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],k__Bacteria;p__Bacteroidetes;c__[Saprospirae],k__Bacteria;p__Acidobacteria;c__BPC102,k__Bacteria;p__Acidobacteria;c__S035,k__Bacteria;p__Acidobacteria;c__DA052,k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Acidobacteria;c__RB25,k__Bacteria;p__Planctomycetes;c__,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,k__Bacteria;p__Gemmatimonadetes;c__Gemm-5,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,k__Bacteria;p__Chloroflexi;c__S085,k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Armatimonadetes;c__0319-6E2,k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae],k__Bacteria;p__Chloroflexi;c__Anaerolineae,k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Verrucomicrobia;c__Opitutae,k__Bacteria;p__Chloroflexi;c__Chloroflexi,k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Gemmatimonadetes;c__Gemm-2,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Chloroflexi;c__TK17,k__Bacteria;p__Gemmatimonadetes;c__,k__Bacteria;p__Planctomycetes;c__C6,k__Bacteria;p__Acidobacteria;c__,k__Bacteria;p__Chloroflexi;c__,k__Bacteria;p__Planctomycetes;c__vadinHA49,k__Bacteria;p__Gemmatimonadetes;c__Gemm-3,k__Bacteria;p__Planctomycetes;c__Pla4,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,k__Bacteria;p__Acidobacteria;c__Holophagae,k__Bacteria;p__Acidobacteria;c__EC1113,k__Bacteria;p__Chlorobi;c__SJA-28,k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Acidobacteria;__,k__Bacteria;p__Acidobacteria;c__TM1,k__Bacteria;p__Armatimonadetes;c__,k__Bacteria;p__WPS-2;c__,k__Bacteria;p__Actinobacteria;c__OPB41,k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Chlorobi;c__BSV26,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],k__Bacteria;p__BRC1;c__PRR-11,k__Bacteria;p__Chloroflexi;c__SHA-26,k__Bacteria;p__Verrucomicrobia;__,k__Bacteria;p__Chloroflexi;c__[Thermobacula],k__Bacteria;p__Spirochaetes;c__Spirochaetes,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__TM7;c__SC3,k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Year_group,Age_group,Age_binary,pH_binary
Whitelands_2018_19_,484.0,451.0,1353.0,437.0,201.0,1672.0,1104.0,1317.0,403.0,318.0,30.0,112.0,103.0,53.0,199.0,28.0,196.0,17.0,87.0,88.0,79.0,107.0,16.0,101.0,70.0,34.0,30.0,27.0,12.0,32.0,31.0,20.0,29.0,51.0,36.0,5.0,9.0,0.0,8.0,3.0,0.0,13.0,4.0,0.0,0.0,4.0,10.0,3.0,10.0,22.0,3.0,0.0,6.0,8.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2018,3,SU2990087100,51.581972;_-1.5698756,seed_mix,8.03,136.4,no,no,yes,yes,2011-2020,0-10,BelowMedian,AboveMedian
Castle_Field_West__W_,449.0,695.0,1959.0,563.0,93.0,1320.0,726.0,1259.0,546.0,302.0,30.0,85.0,128.0,134.0,135.0,63.0,65.0,44.0,148.0,123.0,64.0,65.0,6.0,75.0,62.0,12.0,8.0,35.0,6.0,28.0,4.0,9.0,10.0,56.0,36.0,8.0,5.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,17.0,0.0,36.0,1.0,4.0,3.0,3.0,0.0,7.0,16.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002,19,SU2950086200,51.573901;_-1.5757235,seed_mix,7.93,139.3,no,yes,yes,yes,2001-2010,11-20,AboveMedian,BelowMedian
Toposcope_Field_-_1980s,637.0,575.0,1998.0,524.0,82.0,1298.0,719.0,1271.0,654.0,344.0,20.0,66.0,108.0,146.0,135.0,31.0,34.0,33.0,111.0,109.0,24.0,102.0,1.0,92.0,59.0,15.0,6.0,14.0,9.0,20.0,10.0,0.0,10.0,59.0,64.0,10.0,1.0,0.0,2.0,2.0,8.0,4.0,0.0,0.0,8.0,4.0,7.0,0.0,9.0,0.0,5.0,3.0,0.0,20.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985,36,SU2950086600,51.577497;_-1.5756901,Natural_regen,7.94,139.7,no,yes,yes,no,1981-2000,31-40,AboveMedian,AboveMedian
Bradenham_post-1986_b,593.0,185.0,2325.0,690.0,109.0,899.0,1140.0,1087.0,469.0,309.0,35.0,67.0,37.0,152.0,155.0,44.0,48.0,58.0,189.0,105.0,41.0,226.0,7.0,177.0,20.0,47.0,16.0,34.0,18.0,23.0,4.0,0.0,25.0,47.0,0.0,16.0,6.0,0.0,4.0,3.0,3.0,0.0,8.0,0.0,0.0,6.0,11.0,4.0,3.0,3.0,3.0,0.0,1.0,2.0,5.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986,35,SU8290097718,51.672127;_-0.80258692,seed_mix,7.84,151.7,no,yes,yes,yes,1981-2000,31-40,AboveMedian,BelowMedian
Lardon_Chase_The_Holies_motorcycle,2630.0,812.0,1164.0,235.0,33.0,707.0,466.0,1091.0,1133.0,303.0,18.0,87.0,64.0,95.0,99.0,11.0,19.0,52.0,65.0,53.0,13.0,56.0,10.0,45.0,56.0,7.0,14.0,8.0,0.0,9.0,17.0,0.0,0.0,32.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,14,SU5930079800,51.514021;_-1.1468383,Natural_regen,7.94,135.7,no,no,yes,no,2001-2010,11-20,BelowMedian,AboveMedian
Stonehenge_2000_2017a,338.0,754.0,1630.0,380.0,254.0,1496.0,1001.0,1436.0,348.0,428.0,48.0,107.0,38.0,52.0,203.0,28.0,79.0,31.0,121.0,88.0,43.0,116.0,12.0,102.0,83.0,17.0,17.0,15.0,13.0,30.0,8.0,0.0,34.0,27.0,17.0,3.0,8.0,0.0,3.0,2.0,0.0,4.0,8.0,1.0,4.0,5.0,9.0,6.0,4.0,4.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,21,SU1370042400,51.180671;_-1.8053828,Green_hay_bush,7.88,144.3,no,yes,yes,yes,1981-2000,21-30,AboveMedian,BelowMedian
Stonehenge_2003_2017b,314.0,558.0,1751.0,471.0,141.0,1473.0,1036.0,1540.0,312.0,398.0,61.0,97.0,56.0,97.0,239.0,35.0,43.0,12.0,118.0,109.0,44.0,110.0,16.0,101.0,48.0,38.0,20.0,26.0,12.0,29.0,5.0,0.0,35.0,34.0,5.0,9.0,8.0,0.0,8.0,5.0,4.0,1.0,6.0,0.0,3.0,0.0,17.0,7.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2003,18,SU1150041600,51.173525;_-1.8368821,Green_hay_bush,7.69,184.4,no,yes,yes,yes,2001-2010,11-20,AboveMedian,BelowMedian
Stonehenge_2009,282.0,749.0,1436.0,411.0,105.0,1733.0,900.0,1816.0,277.0,391.0,43.0,113.0,56.0,33.0,198.0,25.0,66.0,25.0,113.0,95.0,47.0,84.0,19.0,115.0,54.0,38.0,22.0,40.0,7.0,24.0,12.0,0.0,28.0,37.0,3.0,0.0,7.0,0.0,6.0,6.0,0.0,1.0,7.0,0.0,2.0,5.0,14.0,2.0,3.0,7.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,12,SU1050041700,51.174443;_-1.8511833,Green_hay_bush,7.82,156.5,no,no,yes,yes,2001-2010,11-20,BelowMedian,BelowMedian
Stonehenge_2007_2016,298.0,618.0,1532.0,331.0,118.0,1493.0,1349.0,1691.0,292.0,336.0,53.0,87.0,51.0,15.0,172.0,33.0,90.0,19.0,145.0,128.0,48.0,116.0,17.0,147.0,43.0,28.0,16.0,27.0,9.0,23.0,1.0,0.0,39.0,32.0,1.0,6.0,6.0,0.0,7.0,7.0,3.0,0.0,5.0,0.0,1.0,4.0,6.0,10.0,0.0,2.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,14,SU1100041900,51.176233;_-1.8440251,Green_hay_bush,7.87,158.8,no,yes,yes,yes,2001-2010,11-20,BelowMedian,BelowMedian
Stonehenge_2005,328.0,631.0,1685.0,384.0,149.0,1413.0,1159.0,1595.0,295.0,425.0,48.0,101.0,33.0,14.0,194.0,34.0,115.0,20.0,162.0,109.0,43.0,135.0,21.0,112.0,42.0,31.0,14.0,24.0,11.0,18.0,3.0,0.0,28.0,21.0,2.0,12.0,10.0,0.0,6.0,3.0,1.0,0.0,2.0,0.0,3.0,3.0,9.0,6.0,0.0,1.0,0.0,2.0,0.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,16,SU1140042200,51.178922;_-1.8382937,Green_hay_bush,7.85,145.0,no,no,yes,yes,2001-2010,11-20,AboveMedian,BelowMedian
