Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),5.6054750402576445,0.017904440065424392,0.18799662068695613
0-10 (n=23),11-20 (n=24),0.0452898550724683,0.8314719399523026,0.8730455369499178
0-10 (n=23),21-30 (n=11),0.09791078486730953,0.7543513262403858,0.8337567290025317
0-10 (n=23),31-40 (n=3),0.7101449275362484,0.3993957036668485,0.5242068610627387
0-10 (n=23),61-70 (n=1),2.760000000000005,0.09664823731222794,0.33666404762342905
0-10 (n=23),71-100 (n=1),1.8834782608695662,0.1699393467706234,0.33666404762342905
100+ (n=3),11-20 (n=24),6.095238095238088,0.013554666064815618,0.18799662068695613
100+ (n=3),21-30 (n=11),3.787878787878789,0.0516250333942387,0.27103142531975316
100+ (n=3),31-40 (n=3),3.857142857142854,0.049534613435626915,0.27103142531975316
100+ (n=3),61-70 (n=1),0.1999999999999993,0.6547208460185774,0.7638409870216737
100+ (n=3),71-100 (n=1),0.1999999999999993,0.6547208460185774,0.7638409870216737
11-20 (n=24),21-30 (n=11),0.020202020202034987,0.8869743120400183,0.8869743120400183
11-20 (n=24),31-40 (n=3),2.1488095238095184,0.14268048429721927,0.33666404762342905
11-20 (n=24),61-70 (n=1),2.3269230769230944,0.1271529926000121,0.33666404762342905
11-20 (n=24),71-100 (n=1),1.923076923076934,0.1655178586974648,0.33666404762342905
21-30 (n=11),31-40 (n=3),1.0242424242424235,0.311514803557707,0.4442347110080756
21-30 (n=11),61-70 (n=1),1.6993006993007072,0.19237945578481658,0.33666404762342905
21-30 (n=11),71-100 (n=1),1.0279720279720337,0.3106354563373966,0.4442347110080756
31-40 (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.33666404762342905
31-40 (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.33666404762342905
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.4442347110080756
