Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),5.6054750402576445,0.017904440065424392,0.1768221114240874
0-10 (n=23),11-20 (n=24),0.0018115942028771315,0.9660500287459871,0.9999999048847483
0-10 (n=23),21-30 (n=11),0.0030491247882622474,0.9559640872417825,0.9999999048847483
0-10 (n=23),31-40 (n=3),1.354267310789055,0.24453348295643146,0.3707399598178574
0-10 (n=23),61-70 (n=1),1.507826086956527,0.2194711061096979,0.3707399598178574
0-10 (n=23),71-100 (n=1),0.631304347826088,0.4268772738880864,0.4980234862027675
100+ (n=3),11-20 (n=24),5.00595238095238,0.025260301632012486,0.1768221114240874
100+ (n=3),21-30 (n=11),5.824242424242428,0.015806774607302235,0.1768221114240874
100+ (n=3),31-40 (n=3),3.857142857142854,0.049534613435626915,0.2600567205370413
100+ (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.3707399598178574
100+ (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.3707399598178574
11-20 (n=24),21-30 (n=11),1.4210854715202004e-14,0.9999999048847483,0.9999999048847483
11-20 (n=24),31-40 (n=3),1.3392857142857082,0.24715997321190492,0.3707399598178574
11-20 (n=24),61-70 (n=1),1.5576923076923208,0.21200343092282017,0.3707399598178574
11-20 (n=24),71-100 (n=1),0.6923076923076934,0.4053805564589422,0.4980234862027675
21-30 (n=11),31-40 (n=3),0.7333333333333272,0.39180485461851144,0.4980234862027675
21-30 (n=11),61-70 (n=1),1.6993006993007072,0.19237945578481658,0.3707399598178574
21-30 (n=11),71-100 (n=1),1.6993006993007072,0.19237945578481658,0.3707399598178574
31-40 (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.3707399598178574
31-40 (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.3707399598178574
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.4442347110080756
