Group 1,Group 2,H,p-value,q-value
1945 (n=5),1957 (n=5),0.010909090909095198,0.9168149485280722,0.9680336607363444
1945 (n=5),1985 (n=5),0.010909090909095198,0.9168149485280722,0.9680336607363444
1945 (n=5),1986 (n=5),0.09818181818181415,0.7540225300620795,0.9390272319680569
1945 (n=5),1990 (n=4),2.1599999999999966,0.14164469029513294,0.6121350467466514
1945 (n=5),1994 (n=10),1.2150000000000034,0.27034414065477624,0.7505889443851083
1945 (n=5),1995 (n=5),0.09818181818181415,0.7540225300620795,0.9390272319680569
1945 (n=5),1998 (n=8),0.34285714285714874,0.5581846494226539,0.905552778891694
1945 (n=5),2000 (n=30),0.1088888888888846,0.7414126830400208,0.9390272319680569
1945 (n=5),2002 (n=24),1.9200000000000017,0.1658566603429058,0.665839870347304
1945 (n=5),2003 (n=10),0.960000000000008,0.3271868777903008,0.7856256644492281
1945 (n=5),2005 (n=15),0.0933333333333266,0.7599815271577363,0.9390272319680569
1945 (n=5),2006 (n=10),0.240000000000002,0.6242061147664044,0.9204334601792231
1945 (n=5),2007 (n=14),0.008571428571436002,0.9262356363135921,0.9698533809599386
1945 (n=5),2008 (n=5),0.09818181818181415,0.7540225300620795,0.9390272319680569
1945 (n=5),2009 (n=14),0.2142857142857153,0.6434288435636197,0.9204334601792231
1945 (n=5),2010 (n=24),0.013333333333335418,0.908072555255968,0.9680336607363444
1945 (n=5),2011 (n=5),0.5345454545454515,0.4647020999404661,0.8742941682532327
1945 (n=5),2012 (n=7),0.1648351648351678,0.6847433561373848,0.9297537921588103
1945 (n=5),2013 (n=10),0.015000000000000568,0.9025232501776776,0.9680336607363444
1945 (n=5),2014 (n=25),1.4314838709677389,0.2315224225689829,0.7232683944716986
1945 (n=5),2015 (n=20),0.22615384615384926,0.6343904759318484,0.9204334601792231
1945 (n=5),2016 (n=10),0.0,1.0,1.0
1945 (n=5),2017 (n=10),0.13500000000000512,0.7133031738784523,0.9297537921588103
1945 (n=5),2018 (n=10),0.240000000000002,0.6242061147664044,0.9204334601792231
1945 (n=5),2019 (n=5),3.152727272727269,0.07580017458236198,0.4940080343471177
1945 (n=5),2020 (n=10),0.13500000000000512,0.7133031738784523,0.9297537921588103
1945 (n=5),old (n=14),0.0,1.0,1.0
1957 (n=5),1985 (n=5),0.09818181818181415,0.7540225300620795,0.9390272319680569
1957 (n=5),1986 (n=5),0.5345454545454515,0.4647020999404661,0.8742941682532327
1957 (n=5),1990 (n=4),6.0,0.014305878435429641,0.2799537349431274
1957 (n=5),1994 (n=10),1.5,0.22067136191984324,0.7232683944716986
1957 (n=5),1995 (n=5),0.010909090909095198,0.9168149485280722,0.9680336607363444
1957 (n=5),1998 (n=8),0.7714285714285722,0.37977547484094853,0.8308934357799825
1957 (n=5),2000 (n=30),0.055555555555571345,0.8136637157667659,0.9390272319680569
1957 (n=5),2002 (n=24),1.613333333333344,0.2040238704744315,0.7207572246666831
1957 (n=5),2003 (n=10),0.240000000000002,0.6242061147664044,0.9204334601792231
1957 (n=5),2005 (n=15),0.0933333333333266,0.7599815271577363,0.9390272319680569
1957 (n=5),2006 (n=10),0.13500000000000512,0.7133031738784523,0.9297537921588103
1957 (n=5),2007 (n=14),0.034285714285715585,0.853100388979006,0.9680336607363444
1957 (n=5),2008 (n=5),0.5345454545454515,0.4647020999404661,0.8742941682532327
1957 (n=5),2009 (n=14),0.30857142857143316,0.5785581396493353,0.9204334601792231
1957 (n=5),2010 (n=24),0.08333333333334281,0.772829992684435,0.9390272319680569
1957 (n=5),2011 (n=5),1.8436363636363566,0.17452534056858016,0.665839870347304
1957 (n=5),2012 (n=7),0.1648351648351678,0.6847433561373848,0.9297537921588103
1957 (n=5),2013 (n=10),0.375,0.5402913746074198,0.9041323443342273
1957 (n=5),2014 (n=25),1.710193548387096,0.1909602605130032,0.7076762595481884
1957 (n=5),2015 (n=20),0.22615384615384926,0.6343904759318484,0.9204334601792231
1957 (n=5),2016 (n=10),0.060000000000002274,0.8064959405073364,0.9390272319680569
1957 (n=5),2017 (n=10),0.060000000000002274,0.8064959405073364,0.9390272319680569
1957 (n=5),2018 (n=10),0.015000000000000568,0.9025232501776776,0.9680336607363444
1957 (n=5),2019 (n=5),3.152727272727269,0.07580017458236198,0.4940080343471177
1957 (n=5),2020 (n=10),0.7350000000000065,0.39126727928263727,0.8308934357799825
1957 (n=5),old (n=14),0.008571428571436002,0.9262356363135921,0.9698533809599386
1985 (n=5),1986 (n=5),1.3200000000000003,0.2505920506856808,0.7458566547967507
1985 (n=5),1990 (n=4),2.1599999999999966,0.14164469029513294,0.6121350467466514
1985 (n=5),1994 (n=10),0.13500000000000512,0.7133031738784523,0.9297537921588103
1985 (n=5),1995 (n=5),0.010909090909095198,0.9168149485280722,0.9680336607363444
1985 (n=5),1998 (n=8),0.08571428571428186,0.7696979437812947,0.9390272319680569
1985 (n=5),2000 (n=30),0.01999999999999602,0.8875370839817263,0.9680336607363444
1985 (n=5),2002 (n=24),2.2533333333333303,0.13332693177434982,0.6121350467466514
1985 (n=5),2003 (n=10),0.7350000000000065,0.39126727928263727,0.8308934357799825
1985 (n=5),2005 (n=15),0.15428571428571303,0.6944729643203031,0.9297537921588103
1985 (n=5),2006 (n=10),0.0,1.0,1.0
1985 (n=5),2007 (n=14),0.2142857142857153,0.6434288435636197,0.9204334601792231
1985 (n=5),2008 (n=5),0.2727272727272734,0.6015081344405895,0.9204334601792231
1985 (n=5),2009 (n=14),0.07714285714286007,0.7812073234218156,0.9390272319680569
1985 (n=5),2010 (n=24),0.11999999999999034,0.7290344895388143,0.9390272319680569
1985 (n=5),2011 (n=5),1.3200000000000003,0.2505920506856808,0.7458566547967507
1985 (n=5),2012 (n=7),0.006593406593410123,0.9352830631070267,0.9719589322583247
1985 (n=5),2013 (n=10),0.060000000000002274,0.8064959405073364,0.9390272319680569
1985 (n=5),2014 (n=25),0.2237419354838721,0.6362034238525589,0.9204334601792231
1985 (n=5),2015 (n=20),0.004615384615391349,0.9458360859046183,0.9719589322583247
1985 (n=5),2016 (n=10),0.060000000000002274,0.8064959405073364,0.9390272319680569
1985 (n=5),2017 (n=10),0.015000000000000568,0.9025232501776776,0.9680336607363444
1985 (n=5),2018 (n=10),0.375,0.5402913746074198,0.9041323443342273
1985 (n=5),2019 (n=5),2.4545454545454533,0.11718508719813842,0.6121350467466514
1985 (n=5),2020 (n=10),0.015000000000000568,0.9025232501776776,0.9680336607363444
1985 (n=5),old (n=14),0.2142857142857153,0.6434288435636197,0.9204334601792231
1986 (n=5),1990 (n=4),2.1599999999999966,0.14164469029513294,0.6121350467466514
1986 (n=5),1994 (n=10),4.859999999999992,0.027486336111510436,0.33405894783777196
1986 (n=5),1995 (n=5),1.8436363636363566,0.17452534056858016,0.665839870347304
1986 (n=5),1998 (n=8),2.142857142857146,0.14323490752466533,0.6121350467466514
1986 (n=5),2000 (n=30),1.6199999999999903,0.20309178757716562,0.7207572246666831
