Group 1,Group 2,H,p-value,q-value
1945 (n=5),1957 (n=5),0.010909090909095198,0.9168149485280722,0.944294415650167
1945 (n=5),1985 (n=5),1.8436363636363566,0.17452534056858016,0.35612661591872796
1945 (n=5),1986 (n=5),1.8436363636363566,0.17452534056858016,0.35612661591872796
1945 (n=5),1990 (n=4),3.8400000000000034,0.050043521248705126,0.17196773665464127
1945 (n=5),1994 (n=10),0.5399999999999991,0.4624327264504765,0.654680039693933
1945 (n=5),1995 (n=5),1.8436363636363566,0.17452534056858016,0.35612661591872796
1945 (n=5),1998 (n=8),2.5928571428571487,0.10734653699381075,0.28575345763141174
1945 (n=5),2000 (n=30),0.802222222222241,0.3704297910485552,0.5834269209014745
1945 (n=5),2002 (n=24),0.269999999999996,0.6033317722918691,0.7678768010987425
1945 (n=5),2003 (n=10),0.5399999999999991,0.4624327264504765,0.654680039693933
1945 (n=5),2005 (n=15),0.23047619047618895,0.631170965037275,0.7696213702712579
1945 (n=5),2006 (n=10),1.2150000000000034,0.27034414065477624,0.46662139345892883
1945 (n=5),2007 (n=14),1.2342857142857113,0.2665751848379269,0.46662139345892883
1945 (n=5),2008 (n=5),1.3200000000000003,0.2505920506856808,0.4510656912342254
1945 (n=5),2009 (n=14),0.13714285714286234,0.7111380838024124,0.8170563628062272
1945 (n=5),2010 (n=24),0.403333333333336,0.5253727863737008,0.7143558030548881
1945 (n=5),2011 (n=5),1.8436363636363566,0.17452534056858016,0.35612661591872796
1945 (n=5),2012 (n=7),0.3230769230769255,0.5697643679606191,0.7350543723177954
1945 (n=5),2013 (n=10),0.13500000000000512,0.7133031738784523,0.8170563628062272
1945 (n=5),2014 (n=25),3.6859354838709635,0.05487318147694152,0.1819479175288061
1945 (n=5),2015 (n=20),2.2338461538461587,0.13501738157557527,0.3225403188648208
1945 (n=5),2016 (n=10),1.8150000000000048,0.17790959498697806,0.35612661591872796
1945 (n=5),2017 (n=10),0.13500000000000512,0.7133031738784523,0.8170563628062272
1945 (n=5),2018 (n=10),0.13500000000000512,0.7133031738784523,0.8170563628062272
1945 (n=5),2019 (n=5),4.810909090909092,0.02828012256827699,0.1334832850858185
1945 (n=5),2020 (n=10),2.1599999999999966,0.14164469029513294,0.3225403188648208
1945 (n=5),old (n=14),0.008571428571436002,0.9262356363135921,0.9514050829525484
1957 (n=5),1985 (n=5),1.8436363636363566,0.17452534056858016,0.35612661591872796
1957 (n=5),1986 (n=5),1.8436363636363566,0.17452534056858016,0.35612661591872796
1957 (n=5),1990 (n=4),2.9399999999999977,0.08641073297370006,0.24744891715195927
1957 (n=5),1994 (n=10),0.7350000000000065,0.39126727928263727,0.5963670627775681
1957 (n=5),1995 (n=5),2.4545454545454533,0.11718508719813842,0.2972883420194384
1957 (n=5),1998 (n=8),4.200000000000003,0.04042397933690854,0.1591072068623387
1957 (n=5),2000 (n=30),0.7199999999999989,0.39614390915207454,0.6013750910019445
1957 (n=5),2002 (n=24),0.030000000000001137,0.862490230135919,0.9209641440434388
1957 (n=5),2003 (n=10),0.5399999999999991,0.4624327264504765,0.654680039693933
1957 (n=5),2005 (n=15),0.4285714285714235,0.5126907602619257,0.7047167541054833
1957 (n=5),2006 (n=10),1.5,0.22067136191984324,0.41706887402850373
1957 (n=5),2007 (n=14),1.6800000000000068,0.19492445251365287,0.3817691349749263
1957 (n=5),2008 (n=5),1.8436363636363566,0.17452534056858016,0.35612661591872796
1957 (n=5),2009 (n=14),0.13714285714286234,0.7111380838024124,0.8170563628062272
1957 (n=5),2010 (n=24),1.613333333333344,0.2040238704744315,0.39250359659070055
1957 (n=5),2011 (n=5),1.3200000000000003,0.2505920506856808,0.4510656912342254
1957 (n=5),2012 (n=7),0.3230769230769255,0.5697643679606191,0.7350543723177954
1957 (n=5),2013 (n=10),0.240000000000002,0.6242061147664044,0.7696213702712579
1957 (n=5),2014 (n=25),4.5901935483870915,0.032155382950072975,0.14299687947208925
1957 (n=5),2015 (n=20),3.364615384615391,0.06661113650746167,0.199833409522385
1957 (n=5),2016 (n=10),2.1599999999999966,0.14164469029513294,0.3225403188648208
1957 (n=5),2017 (n=10),0.7350000000000065,0.39126727928263727,0.5963670627775681
1957 (n=5),2018 (n=10),0.375,0.5402913746074198,0.7242203531971797
1957 (n=5),2019 (n=5),3.9381818181818176,0.04720176769014221,0.17196773665464127
1957 (n=5),2020 (n=10),2.1599999999999966,0.14164469029513294,0.3225403188648208
1957 (n=5),old (n=14),0.034285714285715585,0.853100388979006,0.916539233973385
1985 (n=5),1986 (n=5),5.770909090909086,0.01629360362102858,0.10713910172159175
1985 (n=5),1990 (n=4),6.0,0.014305878435429641,0.10486095259100127
1985 (n=5),1994 (n=10),0.375,0.5402913746074198,0.7242203531971797
1985 (n=5),1995 (n=5),0.2727272727272734,0.6015081344405895,0.7678768010987425
1985 (n=5),1998 (n=8),0.34285714285714874,0.5581846494226539,0.7311632902203925
1985 (n=5),2000 (n=30),1.3888888888889,0.2385928293164302,0.4399418999102957
1985 (n=5),2002 (n=24),4.813333333333333,0.028240368733300412,0.1334832850858185
1985 (n=5),2003 (n=10),0.015000000000000568,0.9025232501776776,0.9424137805722711
1985 (n=5),2005 (n=15),2.333333333333343,0.12663045794761668,0.31490995463288884
1985 (n=5),2006 (n=10),0.0,1.0,1.0
1985 (n=5),2007 (n=14),1.6800000000000068,0.19492445251365287,0.3817691349749263
1985 (n=5),2008 (n=5),1.3200000000000003,0.2505920506856808,0.4510656912342254
1985 (n=5),2009 (n=14),1.9285714285714306,0.16491482255329715,0.35612661591872796
1985 (n=5),2010 (n=24),1.2033333333333331,0.2726564687950007,0.4670033322441057
1985 (n=5),2011 (n=5),5.770909090909086,0.01629360362102858,0.10713910172159175
1985 (n=5),2012 (n=7),0.5340659340659357,0.4649024545473539,0.6557206261899245
1985 (n=5),2013 (n=10),2.5350000000000037,0.11134688653313994,0.28828166513374887
1985 (n=5),2014 (n=25),0.0007741935483949192,0.9778022579513701,0.9930326790168621
1985 (n=5),2015 (n=20),0.0415384615384653,0.838502082598008,0.9107867448909397
1985 (n=5),2016 (n=10),0.13500000000000512,0.7133031738784523,0.8170563628062272
1985 (n=5),2017 (n=10),2.5350000000000037,0.11134688653313994,0.28828166513374887
1985 (n=5),2018 (n=10),3.375,0.06619257972219346,0.199833409522385
1985 (n=5),2019 (n=5),4.810909090909092,0.02828012256827699,0.1334832850858185
1985 (n=5),2020 (n=10),0.960000000000008,0.3271868777903008,0.5353967091114012
1985 (n=5),old (n=14),3.4285714285714306,0.0640775064510595,0.199833409522385
1986 (n=5),1990 (n=4),0.240000000000002,0.6242061147664044,0.7696213702712579
1986 (n=5),1994 (n=10),4.859999999999992,0.027486336111510436,0.1334832850858185
1986 (n=5),1995 (n=5),5.770909090909086,0.01629360362102858,0.10713910172159175
1986 (n=5),1998 (n=8),5.4857142857142875,0.019172484755223124,0.11689031028184421
