id	site_code	Year_est	Age	Establishment	Cutting	Cattle	Sheep	Plough	pH_category	Age_category	pielou_evenness
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
Baltic_farm_1	28;nan	2005	16	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.727689694907098
Baltic_farm_2	29;nan	1998	23	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.360605928784693
BigleyFm_1	43;nan	2014	7	seed_mix	Yes	Yes	Yes	Yes	Above_median	Below_median	0.477488989485566
BigleyFm_2	44;nan	2017	4	seed_mix	Yes	Yes	Yes	Yes	Below_median	Below_median	0.697000369823056
Bradenham_post-1986_b	4;nan	1986	35	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.61732873767398
Castle_Field_West_(W)	2;nan	2002	19	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.598070217408991
ChurchFarm	35;nan	2012	9	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	0.675013756336258
Crux_easton_70b1	57;nan	2000	21	seed_mix	No	No	Yes	Yes	Below_median	Above_median	0.533638833022918
Crux_easton_70b2	58;nan	2002	19	seed_mix	Yes	No	Yes	No	Above_median	Above_median	0.562765725498644
DRUIDS	21;nan	2002	19	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.713540896673891
HARLEY_FARMS_Chittern	17;nan	2013	8	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	0.572809124000829
HARLEY_FARMS_New1	18;nan	2020	1	seed_mix	No	Yes	No	No	Below_median	Below_median	0.598938762324494
HARLEY_FARMS_new2b	19;nan	2020	1	seed_mix	Yes	No	No	No	Below_median	Below_median	0.643556223244889
HomeFarm_WoodlandTrust_Hampshire_good_1c	56;nan	1994	27	seed_mix	No	Yes	No	No	Below_median	Above_median	0.639052117388439
HommingtonFarm	38;nan	2014	7	seed_mix	Yes	Yes	Yes	Yes	Above_median	Below_median	0.548033933144001
HorntonHouseFarm_1_parallel	31;nan	2016	5	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	0.556398333277478
Jemma_1	49;nan	2010	11	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Below_median	0.420469617131973
Jemma_2	50;nan	2008	13	Natural_regen	No	Yes	No	No	Above_median	Below_median	0.489837212163365
Jemma_4	52;nan	2015	6	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Below_median	0.596425026915489
Jemma_5	53;nan	2015	6	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.569537070960263
Jemma_6	54;nan	2013	8	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.530199362344694
Jemma_7	51;nan	2014	7	Green_hay_bush	No	No	Yes	Yes	Above_median	Below_median	0.558865923924086
Jemma_9	55;nan	2015	6	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.342045177008221
Knepp_Benton_field	66;nan	2005	16	Natural_regen	No	Yes	No	nan	Below_median	Above_median	0.63832320476316
Knepp_Pond_field	65;nan	2003	18	Natural_regen	No	Yes	No	nan	Below_median	Above_median	0.454599849700231
Lardon_Chase_The_Holies_motorcycle	nan	2007	14	Natural_regen	No	No	Yes	No	Above_median	Below_median	0.487136344191314
MannorFmAltonBarnes	nan	2012	9	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	0.65603768668585
MannorFmBroadChalke	42;nan	2010	11	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.637558627693066
ManorFmBerwickStJohn_1	47;nan	2014	7	seed_mix	Yes	Yes	Yes	No	Below_median	Below_median	0.696894291198426
ManorFmBerwickStJohn_3	48;nan	2018	3	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	0.692974554201208
Martin_Down_arabel_reversion	59;nan	1957	64	Natural_regen	No	No	Yes	Yes	Above_median	Above_median	0.612508180259574
NorringtonMannorFm_1	45;nan	2009	12	seed_mix	No	No	Yes	Yes	Below_median	Below_median	0.442923277695483
NorringtonMannorFm_2	46;nan	2009	12	seed_mix	No	No	Yes	No	Above_median	Below_median	0.594860875981753
Parsonage_down_reversion	60;nan	1945	76	Natural_regen	No	Yes	No	Yes	Above_median	Above_median	0.565597769942628
RSPB_Mainline	27;nan	2016	5	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.513240627510893
RSPB_churchil	25;nan	2010	11	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.513634866981107
RSPB_junction	26;nan	2007	14	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.601215791513635
RSPB_orig_green	24;nan	2006	15	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	0.545204406900935
St_Catherines_A3	16;nan	1994	27	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	0.617655847217363
Stonehenge_-_Luxenborough_BankB	14;nan	2000	21	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	0.624692304586771
Stonehenge_2000_2017a	6;nan	2000	21	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.495702939207966
Stonehenge_2002_2017	11;nan	2002	19	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.58267945879245
Stonehenge_2003_2017b	7;nan	2003	18	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.572464350841591
Stonehenge_2005	10;nan	2005	16	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	0.600308057969924
Stonehenge_2007_2016	9;nan	2007	14	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.648011911418922
Stonehenge_2009	8;nan	2009	12	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	0.591557074462629
Stonehenge_2010	12;nan	2010	11	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.631782796426637
Stonehenge_2011	13;nan	2011	10	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.633894827766387
StowellFarms_1_adj	36;nan	2015	6	seed_mix	Yes	Yes	Yes	Yes	Below_median	Below_median	0.626575082767352
Stratton_Wood	22;nan	1995	26	seed_mix	Yes	No	No	Yes	Below_median	Above_median	0.601038894370243
TARGET_KNEPP_A New_Barn_Field	64;nan	2006	15	Natural_regen	No	Yes	No	nan	Below_median	Above_median	0.733586867454438
TARGET_MartinDown	nan	old	>100	Natural_regen	No	No	Yes	No	Above_median	Above_median	0.6246672956324
TARGET_ParsonageDown	63;nan	old	>100	Natural_regen	No	No	Yes	No	Above_median	Above_median	0.474169239100038
TARGET_St_Catherines	62;nan	old	>100	Natural_regen	No	No	Yes	No	Above_median	Above_median	0.672143235194141
ThropeManor_1	39;nan	2002	19	seed_mix	Yes	No	Yes	No	Below_median	Above_median	0.717733487649364
ThropeManor_2	40;nan	1998	23	seed_mix	Yes	No	Yes	Yes	Below_median	Above_median	0.678145025492423
ThropeManor_3	41;nan	2000	21	seed_mix	Yes	No	Yes	No	Above_median	Above_median	0.602024001635962
Toposcope_Field_-_1980s	3;nan	1985	36	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	0.525746202650959
TownsendFarm_1	32;nan	2017	4	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.534837294773246
TownsendFarm_2	33;nan	2010	11	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.481623226693312
TownsendFarm_3_big	34;nan	2014	7	Green_hay_bush	Yes	No	Yes	No	Below_median	Below_median	0.53407078138956
WESTMEAD_FARM	23;nan	2000	21	seed_mix	Yes	No	Yes	No	Below_median	Above_median	0.603996976649
WINDMILL_farm	nan	1990	31	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.683869470367786
Watlington_natural_reversion	15;nan	2000	21	Natural_regen	No	No	Yes	No	Below_median	Above_median	0.516998325301545
WestEndFarm	30;nan	2019	2	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	0.43419044524069
Whitelands_2018_19	1;nan	2018	3	seed_mix	No	No	Yes	Yes	Above_median	Below_median	0.682751431281441
