	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Baltic_farm_2	Baltic_farm_1	Above_median	Above_median	0.5508181818181819
1	BigleyFm_1	Baltic_farm_1	Above_median	Above_median	0.5013636363636363
2	BigleyFm_1	Baltic_farm_2	Above_median	Above_median	0.2702727272727273
3	ChurchFarm	Baltic_farm_1	Above_median	Above_median	0.407
4	ChurchFarm	Baltic_farm_2	Above_median	Above_median	0.5970909090909091
5	ChurchFarm	BigleyFm_1	Above_median	Above_median	0.5468181818181819
6	Crux_easton_70b2	Baltic_farm_1	Above_median	Above_median	0.4288181818181818
7	Crux_easton_70b2	Baltic_farm_2	Above_median	Above_median	0.30154545454545456
8	Crux_easton_70b2	BigleyFm_1	Above_median	Above_median	0.26336363636363636
9	Crux_easton_70b2	ChurchFarm	Above_median	Above_median	0.46854545454545454
10	HommingtonFarm	Baltic_farm_1	Above_median	Above_median	0.502
11	HommingtonFarm	Baltic_farm_2	Above_median	Above_median	0.5493636363636364
12	HommingtonFarm	BigleyFm_1	Above_median	Above_median	0.4743636363636364
13	HommingtonFarm	ChurchFarm	Above_median	Above_median	0.5680909090909091
14	HommingtonFarm	Crux_easton_70b2	Above_median	Above_median	0.4222727272727273
15	HorntonHouseFarm_1_parallel	Baltic_farm_1	Above_median	Above_median	0.36418181818181816
16	HorntonHouseFarm_1_parallel	Baltic_farm_2	Above_median	Above_median	0.34845454545454546
17	HorntonHouseFarm_1_parallel	BigleyFm_1	Above_median	Above_median	0.31481818181818183
18	HorntonHouseFarm_1_parallel	ChurchFarm	Above_median	Above_median	0.44081818181818183
19	HorntonHouseFarm_1_parallel	Crux_easton_70b2	Above_median	Above_median	0.18945454545454546
20	HorntonHouseFarm_1_parallel	HommingtonFarm	Above_median	Above_median	0.4541818181818182
21	Jemma_1	Baltic_farm_1	Above_median	Above_median	0.5256363636363637
22	Jemma_1	Baltic_farm_2	Above_median	Above_median	0.19136363636363637
23	Jemma_1	BigleyFm_1	Above_median	Above_median	0.2060909090909091
24	Jemma_1	ChurchFarm	Above_median	Above_median	0.5636363636363636
25	Jemma_1	Crux_easton_70b2	Above_median	Above_median	0.25745454545454544
26	Jemma_1	HommingtonFarm	Above_median	Above_median	0.4712727272727273
27	Jemma_1	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.3165454545454545
28	Jemma_2	Baltic_farm_1	Above_median	Above_median	0.4495454545454545
29	Jemma_2	Baltic_farm_2	Above_median	Above_median	0.2319090909090909
30	Jemma_2	BigleyFm_1	Above_median	Above_median	0.2585454545454545
31	Jemma_2	ChurchFarm	Above_median	Above_median	0.5051818181818182
32	Jemma_2	Crux_easton_70b2	Above_median	Above_median	0.12881818181818183
33	Jemma_2	HommingtonFarm	Above_median	Above_median	0.4369090909090909
34	Jemma_2	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.218
35	Jemma_2	Jemma_1	Above_median	Above_median	0.205
36	Jemma_5	Baltic_farm_1	Above_median	Above_median	0.47345454545454546
37	Jemma_5	Baltic_farm_2	Above_median	Above_median	0.324
38	Jemma_5	BigleyFm_1	Above_median	Above_median	0.33545454545454545
39	Jemma_5	ChurchFarm	Above_median	Above_median	0.495
40	Jemma_5	Crux_easton_70b2	Above_median	Above_median	0.15718181818181817
41	Jemma_5	HommingtonFarm	Above_median	Above_median	0.40954545454545455
42	Jemma_5	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.25172727272727274
43	Jemma_5	Jemma_1	Above_median	Above_median	0.2994545454545455
44	Jemma_5	Jemma_2	Above_median	Above_median	0.16827272727272727
45	Jemma_6	Baltic_farm_1	Above_median	Above_median	0.47163636363636363
46	Jemma_6	Baltic_farm_2	Above_median	Above_median	0.31772727272727275
47	Jemma_6	BigleyFm_1	Above_median	Above_median	0.248
48	Jemma_6	ChurchFarm	Above_median	Above_median	0.486
49	Jemma_6	Crux_easton_70b2	Above_median	Above_median	0.15045454545454545
50	Jemma_6	HommingtonFarm	Above_median	Above_median	0.39936363636363637
51	Jemma_6	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.25845454545454544
52	Jemma_6	Jemma_1	Above_median	Above_median	0.261
53	Jemma_6	Jemma_2	Above_median	Above_median	0.16463636363636364
54	Jemma_6	Jemma_5	Above_median	Above_median	0.16227272727272726
55	Jemma_7	Baltic_farm_1	Above_median	Above_median	0.32981818181818184
56	Jemma_7	Baltic_farm_2	Above_median	Above_median	0.32272727272727275
57	Jemma_7	BigleyFm_1	Above_median	Above_median	0.31536363636363635
58	Jemma_7	ChurchFarm	Above_median	Above_median	0.4098181818181818
59	Jemma_7	Crux_easton_70b2	Above_median	Above_median	0.19654545454545455
60	Jemma_7	HommingtonFarm	Above_median	Above_median	0.45954545454545453
61	Jemma_7	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.12945454545454546
62	Jemma_7	Jemma_1	Above_median	Above_median	0.2837272727272727
63	Jemma_7	Jemma_2	Above_median	Above_median	0.18636363636363637
64	Jemma_7	Jemma_5	Above_median	Above_median	0.24845454545454546
65	Jemma_7	Jemma_6	Above_median	Above_median	0.2635454545454545
66	Jemma_9	Baltic_farm_1	Above_median	Above_median	0.5229090909090909
67	Jemma_9	Baltic_farm_2	Above_median	Above_median	0.09
68	Jemma_9	BigleyFm_1	Above_median	Above_median	0.222
69	Jemma_9	ChurchFarm	Above_median	Above_median	0.5874545454545455
70	Jemma_9	Crux_easton_70b2	Above_median	Above_median	0.2595454545454545
71	Jemma_9	HommingtonFarm	Above_median	Above_median	0.48218181818181816
72	Jemma_9	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.316
73	Jemma_9	Jemma_1	Above_median	Above_median	0.1328181818181818
74	Jemma_9	Jemma_2	Above_median	Above_median	0.19754545454545455
75	Jemma_9	Jemma_5	Above_median	Above_median	0.2871818181818182
76	Jemma_9	Jemma_6	Above_median	Above_median	0.27190909090909093
77	Jemma_9	Jemma_7	Above_median	Above_median	0.2737272727272727
78	Lardon_Chase_The_Holies_motorcycle	Baltic_farm_1	Above_median	Above_median	0.46745454545454546
79	Lardon_Chase_The_Holies_motorcycle	Baltic_farm_2	Above_median	Above_median	0.2570909090909091
80	Lardon_Chase_The_Holies_motorcycle	BigleyFm_1	Above_median	Above_median	0.24327272727272728
81	Lardon_Chase_The_Holies_motorcycle	ChurchFarm	Above_median	Above_median	0.5652727272727273
82	Lardon_Chase_The_Holies_motorcycle	Crux_easton_70b2	Above_median	Above_median	0.17781818181818182
83	Lardon_Chase_The_Holies_motorcycle	HommingtonFarm	Above_median	Above_median	0.4349090909090909
84	Lardon_Chase_The_Holies_motorcycle	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.2682727272727273
85	Lardon_Chase_The_Holies_motorcycle	Jemma_1	Above_median	Above_median	0.206
86	Lardon_Chase_The_Holies_motorcycle	Jemma_2	Above_median	Above_median	0.14554545454545453
87	Lardon_Chase_The_Holies_motorcycle	Jemma_5	Above_median	Above_median	0.235
88	Lardon_Chase_The_Holies_motorcycle	Jemma_6	Above_median	Above_median	0.21872727272727271
89	Lardon_Chase_The_Holies_motorcycle	Jemma_7	Above_median	Above_median	0.26
90	Lardon_Chase_The_Holies_motorcycle	Jemma_9	Above_median	Above_median	0.20772727272727273
91	MannorFmAltonBarnes	Baltic_farm_1	Above_median	Above_median	0.31827272727272726
92	MannorFmAltonBarnes	Baltic_farm_2	Above_median	Above_median	0.5436363636363636
93	MannorFmAltonBarnes	BigleyFm_1	Above_median	Above_median	0.42109090909090907
94	MannorFmAltonBarnes	ChurchFarm	Above_median	Above_median	0.36554545454545456
95	MannorFmAltonBarnes	Crux_easton_70b2	Above_median	Above_median	0.3922727272727273
96	MannorFmAltonBarnes	HommingtonFarm	Above_median	Above_median	0.44781818181818184
97	MannorFmAltonBarnes	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.3503636363636364
98	MannorFmAltonBarnes	Jemma_1	Above_median	Above_median	0.473
99	MannorFmAltonBarnes	Jemma_2	Above_median	Above_median	0.42009090909090907
100	MannorFmAltonBarnes	Jemma_5	Above_median	Above_median	0.4207272727272727
101	MannorFmAltonBarnes	Jemma_6	Above_median	Above_median	0.3950909090909091
102	MannorFmAltonBarnes	Jemma_7	Above_median	Above_median	0.33254545454545453
103	MannorFmAltonBarnes	Jemma_9	Above_median	Above_median	0.5164545454545455
104	MannorFmAltonBarnes	Lardon_Chase_The_Holies_motorcycle	Above_median	Above_median	0.48418181818181816
105	MannorFmBroadChalke	Baltic_farm_1	Above_median	Above_median	0.42572727272727273
106	MannorFmBroadChalke	Baltic_farm_2	Above_median	Above_median	0.5241818181818182
107	MannorFmBroadChalke	BigleyFm_1	Above_median	Above_median	0.357
108	MannorFmBroadChalke	ChurchFarm	Above_median	Above_median	0.48518181818181816
109	MannorFmBroadChalke	Crux_easton_70b2	Above_median	Above_median	0.3316363636363636
110	MannorFmBroadChalke	HommingtonFarm	Above_median	Above_median	0.303
111	MannorFmBroadChalke	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.3518181818181818
112	MannorFmBroadChalke	Jemma_1	Above_median	Above_median	0.43854545454545457
113	MannorFmBroadChalke	Jemma_2	Above_median	Above_median	0.3670909090909091
114	MannorFmBroadChalke	Jemma_5	Above_median	Above_median	0.3372727272727273
115	MannorFmBroadChalke	Jemma_6	Above_median	Above_median	0.31772727272727275
116	MannorFmBroadChalke	Jemma_7	Above_median	Above_median	0.39281818181818184
117	MannorFmBroadChalke	Jemma_9	Above_median	Above_median	0.4708181818181818
118	MannorFmBroadChalke	Lardon_Chase_The_Holies_motorcycle	Above_median	Above_median	0.3996363636363636
119	MannorFmBroadChalke	MannorFmAltonBarnes	Above_median	Above_median	0.3058181818181818
120	ManorFmBerwickStJohn_3	Baltic_farm_1	Above_median	Above_median	0.4557272727272727
121	ManorFmBerwickStJohn_3	Baltic_farm_2	Above_median	Above_median	0.5527272727272727
122	ManorFmBerwickStJohn_3	BigleyFm_1	Above_median	Above_median	0.39336363636363636
123	ManorFmBerwickStJohn_3	ChurchFarm	Above_median	Above_median	0.44645454545454544
124	ManorFmBerwickStJohn_3	Crux_easton_70b2	Above_median	Above_median	0.3472727272727273
125	ManorFmBerwickStJohn_3	HommingtonFarm	Above_median	Above_median	0.37218181818181817
126	ManorFmBerwickStJohn_3	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.37581818181818183
127	ManorFmBerwickStJohn_3	Jemma_1	Above_median	Above_median	0.4739090909090909
128	ManorFmBerwickStJohn_3	Jemma_2	Above_median	Above_median	0.37636363636363634
129	ManorFmBerwickStJohn_3	Jemma_5	Above_median	Above_median	0.3291818181818182
130	ManorFmBerwickStJohn_3	Jemma_6	Above_median	Above_median	0.32854545454545453
131	ManorFmBerwickStJohn_3	Jemma_7	Above_median	Above_median	0.3910909090909091
132	ManorFmBerwickStJohn_3	Jemma_9	Above_median	Above_median	0.49854545454545457
133	ManorFmBerwickStJohn_3	Lardon_Chase_The_Holies_motorcycle	Above_median	Above_median	0.41909090909090907
134	ManorFmBerwickStJohn_3	MannorFmAltonBarnes	Above_median	Above_median	0.3739090909090909
135	ManorFmBerwickStJohn_3	MannorFmBroadChalke	Above_median	Above_median	0.20754545454545453
136	Martin_Down_arabel_reversion	Baltic_farm_1	Above_median	Above_median	0.484
137	Martin_Down_arabel_reversion	Baltic_farm_2	Above_median	Above_median	0.5008181818181818
138	Martin_Down_arabel_reversion	BigleyFm_1	Above_median	Above_median	0.41154545454545455
139	Martin_Down_arabel_reversion	ChurchFarm	Above_median	Above_median	0.5629090909090909
140	Martin_Down_arabel_reversion	Crux_easton_70b2	Above_median	Above_median	0.3371818181818182
141	Martin_Down_arabel_reversion	HommingtonFarm	Above_median	Above_median	0.4132727272727273
142	Martin_Down_arabel_reversion	HorntonHouseFarm_1_parallel	Above_median	Above_median	0.4489090909090909
143	Martin_Down_arabel_reversion	Jemma_1	Above_median	Above_median	0.4173636363636364
144	Martin_Down_arabel_reversion	Jemma_2	Above_median	Above_median	0.36045454545454547
145	Martin_Down_arabel_reversion	Jemma_5	Above_median	Above_median	0.2912727272727273
146	Martin_Down_arabel_reversion	Jemma_6	Above_median	Above_median	0.3845454545454545
147	Martin_Down_arabel_reversion	Jemma_7	Above_median	Above_median	0.4222727272727273
148	Martin_Down_arabel_reversion	Jemma_9	Above_median	Above_median	0.44527272727272726
149	Martin_Down_arabel_reversion	Lardon_Chase_The_Holies_motorcycle	Above_median	Above_median	0.3371818181818182
