index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Mortierellomycota,k__Fungi;__,k__Fungi;p__Fungi_phy_Incertae_sedis,k__Fungi;p__Zoopagomycota,k__Rhizaria;p__Cercozoa,k__Fungi;p__Rozellomycota,Unassigned;__,k__Fungi;p__Chytridiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Olpidiomycota,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mucoromycota,k__Stramenopila;p__Ochrophyta,k__Viridiplantae;p__Anthophyta,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Sanchytriomycota,k__Metazoa;p__Chordata,k__Fungi;p__Basidiobolomycota,k__Viridiplantae;__,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,pH_category,Age_category
Whitelands_2018_19,1182.0,6974.0,1399.0,827.0,236.0,167.0,94.0,4.0,37.0,32.0,12.0,2.0,4.0,2.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1;nan,2018,3,SU2990087100,"51.581972, -1.5698756",seed_mix,8.03,136.4,No,No,Yes,Yes,Above_median,Below_median
Castle_Field_West_(W),3132.0,4432.0,897.0,1151.0,689.0,197.0,231.0,66.0,38.0,43.0,87.0,9.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2;nan,2002,19,SU2950086200,"51.573901, -1.5757235",seed_mix,7.93,139.3,No,Yes,Yes,Yes,Below_median,Above_median
Toposcope_Field_-_1980s,4215.0,2964.0,1464.0,1905.0,160.0,35.0,88.0,75.0,14.0,52.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3;nan,1985,36,SU2950086600,"51.577497, -1.5756901",Natural_regen,7.94,139.7,No,Yes,Yes,No,Above_median,Above_median
Bradenham_post-1986_b,854.0,5950.0,955.0,1873.0,457.0,246.0,44.0,292.0,111.0,89.0,75.0,22.0,0.0,8.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4;nan,1986,35,SU8290097718,"51.672127, -0.80258692",seed_mix,7.84,151.7,No,Yes,Yes,Yes,Below_median,Above_median
Lardon_Chase_The_Holies_motorcycle,3843.0,3064.0,337.0,2248.0,1094.0,209.0,82.0,65.0,28.0,26.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,2007,14,SU5930079800,"51.514021, -1.1468383",Natural_regen,7.94,135.7,No,No,Yes,No,Above_median,Below_median
Stonehenge_2000_2017a,968.0,3107.0,5123.0,826.0,271.0,186.0,199.0,76.0,24.0,67.0,122.0,26.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6;nan,2000,21,SU1370042400,"51.180671, -1.8053828",Green_hay_bush,7.88,144.3,No,Yes,Yes,Yes,Below_median,Above_median
Stonehenge_2003_2017b,2674.0,4407.0,1200.0,1917.0,237.0,198.0,146.0,38.0,48.0,65.0,46.0,18.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7;nan,2003,18,SU1150041600,"51.173525, -1.8368821",Green_hay_bush,7.69,184.4,No,Yes,Yes,Yes,Below_median,Above_median
Stonehenge_2009,1513.0,5426.0,1196.0,1672.0,347.0,286.0,160.0,55.0,6.0,115.0,179.0,34.0,1.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8;nan,2009,12,SU1050041700,"51.174443, -1.8511833",Green_hay_bush,7.82,156.5,No,No,Yes,Yes,Below_median,Below_median
Stonehenge_2007_2016,1230.0,5681.0,832.0,1205.0,354.0,1146.0,258.0,34.0,26.0,50.0,139.0,30.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9;nan,2007,14,SU1100041900,"51.176233, -1.8440251",Green_hay_bush,7.87,158.8,No,Yes,Yes,Yes,Below_median,Below_median
Stonehenge_2005,2878.0,3788.0,1712.0,1521.0,304.0,213.0,299.0,44.0,22.0,61.0,103.0,49.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10;nan,2005,16,SU1140042200,"51.178922, -1.8382937",Green_hay_bush,7.85,145.0,No,No,Yes,Yes,Below_median,Above_median
