index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,Unassigned;__;__,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporea,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sareomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycota_cls_Incertae_sedis,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Kickxellomycota;c__Ramicandelaberomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Monoblepharomycota;c__Hyaloraphidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__GS14,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Blastocladiomycota;c__Physodermatomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Stramenopila;p__Ochrophyta;c__Bacillariophyceae,k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Sanchytriomycota;c__Sanchytriomycetes,k__Metazoa;p__Chordata;c__Actinopterygii,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycota_cls_Incertae_sedis,k__Fungi;p__Monoblepharomycota;__,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycota_cls_Incertae_sedis,k__Viridiplantae;__;__,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporia_cls_Incertae_sedis,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,pH_category,Age_category
Whitelands_2018_19,1182.0,1466.0,3951.0,679.0,827.0,236.0,904.0,232.0,394.0,167.0,94.0,43.0,70.0,52.0,4.0,121.0,288.0,77.0,26.0,0.0,0.0,32.0,28.0,10.0,2.0,8.0,4.0,0.0,11.0,2.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1;nan,2018,3,SU2990087100,"51.581972, -1.5698756",seed_mix,8.03,136.4,No,No,Yes,Yes,Above_median,Below_median
Castle_Field_West_(W),3132.0,681.0,1969.0,737.0,1151.0,689.0,1150.0,353.0,124.0,197.0,231.0,130.0,36.0,43.0,66.0,35.0,0.0,33.0,36.0,0.0,0.0,43.0,27.0,87.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2;nan,2002,19,SU2950086200,"51.573901, -1.5757235",seed_mix,7.93,139.3,No,Yes,Yes,Yes,Below_median,Above_median
Toposcope_Field_-_1980s,4215.0,868.0,1142.0,456.0,1905.0,160.0,222.0,76.0,882.0,35.0,88.0,4.0,0.0,102.0,75.0,19.0,122.0,8.0,0.0,515.0,0.0,52.0,3.0,21.0,3.0,0.0,0.0,4.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3;nan,1985,36,SU2950086600,"51.577497, -1.5756901",Natural_regen,7.94,139.7,No,Yes,Yes,No,Above_median,Above_median
Bradenham_post-1986_b,854.0,1114.0,2959.0,275.0,1873.0,457.0,787.0,721.0,672.0,246.0,44.0,7.0,185.0,14.0,292.0,29.0,2.0,72.0,92.0,57.0,0.0,89.0,5.0,72.0,10.0,0.0,0.0,12.0,19.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4;nan,1986,35,SU8290097718,"51.672127, -0.80258692",seed_mix,7.84,151.7,No,Yes,Yes,Yes,Below_median,Above_median
Lardon_Chase_The_Holies_motorcycle,3843.0,510.0,1657.0,189.0,2248.0,1094.0,620.0,189.0,60.0,209.0,82.0,0.0,43.0,0.0,65.0,32.0,0.0,13.0,24.0,0.0,3.0,26.0,85.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,2007,14,SU5930079800,"51.514021, -1.1468383",Natural_regen,7.94,135.7,No,No,Yes,No,Above_median,Below_median
Stonehenge_2000_2017a,968.0,495.0,1499.0,262.0,826.0,271.0,719.0,289.0,4840.0,186.0,112.0,0.0,11.0,7.0,76.0,42.0,2.0,42.0,9.0,0.0,0.0,67.0,19.0,121.0,22.0,3.0,2.0,4.0,15.0,0.0,0.0,0.0,1.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6;nan,2000,21,SU1370042400,"51.180671, -1.8053828",Green_hay_bush,7.88,144.3,No,Yes,Yes,Yes,Below_median,Above_median
Stonehenge_2003_2017b,2674.0,324.0,2177.0,396.0,1917.0,237.0,1068.0,570.0,760.0,198.0,141.0,2.0,24.0,88.0,38.0,38.0,3.0,85.0,31.0,0.0,0.0,65.0,23.0,25.0,18.0,31.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,18.0,5.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7;nan,2003,18,SU1150041600,"51.173525, -1.8368821",Green_hay_bush,7.69,184.4,No,Yes,Yes,Yes,Below_median,Above_median
Stonehenge_2009,1513.0,545.0,2459.0,273.0,1672.0,347.0,1441.0,490.0,912.0,286.0,152.0,5.0,32.0,311.0,55.0,69.0,2.0,71.0,3.0,0.0,0.0,115.0,1.0,146.0,34.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,23.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8;nan,2009,12,SU1050041700,"51.174443, -1.8511833",Green_hay_bush,7.82,156.5,No,No,Yes,Yes,Below_median,Below_median
Stonehenge_2007_2016,1230.0,728.0,3796.0,487.0,1205.0,354.0,433.0,394.0,305.0,1146.0,250.0,4.0,40.0,141.0,34.0,36.0,2.0,101.0,1.0,0.0,0.0,50.0,6.0,84.0,30.0,4.0,0.0,0.0,25.0,10.0,0.0,0.0,11.0,30.0,8.0,0.0,44.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9;nan,2007,14,SU1100041900,"51.176233, -1.8440251",Green_hay_bush,7.87,158.8,No,Yes,Yes,Yes,Below_median,Below_median
Stonehenge_2005,2878.0,280.0,2541.0,722.0,1521.0,304.0,380.0,357.0,966.0,213.0,270.0,12.0,40.0,40.0,44.0,37.0,0.0,90.0,14.0,0.0,0.0,61.0,0.0,98.0,49.0,11.0,1.0,0.0,8.0,5.0,0.0,0.0,4.0,16.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10;nan,2005,16,SU1140042200,"51.178922, -1.8382937",Green_hay_bush,7.85,145.0,No,No,Yes,Yes,Below_median,Above_median
