#SampleID	Establishment
#q2:types	categorical
Whitelands_2018_19_	seed_mix
Castle_Field_West__W_	seed_mix
Toposcope_Field_-_1980s	Natural_regen
Bradenham_post-1986_b	seed_mix
Lardon_Chase_The_Holies_motorcycle	Natural_regen
Stonehenge_2000_2017a	Green_hay_bush
Stonehenge_2003_2017b	Green_hay_bush
Stonehenge_2009	Green_hay_bush
Stonehenge_2007_2016	Green_hay_bush
Stonehenge_2005	Green_hay_bush
Stonehenge_2002_2017	Green_hay_bush
Stonehenge_2010	Green_hay_bush
Stonehenge_2011	Green_hay_bush
Stonehenge_-_Luxenborough_BankB	Green_hay_bush
Watlington_natural_reversion	Natural_regen
St_Catherines_A3	Green_hay_bush
HARLEY_FARMS_Chittern	seed_mix
HARLEY_FARMS_New1	seed_mix
HARLEY_FARMS_new2b	seed_mix
WINDMILL_farm	seed_mix
DRUIDS	seed_mix
Stratton_Wood	seed_mix
WESTMEAD_FARM	seed_mix
RSPB_orig_green	Green_hay_bush
RSPB_churchil	Green_hay_bush
RSPB_junction	Green_hay_bush
RSPB_Mainline	Green_hay_bush
Baltic_farm_1	Green_hay_bush
Baltic_farm_2	Green_hay_bush
WestEndFarm	Green_hay_bush
HorntonHouseFarm_1_parallel	seed_mix
TownsendFarm_1	seed_mix
TownsendFarm_2	seed_mix
TownsendFarm_3_big	Green_hay_bush
ChurchFarm	seed_mix
StowellFarms_1_adj	seed_mix
MannorFmAltonBarnes	seed_mix
HommingtonFarm	seed_mix
ThropeManor_1	seed_mix
ThropeManor_2	seed_mix
ThropeManor_3	seed_mix
MannorFmBroadChalke	Green_hay_bush
BigleyFm_1	seed_mix
BigleyFm_2	seed_mix
NorringtonMannorFm_1	seed_mix
NorringtonMannorFm_2	seed_mix
ManorFmBerwickStJohn_1	seed_mix
ManorFmBerwickStJohn_3	seed_mix
Jemma_1	Green_hay_bush
Jemma_2	Natural_regen
Jemma_7	Green_hay_bush
Jemma_4	Green_hay_bush
Jemma_5	seed_mix
Jemma_6	seed_mix
Jemma_9	seed_mix
HomeFarm_WoodlandTrust_Hampshire_good_1c	seed_mix
Crux_easton_70b1	seed_mix
Crux_easton_70b2	seed_mix
Martin_Down_arabel_reversion	Natural_regen
Parsonage_down_reversion	Natural_regen
TARGET_MartinDown	Natural_regen
TARGET_St_Catherines	Natural_regen
TARGET_ParsonageDown	Natural_regen
TARGET_KNEPP_A_New_Barn_Field	Natural_regen
Knepp_Pond_field	Natural_regen
Knepp_Benton_field	Natural_regen
