	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Toposcope_Field_-_1980s	Castle_Field_West__W_	AboveMedian	AboveMedian	0.3341701626777649
1	Bradenham_post-1986_b	Castle_Field_West__W_	AboveMedian	AboveMedian	0.4082786440849304
2	Bradenham_post-1986_b	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4080386757850647
3	Stonehenge_2000_2017a	Castle_Field_West__W_	AboveMedian	AboveMedian	0.389337033033371
4	Stonehenge_2000_2017a	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.3769541084766388
5	Stonehenge_2000_2017a	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.3828442096710205
6	Stonehenge_2003_2017b	Castle_Field_West__W_	AboveMedian	AboveMedian	0.4207919239997864
7	Stonehenge_2003_2017b	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.3897506296634674
8	Stonehenge_2003_2017b	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.3487048149108887
9	Stonehenge_2003_2017b	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.3550169467926025
10	Stonehenge_2005	Castle_Field_West__W_	AboveMedian	AboveMedian	0.4083614647388458
11	Stonehenge_2005	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4030220508575439
12	Stonehenge_2005	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.3818672895431519
13	Stonehenge_2005	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.337473064661026
14	Stonehenge_2005	Stonehenge_2003_2017b	AboveMedian	AboveMedian	0.3279353678226471
15	Stonehenge_2002_2017	Castle_Field_West__W_	AboveMedian	AboveMedian	0.3912778198719025
16	Stonehenge_2002_2017	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.3974569737911224
17	Stonehenge_2002_2017	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.3848244845867157
18	Stonehenge_2002_2017	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.301165908575058
19	Stonehenge_2002_2017	Stonehenge_2003_2017b	AboveMedian	AboveMedian	0.367807149887085
20	Stonehenge_2002_2017	Stonehenge_2005	AboveMedian	AboveMedian	0.3519523739814758
21	Stonehenge_-_Luxenborough_BankB	Castle_Field_West__W_	AboveMedian	AboveMedian	0.4278888404369354
22	Stonehenge_-_Luxenborough_BankB	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4101085960865021
23	Stonehenge_-_Luxenborough_BankB	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.375578761100769
24	Stonehenge_-_Luxenborough_BankB	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.3752553761005402
25	Stonehenge_-_Luxenborough_BankB	Stonehenge_2003_2017b	AboveMedian	AboveMedian	0.3343356549739838
26	Stonehenge_-_Luxenborough_BankB	Stonehenge_2005	AboveMedian	AboveMedian	0.3023080825805664
27	Stonehenge_-_Luxenborough_BankB	Stonehenge_2002_2017	AboveMedian	AboveMedian	0.3461586236953735
28	Watlington_natural_reversion	Castle_Field_West__W_	AboveMedian	AboveMedian	0.4583330452442169
29	Watlington_natural_reversion	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4132708609104156
30	Watlington_natural_reversion	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.3593824803829193
31	Watlington_natural_reversion	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.3990218341350555
32	Watlington_natural_reversion	Stonehenge_2003_2017b	AboveMedian	AboveMedian	0.3858371376991272
33	Watlington_natural_reversion	Stonehenge_2005	AboveMedian	AboveMedian	0.372642457485199
34	Watlington_natural_reversion	Stonehenge_2002_2017	AboveMedian	AboveMedian	0.4206877946853638
35	Watlington_natural_reversion	Stonehenge_-_Luxenborough_BankB	AboveMedian	AboveMedian	0.3687051236629486
36	St_Catherines_A3	Castle_Field_West__W_	AboveMedian	AboveMedian	0.4572993218898773
37	St_Catherines_A3	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.435726135969162
38	St_Catherines_A3	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.3814609944820404
39	St_Catherines_A3	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.4142109155654907
40	St_Catherines_A3	Stonehenge_2003_2017b	AboveMedian	AboveMedian	0.3659315407276154
41	St_Catherines_A3	Stonehenge_2005	AboveMedian	AboveMedian	0.3706820905208588
42	St_Catherines_A3	Stonehenge_2002_2017	AboveMedian	AboveMedian	0.4123213887214661
43	St_Catherines_A3	Stonehenge_-_Luxenborough_BankB	AboveMedian	AboveMedian	0.322970986366272
44	St_Catherines_A3	Watlington_natural_reversion	AboveMedian	AboveMedian	0.3291971385478973
45	WINDMILL_farm	Castle_Field_West__W_	AboveMedian	AboveMedian	0.488488107919693
46	WINDMILL_farm	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4935508072376251
47	WINDMILL_farm	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.4652604162693024
48	WINDMILL_farm	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.4816500544548035
49	WINDMILL_farm	Stonehenge_2003_2017b	AboveMedian	AboveMedian	0.4386954605579376
50	WINDMILL_farm	Stonehenge_2005	AboveMedian	AboveMedian	0.4731536507606506
51	WINDMILL_farm	Stonehenge_2002_2017	AboveMedian	AboveMedian	0.4569359123706818
52	WINDMILL_farm	Stonehenge_-_Luxenborough_BankB	AboveMedian	AboveMedian	0.4554161727428436
53	WINDMILL_farm	Watlington_natural_reversion	AboveMedian	AboveMedian	0.4877222776412964
54	WINDMILL_farm	St_Catherines_A3	AboveMedian	AboveMedian	0.4179458022117615
55	DRUIDS	Castle_Field_West__W_	AboveMedian	AboveMedian	0.4365526735782623
56	DRUIDS	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.449083000421524
57	DRUIDS	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.4290538430213928
58	DRUIDS	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.4226783812046051
59	DRUIDS	Stonehenge_2003_2017b	AboveMedian	AboveMedian	0.420301765203476
60	DRUIDS	Stonehenge_2005	AboveMedian	AboveMedian	0.4212043881416321
61	DRUIDS	Stonehenge_2002_2017	AboveMedian	AboveMedian	0.398101270198822
62	DRUIDS	Stonehenge_-_Luxenborough_BankB	AboveMedian	AboveMedian	0.3982694149017334
63	DRUIDS	Watlington_natural_reversion	AboveMedian	AboveMedian	0.452806144952774
64	DRUIDS	St_Catherines_A3	AboveMedian	AboveMedian	0.4139823317527771
65	DRUIDS	WINDMILL_farm	AboveMedian	AboveMedian	0.3527070283889771
66	Stratton_Wood	Castle_Field_West__W_	AboveMedian	AboveMedian	0.4763086140155792
67	Stratton_Wood	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4734373986721039
68	Stratton_Wood	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.386539489030838
69	Stratton_Wood	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.421209305524826
70	Stratton_Wood	Stonehenge_2003_2017b	AboveMedian	AboveMedian	0.4124139249324799
71	Stratton_Wood	Stonehenge_2005	AboveMedian	AboveMedian	0.4231553077697754
72	Stratton_Wood	Stonehenge_2002_2017	AboveMedian	AboveMedian	0.416774570941925
73	Stratton_Wood	Stonehenge_-_Luxenborough_BankB	AboveMedian	AboveMedian	0.4082659780979156
74	Stratton_Wood	Watlington_natural_reversion	AboveMedian	AboveMedian	0.4453429579734802
75	Stratton_Wood	St_Catherines_A3	AboveMedian	AboveMedian	0.3980593383312225
76	Stratton_Wood	WINDMILL_farm	AboveMedian	AboveMedian	0.4078683853149414
77	Stratton_Wood	DRUIDS	AboveMedian	AboveMedian	0.3566378355026245
78	WESTMEAD_FARM	Castle_Field_West__W_	AboveMedian	AboveMedian	0.3913781642913818
79	WESTMEAD_FARM	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4061569273471832
80	WESTMEAD_FARM	Bradenham_post-1986_b	AboveMedian	AboveMedian	0.3904850780963898
81	WESTMEAD_FARM	Stonehenge_2000_2017a	AboveMedian	AboveMedian	0.3897175192832947
82	WESTMEAD_FARM	Stonehenge_2003_2017b	AboveMedian	AboveMedian	0.3496054410934448
83	WESTMEAD_FARM	Stonehenge_2005	AboveMedian	AboveMedian	0.3757587969303131
84	WESTMEAD_FARM	Stonehenge_2002_2017	AboveMedian	AboveMedian	0.383490115404129
85	WESTMEAD_FARM	Stonehenge_-_Luxenborough_BankB	AboveMedian	AboveMedian	0.3787209987640381
86	WESTMEAD_FARM	Watlington_natural_reversion	AboveMedian	AboveMedian	0.4262387752532959
87	WESTMEAD_FARM	St_Catherines_A3	AboveMedian	AboveMedian	0.3490431308746338
88	WESTMEAD_FARM	WINDMILL_farm	AboveMedian	AboveMedian	0.3592248260974884
89	WESTMEAD_FARM	DRUIDS	AboveMedian	AboveMedian	0.3748275935649872
90	WESTMEAD_FARM	Stratton_Wood	AboveMedian	AboveMedian	0.3700954616069794
