	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Toposcope_Field_-_1980s	Whitelands_2018_19_	AboveMedian	AboveMedian	0.4330776929855347
1	Lardon_Chase_The_Holies_motorcycle	Whitelands_2018_19_	AboveMedian	AboveMedian	0.5480594635009766
2	Lardon_Chase_The_Holies_motorcycle	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4636915028095245
3	RSPB_orig_green	Whitelands_2018_19_	AboveMedian	AboveMedian	0.4259949624538422
4	RSPB_orig_green	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.3356381952762604
5	RSPB_orig_green	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.4337689876556396
6	RSPB_churchil	Whitelands_2018_19_	AboveMedian	AboveMedian	0.4272187948226929
7	RSPB_churchil	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.3757574856281281
8	RSPB_churchil	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.4582048654556274
9	RSPB_churchil	RSPB_orig_green	AboveMedian	AboveMedian	0.3177829682826996
10	RSPB_junction	Whitelands_2018_19_	AboveMedian	AboveMedian	0.4170600175857544
11	RSPB_junction	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.384458988904953
12	RSPB_junction	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.5023881196975708
13	RSPB_junction	RSPB_orig_green	AboveMedian	AboveMedian	0.340101420879364
14	RSPB_junction	RSPB_churchil	AboveMedian	AboveMedian	0.3256430625915527
15	RSPB_Mainline	Whitelands_2018_19_	AboveMedian	AboveMedian	0.4037725329399109
16	RSPB_Mainline	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4046806991100311
17	RSPB_Mainline	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.4855110347270966
18	RSPB_Mainline	RSPB_orig_green	AboveMedian	AboveMedian	0.3319946527481079
19	RSPB_Mainline	RSPB_churchil	AboveMedian	AboveMedian	0.3128125667572021
20	RSPB_Mainline	RSPB_junction	AboveMedian	AboveMedian	0.2900766134262085
21	Baltic_farm_1	Whitelands_2018_19_	AboveMedian	AboveMedian	0.5344046950340271
22	Baltic_farm_1	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.5038799047470093
23	Baltic_farm_1	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.468909740447998
24	Baltic_farm_1	RSPB_orig_green	AboveMedian	AboveMedian	0.4948717951774597
25	Baltic_farm_1	RSPB_churchil	AboveMedian	AboveMedian	0.4332684874534607
26	Baltic_farm_1	RSPB_junction	AboveMedian	AboveMedian	0.5009796023368835
27	Baltic_farm_1	RSPB_Mainline	AboveMedian	AboveMedian	0.458613395690918
28	Baltic_farm_2	Whitelands_2018_19_	AboveMedian	AboveMedian	0.4746213853359222
29	Baltic_farm_2	Toposcope_Field_-_1980s	AboveMedian	AboveMedian	0.4233725368976593
30	Baltic_farm_2	Lardon_Chase_The_Holies_motorcycle	AboveMedian	AboveMedian	0.4213434457778931
31	Baltic_farm_2	RSPB_orig_green	AboveMedian	AboveMedian	0.4017572999000549
32	Baltic_farm_2	RSPB_churchil	AboveMedian	AboveMedian	0.3819134533405304
33	Baltic_farm_2	RSPB_junction	AboveMedian	AboveMedian	0.3987801671028137
