	SubjectID1	SubjectID2	Group1	Group2	Distance
0	HARLEY_FARMS_New1	HARLEY_FARMS_Chittern	no	no	0.591710758377425
1	HARLEY_FARMS_new2b	HARLEY_FARMS_Chittern	no	no	0.7671130952380952
2	HARLEY_FARMS_new2b	HARLEY_FARMS_New1	no	no	0.7446808510638298
3	Stratton_Wood	HARLEY_FARMS_Chittern	no	no	0.6583184257602862
4	Stratton_Wood	HARLEY_FARMS_New1	no	no	0.6182994454713494
5	Stratton_Wood	HARLEY_FARMS_new2b	no	no	0.6965632858340318
6	Jemma_2	HARLEY_FARMS_Chittern	no	no	0.6152241918665277
7	Jemma_2	HARLEY_FARMS_New1	no	no	0.6649848637739657
8	Jemma_2	HARLEY_FARMS_new2b	no	no	0.7684772929652716
9	Jemma_2	Stratton_Wood	no	no	0.6803013993541442
10	HomeFarm_WoodlandTrust_Hampshire_good_1c	HARLEY_FARMS_Chittern	no	no	0.9222408026755853
11	HomeFarm_WoodlandTrust_Hampshire_good_1c	HARLEY_FARMS_New1	no	no	0.9182813816343723
12	HomeFarm_WoodlandTrust_Hampshire_good_1c	HARLEY_FARMS_new2b	no	no	0.8179419525065963
13	HomeFarm_WoodlandTrust_Hampshire_good_1c	Stratton_Wood	no	no	0.8854460093896713
14	HomeFarm_WoodlandTrust_Hampshire_good_1c	Jemma_2	no	no	0.9027027027027027
15	Parsonage_down_reversion	HARLEY_FARMS_Chittern	no	no	0.7047413793103449
16	Parsonage_down_reversion	HARLEY_FARMS_New1	no	no	0.7373417721518988
17	Parsonage_down_reversion	HARLEY_FARMS_new2b	no	no	0.8457300275482094
18	Parsonage_down_reversion	Stratton_Wood	no	no	0.75
19	Parsonage_down_reversion	Jemma_2	no	no	0.6149253731343284
20	Parsonage_down_reversion	HomeFarm_WoodlandTrust_Hampshire_good_1c	no	no	0.9118727050183598
21	TARGET_KNEPP_A_New_Barn_Field	HARLEY_FARMS_Chittern	no	no	0.9406392694063926
22	TARGET_KNEPP_A_New_Barn_Field	HARLEY_FARMS_New1	no	no	0.9325323475046211
23	TARGET_KNEPP_A_New_Barn_Field	HARLEY_FARMS_new2b	no	no	0.8017751479289941
24	TARGET_KNEPP_A_New_Barn_Field	Stratton_Wood	no	no	0.905894519131334
25	TARGET_KNEPP_A_New_Barn_Field	Jemma_2	no	no	0.927360774818402
26	TARGET_KNEPP_A_New_Barn_Field	HomeFarm_WoodlandTrust_Hampshire_good_1c	no	no	0.6765625
27	TARGET_KNEPP_A_New_Barn_Field	Parsonage_down_reversion	no	no	0.9385474860335196
28	Knepp_Pond_field	HARLEY_FARMS_Chittern	no	no	0.9632352941176471
29	Knepp_Pond_field	HARLEY_FARMS_New1	no	no	0.9611470860314524
30	Knepp_Pond_field	HARLEY_FARMS_new2b	no	no	0.8964552238805971
31	Knepp_Pond_field	Stratton_Wood	no	no	0.946611909650924
32	Knepp_Pond_field	Jemma_2	no	no	0.9547123623011016
33	Knepp_Pond_field	HomeFarm_WoodlandTrust_Hampshire_good_1c	no	no	0.7890044576523031
34	Knepp_Pond_field	Parsonage_down_reversion	no	no	0.9540229885057471
35	Knepp_Pond_field	TARGET_KNEPP_A_New_Barn_Field	no	no	0.7549909255898367
36	Knepp_Benton_field	HARLEY_FARMS_Chittern	no	no	0.9391833188531712
37	Knepp_Benton_field	HARLEY_FARMS_New1	no	no	0.9342681858019282
38	Knepp_Benton_field	HARLEY_FARMS_new2b	no	no	0.8097014925373134
39	Knepp_Benton_field	Stratton_Wood	no	no	0.906158357771261
40	Knepp_Benton_field	Jemma_2	no	no	0.9311512415349887
41	Knepp_Benton_field	HomeFarm_WoodlandTrust_Hampshire_good_1c	no	no	0.7318435754189944
42	Knepp_Benton_field	Parsonage_down_reversion	no	no	0.9433719433719434
43	Knepp_Benton_field	TARGET_KNEPP_A_New_Barn_Field	no	no	0.5627306273062731
44	Knepp_Benton_field	Knepp_Pond_field	no	no	0.7733990147783252
45	HARLEY_FARMS_Chittern	Whitelands_2018_19_	no	yes	0.6655518394648829
46	HARLEY_FARMS_Chittern	Castle_Field_West__W_	no	yes	0.6175373134328358
47	HARLEY_FARMS_Chittern	Toposcope_Field_-_1980s	no	yes	0.5977312390924956
48	HARLEY_FARMS_Chittern	Bradenham_post-1986_b	no	yes	0.6113989637305699
49	HARLEY_FARMS_Chittern	Lardon_Chase_The_Holies_motorcycle	no	yes	0.6843817787418656
50	HARLEY_FARMS_Chittern	Stonehenge_2000_2017a	no	yes	0.5214953271028038
51	HARLEY_FARMS_Chittern	Stonehenge_2003_2017b	no	yes	0.612410071942446
52	HARLEY_FARMS_Chittern	Stonehenge_2009	no	yes	0.5228519195612431
53	HARLEY_FARMS_Chittern	Stonehenge_2007_2016	no	yes	0.5429362880886427
54	HARLEY_FARMS_Chittern	Stonehenge_2005	no	yes	0.5148975791433892
55	HARLEY_FARMS_Chittern	Stonehenge_2002_2017	no	yes	0.5224719101123596
56	HARLEY_FARMS_Chittern	Stonehenge_2010	no	yes	0.5383177570093458
57	HARLEY_FARMS_Chittern	Stonehenge_2011	no	yes	0.5653710247349824
58	HARLEY_FARMS_Chittern	Stonehenge_-_Luxenborough_BankB	no	yes	0.5687666370896185
59	HARLEY_FARMS_Chittern	Watlington_natural_reversion	no	yes	0.6545454545454545
60	HARLEY_FARMS_Chittern	St_Catherines_A3	no	yes	0.6385767790262172
61	HARLEY_FARMS_Chittern	WINDMILL_farm	no	yes	0.700838769804287
62	HARLEY_FARMS_Chittern	DRUIDS	no	yes	0.6424242424242425
63	HARLEY_FARMS_Chittern	WESTMEAD_FARM	no	yes	0.5984015984015985
64	HARLEY_FARMS_Chittern	RSPB_orig_green	no	yes	0.5597826086956522
65	HARLEY_FARMS_Chittern	RSPB_churchil	no	yes	0.5434565434565435
66	HARLEY_FARMS_Chittern	RSPB_junction	no	yes	0.516532618409294
67	HARLEY_FARMS_Chittern	RSPB_Mainline	no	yes	0.513094083414161
68	HARLEY_FARMS_Chittern	Baltic_farm_1	no	yes	0.6905016008537886
69	HARLEY_FARMS_Chittern	Baltic_farm_2	no	yes	0.6045081967213115
70	HARLEY_FARMS_Chittern	WestEndFarm	no	yes	0.6859592711682744
71	HARLEY_FARMS_Chittern	HorntonHouseFarm_1_parallel	no	yes	0.5472279260780287
72	HARLEY_FARMS_Chittern	TownsendFarm_1	no	yes	0.604524886877828
73	HARLEY_FARMS_Chittern	TownsendFarm_2	no	yes	0.6176744186046511
74	HARLEY_FARMS_Chittern	TownsendFarm_3_big	no	yes	0.6019677996422182
75	HARLEY_FARMS_Chittern	ChurchFarm	no	yes	0.6229221347331584
76	HARLEY_FARMS_Chittern	StowellFarms_1_adj	no	yes	0.9296875
77	HARLEY_FARMS_Chittern	MannorFmAltonBarnes	no	yes	0.6632548618219037
78	HARLEY_FARMS_Chittern	HommingtonFarm	no	yes	0.5551020408163265
79	HARLEY_FARMS_Chittern	ThropeManor_1	no	yes	0.8023833167825224
80	HARLEY_FARMS_Chittern	ThropeManor_2	no	yes	0.7452025586353944
81	HARLEY_FARMS_Chittern	ThropeManor_3	no	yes	0.6028921023359288
82	HARLEY_FARMS_Chittern	MannorFmBroadChalke	no	yes	0.6475495307612096
83	HARLEY_FARMS_Chittern	BigleyFm_1	no	yes	0.7168998923573735
84	HARLEY_FARMS_Chittern	BigleyFm_2	no	yes	0.712742980561555
85	HARLEY_FARMS_Chittern	NorringtonMannorFm_1	no	yes	0.6405228758169934
86	HARLEY_FARMS_Chittern	NorringtonMannorFm_2	no	yes	0.6309771309771309
87	HARLEY_FARMS_Chittern	ManorFmBerwickStJohn_1	no	yes	0.7773359840954275
88	HARLEY_FARMS_Chittern	ManorFmBerwickStJohn_3	no	yes	0.6977730646871686
89	HARLEY_FARMS_Chittern	Jemma_1	no	yes	0.6530825496342738
90	HARLEY_FARMS_Chittern	Jemma_7	no	yes	0.6246089676746611
91	HARLEY_FARMS_Chittern	Jemma_4	no	yes	0.7397849462365591
92	HARLEY_FARMS_Chittern	Jemma_5	no	yes	0.6113744075829384
93	HARLEY_FARMS_Chittern	Jemma_6	no	yes	0.6194100856327307
94	HARLEY_FARMS_Chittern	Jemma_9	no	yes	0.6902465166130761
95	HARLEY_FARMS_Chittern	Crux_easton_70b1	no	yes	0.5837615621788284
96	HARLEY_FARMS_Chittern	Crux_easton_70b2	no	yes	0.5829244357212954
97	HARLEY_FARMS_Chittern	Martin_Down_arabel_reversion	no	yes	0.747014115092291
98	HARLEY_FARMS_Chittern	TARGET_MartinDown	no	yes	0.7579062159214831
99	HARLEY_FARMS_Chittern	TARGET_St_Catherines	no	yes	0.7829293993677555
100	HARLEY_FARMS_Chittern	TARGET_ParsonageDown	no	yes	0.7541163556531284
101	HARLEY_FARMS_New1	Whitelands_2018_19_	no	yes	0.6248919619706137
102	HARLEY_FARMS_New1	Castle_Field_West__W_	no	yes	0.649908592321755
103	HARLEY_FARMS_New1	Toposcope_Field_-_1980s	no	yes	0.6605351170568562
104	HARLEY_FARMS_New1	Bradenham_post-1986_b	no	yes	0.6334185848252344
105	HARLEY_FARMS_New1	Lardon_Chase_The_Holies_motorcycle	no	yes	0.7135250266240681
106	HARLEY_FARMS_New1	Stonehenge_2000_2017a	no	yes	0.6056587091069849
107	HARLEY_FARMS_New1	Stonehenge_2003_2017b	no	yes	0.6602787456445993
108	HARLEY_FARMS_New1	Stonehenge_2009	no	yes	0.6359017781541066
109	HARLEY_FARMS_New1	Stonehenge_2007_2016	no	yes	0.6177504393673111
110	HARLEY_FARMS_New1	Stonehenge_2005	no	yes	0.5978835978835979
111	HARLEY_FARMS_New1	Stonehenge_2002_2017	no	yes	0.6104240282685512
112	HARLEY_FARMS_New1	Stonehenge_2010	no	yes	0.5980215827338129
113	HARLEY_FARMS_New1	Stonehenge_2011	no	yes	0.6302876480541455
114	HARLEY_FARMS_New1	Stonehenge_-_Luxenborough_BankB	no	yes	0.6622296173044925
115	HARLEY_FARMS_New1	Watlington_natural_reversion	no	yes	0.6805792163543442
116	HARLEY_FARMS_New1	St_Catherines_A3	no	yes	0.6694214876033058
117	HARLEY_FARMS_New1	WINDMILL_farm	no	yes	0.6758817921830315
118	HARLEY_FARMS_New1	DRUIDS	no	yes	0.6444058976582827
119	HARLEY_FARMS_New1	WESTMEAD_FARM	no	yes	0.5977933801404213
120	HARLEY_FARMS_New1	RSPB_orig_green	no	yes	0.6205395996518712
121	HARLEY_FARMS_New1	RSPB_churchil	no	yes	0.5740922473012757
122	HARLEY_FARMS_New1	RSPB_junction	no	yes	0.5769561478933792
123	HARLEY_FARMS_New1	RSPB_Mainline	no	yes	0.5639097744360902
124	HARLEY_FARMS_New1	Baltic_farm_1	no	yes	0.7244258872651357
125	HARLEY_FARMS_New1	Baltic_farm_2	no	yes	0.6524329692154915
126	HARLEY_FARMS_New1	WestEndFarm	no	yes	0.6927194860813705
127	HARLEY_FARMS_New1	HorntonHouseFarm_1_parallel	no	yes	0.5857572718154463
128	HARLEY_FARMS_New1	TownsendFarm_1	no	yes	0.6657986111111112
129	HARLEY_FARMS_New1	TownsendFarm_2	no	yes	0.5935422602089269
130	HARLEY_FARMS_New1	TownsendFarm_3_big	no	yes	0.651082251082251
131	HARLEY_FARMS_New1	ChurchFarm	no	yes	0.6188380281690141
132	HARLEY_FARMS_New1	StowellFarms_1_adj	no	yes	0.9302507836990596
133	HARLEY_FARMS_New1	MannorFmAltonBarnes	no	yes	0.6348373557187827
134	HARLEY_FARMS_New1	HommingtonFarm	no	yes	0.6180215475024485
135	HARLEY_FARMS_New1	ThropeManor_1	no	yes	0.810891089108911
136	HARLEY_FARMS_New1	ThropeManor_2	no	yes	0.7505330490405118
