Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),2.9948617506927544,0.08352904185928986,0.4823375273017216
0-10 (n=23),11-20 (n=24),0.06542164482078273,0.7981233801668004,0.8764529735149156
0-10 (n=23),21-30 (n=11),0.1647302212286017,0.6848383352597177,0.8459767670855336
0-10 (n=23),31-40 (n=3),1.013021534655945,0.31418005945179406,0.5552933887600946
0-10 (n=23),61-70 (n=1),1.1811023622047288,0.27713169075620325,0.5552933887600946
0-10 (n=23),71-100 (n=1),0.047244094488192015,0.8279300870715465,0.8764529735149156
100+ (n=3),11-20 (n=24),3.893114829597783,0.0484844237405765,0.4823375273017216
100+ (n=3),21-30 (n=11),2.708443004656812,0.09981837269539111,0.4823375273017216
100+ (n=3),31-40 (n=3),3.857142857142854,0.049534613435626915,0.4823375273017216
100+ (n=3),61-70 (n=1),0.1999999999999993,0.6547208460185774,0.8459767670855336
100+ (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.4823375273017216
11-20 (n=24),21-30 (n=11),0.24890402830958547,0.6178478441336444,0.8459767670855336
11-20 (n=24),31-40 (n=3),1.1720331186752435,0.2789838828827663,0.5552933887600946
11-20 (n=24),61-70 (n=1),0.58533281733748,0.44422958558571646,0.6987043638627695
11-20 (n=24),71-100 (n=1),0.043537151702796276,0.8347171176332528,0.8764529735149156
21-30 (n=11),31-40 (n=3),1.7670496539676126,0.18374762944827489,0.4823375273017216
21-30 (n=11),61-70 (n=1),0.5319148936170164,0.4658029092418463,0.6987043638627695
21-30 (n=11),71-100 (n=1),0.021276595744679792,0.884027968680685,0.884027968680685
31-40 (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.4823375273017216
31-40 (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.4823375273017216
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.5552933887600946
