id	Year_est	Age	Establishment	Cutting	Cattle	Sheep	Plough	Year_group	Age_group	Age_binary	pH_binary	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
Whitelands_2018_19_	2018	3	seed_mix	no	no	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	7.88732201206191
Castle_Field_West__W_	2002	19	seed_mix	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	7.88315804600186
Toposcope_Field_-_1980s	1985	36	Natural_regen	no	yes	yes	no	1981-2000	31-40	AboveMedian	AboveMedian	7.89510629811854
Bradenham_post-1986_b	1986	35	seed_mix	no	yes	yes	yes	1981-2000	31-40	AboveMedian	BelowMedian	7.79027051781526
Lardon_Chase_The_Holies_motorcycle	2007	14	Natural_regen	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	7.93874524114939
Stonehenge_2000_2017a	2000	21	Green_hay_bush	no	yes	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	7.85832116300547
Stonehenge_2003_2017b	2003	18	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	7.83891499140059
Stonehenge_2009	2009	12	Green_hay_bush	no	no	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	7.84544386681519
Stonehenge_2007_2016	2007	14	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	7.82616908294731
Stonehenge_2005	2005	16	Green_hay_bush	no	no	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	7.82239975153775
Stonehenge_2002_2017	2002	19	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	7.85501269121566
Stonehenge_2010	2010	11	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	7.85446152397015
Stonehenge_2011	2011	10	Green_hay_bush	no	yes	yes	yes	2011-2020	0-10	BelowMedian	BelowMedian	7.84567387763375
Stonehenge_-_Luxenborough_BankB	2000	21	Green_hay_bush	yes	no	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	7.83615733850911
Watlington_natural_reversion	2000	21	Natural_regen	no	no	yes	no	1981-2000	21-30	AboveMedian	BelowMedian	7.81937676197741
St_Catherines_A3	1994	27	Green_hay_bush	yes	yes	yes	no	1981-2000	21-30	AboveMedian	BelowMedian	7.83246872063621
HARLEY_FARMS_Chittern	2013	8	seed_mix	yes	yes	no	yes	2011-2020	0-10	BelowMedian	BelowMedian	7.87467492060815
HARLEY_FARMS_New1	2020	1	seed_mix	no	yes	no	no	2011-2020	0-10	BelowMedian	BelowMedian	7.87151983501813
HARLEY_FARMS_new2b	2020	1	seed_mix	yes	no	no	no	2011-2020	0-10	BelowMedian	BelowMedian	7.89813912790207
WINDMILL_farm	1990	31	seed_mix	yes	yes	yes	yes	1981-2000	31-40	AboveMedian	BelowMedian	7.88978219030755
DRUIDS	2002	19	seed_mix	yes	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	7.88371927045524
Stratton_Wood	1995	26	seed_mix	yes	no	no	yes	1981-2000	21-30	AboveMedian	BelowMedian	7.86304289965694
WESTMEAD_FARM	2000	21	seed_mix	yes	no	yes	no	1981-2000	21-30	AboveMedian	BelowMedian	7.86093001360911
RSPB_orig_green	2006	15	Green_hay_bush	no	yes	yes	no	2001-2010	11-20	AboveMedian	AboveMedian	7.88936805026299
RSPB_churchil	2010	11	Green_hay_bush	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	7.87384877364055
RSPB_junction	2007	14	Green_hay_bush	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	7.88935912613527
RSPB_Mainline	2016	5	Green_hay_bush	no	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	7.87701859693735
Baltic_farm_1	2005	16	Green_hay_bush	yes	yes	yes	no	2001-2010	11-20	AboveMedian	AboveMedian	7.84148545632803
Baltic_farm_2	1998	23	Green_hay_bush	yes	yes	yes	no	1981-2000	21-30	AboveMedian	AboveMedian	7.86587520228729
WestEndFarm	2019	2	Green_hay_bush	yes	no	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	7.88054759612979
HorntonHouseFarm_1_parallel	2016	5	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	7.87055523183774
TownsendFarm_1	2017	4	seed_mix	yes	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	7.84713009231209
TownsendFarm_2	2010	11	seed_mix	yes	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	7.87907706107494
