id	clr	W
1CMET2-PWY	-0.04288521278244661	4
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	-0.008656521906441506	0
AEROBACTINSYN-PWY	0.44289947254550555	1
ALL-CHORISMATE-PWY	0.13738208868837792	0
ANAEROFRUCAT-PWY	0.004508531935188964	1
ANAGLYCOLYSIS-PWY	-0.0210094059886079	4
ARG+POLYAMINE-SYN	0.00976757504535053	0
ARGORNPROST-PWY	0.07433906961064018	3
ARGSYN-PWY	-0.023958778645278844	4
ARGSYNBSUB-PWY	-0.02281567757107572	4
ARO-PWY	-0.029214628612268978	7
ASPASN-PWY	0.08641775872336796	2
AST-PWY	-0.08058078436988891	0
BIOTIN-BIOSYNTHESIS-PWY	-0.04645519162752576	0
BRANCHED-CHAIN-AA-SYN-PWY	-0.03614648646140006	5
CALVIN-PWY	-0.022750421045761193	4
CATECHOL-ORTHO-CLEAVAGE-PWY	0.10104147444748202	0
CENTBENZCOA-PWY	-0.17779042285846636	0
CENTFERM-PWY	0.08712858498738824	0
CHLOROPHYLL-SYN	0.6348148593568297	0
COA-PWY	-0.02729091786359028	4
COBALSYN-PWY	-0.03710283999238784	1
CODH-PWY	0.09364158149377955	0
COLANSYN-PWY	-0.060859744741559973	2
COMPLETE-ARO-PWY	-0.028867360675392195	7
CRNFORCAT-PWY	0.7106189244407917	1
DAPLYSINESYN-PWY	-0.029621604624468834	5
DENITRIFICATION-PWY	-0.09422555557769252	0
DENOVOPURINE2-PWY	-0.00668966251795422	2
DTDPRHAMSYN-PWY	-0.03116134088800271	3
ENTBACSYN-PWY	0.21342601282090823	0
FAO-PWY	-0.011398842411976862	0
FASYN-ELONG-PWY	-0.0698729670713023	7
FASYN-INITIAL-PWY	-0.04141166435097965	0
FERMENTATION-PWY	-0.0821704171048101	0
FOLSYN-PWY	-0.030441558378830225	1
FUC-RHAMCAT-PWY	0.40783753710696136	0
FUCCAT-PWY	0.11807187737617308	0
GALACT-GLUCUROCAT-PWY	0.049874702122417694	1
GALACTARDEG-PWY	-0.16206405834934157	3
GALACTUROCAT-PWY	0.006604925583918342	0
GALLATE-DEGRADATION-I-PWY	0.23907227884047555	0
GALLATE-DEGRADATION-II-PWY	0.3300859324712815	0
GLCMANNANAUT-PWY	-0.1008834888275707	0
GLUCARDEG-PWY	-0.1274156080973181	0
GLUCARGALACTSUPER-PWY	-0.16206405834934157	3
GLUCONEO-PWY	-0.014690341997122935	2
GLUCOSE1PMETAB-PWY	0.024710105284624806	0
GLUCUROCAT-PWY	0.016925595789875736	1
GLUTORN-PWY	-0.02638270082710026	3
GLYCOCAT-PWY	-0.04998856461375478	3
GLYCOGENSYNTH-PWY	-0.04678097585837304	7
GLYCOL-GLYOXDEG-PWY	0.30440454312178655	0
GLYCOLYSIS	-0.008798503520115464	2
GLYCOLYSIS-E-D	-0.0015146742707503602	1
GLYCOLYSIS-TCA-GLYOX-BYPASS	-0.021707359096866163	1
GLYOXYLATE-BYPASS	-0.037740636437319175	1
GOLPDLCAT-PWY	0.40868996992769135	0
HCAMHPDEG-PWY	-0.10067778687815288	0
HEME-BIOSYNTHESIS-II	0.051704564872405046	116
HEMESYN2-PWY	-0.00206710436165225	3
HEXITOLDEGSUPER-PWY	0.08111589443785527	1
HISDEG-PWY	0.03882747565401612	34
HISTSYN-PWY	-0.025077252754399648	3
HOMOSER-METSYN-PWY	0.045660315473692314	86
HSERMETANA-PWY	-0.022023595967798126	0
ILEUSYN-PWY	-0.050597793023857474	5
KDO-NAGLIPASYN-PWY	-0.6745706723744025	0
KETOGLUCONMET-PWY	-0.015454310510534919	0
LEU-DEG2-PWY	-0.007079145496800221	7
LIPASYN-PWY	-1.2689152233432557	4
MET-SAM-PWY	0.012437894680587869	64
METH-ACETATE-PWY	-0.16775195634710682	0
METHANOGENESIS-PWY	-0.28301939473150917	0
METHGLYUT-PWY	0.35035748045970205	0
METHYLGALLATE-DEGRADATION-PWY	0.23598227071701539	0
NAD-BIOSYNTHESIS-II	0.014482903366646704	0
NADSYN-PWY	-0.004888358500427847	0
NAGLIPASYN-PWY	-0.12542355416706408	2
NONMEVIPP-PWY	-0.032838292483524656	6
NONOXIPENT-PWY	-0.015349761205242896	2
OANTIGEN-PWY	-0.024799515261939575	3
P101-PWY	-0.02884673242348984	0
P105-PWY	-0.02723703457906934	1
P108-PWY	-0.021690989229220747	4
P122-PWY	-0.0075114620882790195	0
P124-PWY	-0.03499701756256046	0
P125-PWY	0.08331132058844531	0
P161-PWY	0.03948625673840889	3
P162-PWY	-0.09351367852640635	0
P163-PWY	0.09793650769735063	0
P164-PWY	0.303707241734247	0
P184-PWY	0.2428472189747657	0
P221-PWY	-0.014981162469714288	0
P23-PWY	-0.0014006572818212604	1
