	W	Reject null hypothesis
PWY-5265	398	True
PWY-6892	354	False
CRNFORCAT-PWY	342	False
THISYN-PWY	341	False
PWY-7046	318	False
PWY-6071	240	False
PWY0-321	224	False
PWY-7616	196	False
NAGLIPASYN-PWY	183	False
FERMENTATION-PWY	178	False
GALACT-GLUCUROCAT-PWY	160	False
PWY-5913	155	False
ARGORNPROST-PWY	139	False
PWY1G-0	138	False
PWY0-1533	134	False
PWY-6608	127	False
PWY0-1586	123	False
SALVADEHYPOX-PWY	120	False
HISDEG-PWY	120	False
SULFATE-CYS-PWY	115	False
1CMET2-PWY	112	False
HOMOSER-METSYN-PWY	105	False
PWY-7234	103	False
PWY-7211	101	False
PWY-5345	98	False
PWY-7200	96	False
P108-PWY	88	False
ANAEROFRUCAT-PWY	87	False
MET-SAM-PWY	81	False
GLYCOLYSIS-E-D	81	False
PWY-6317	75	False
UDPNAGSYN-PWY	74	False
PWY-7184	73	False
PWY0-1296	72	False
TEICHOICACID-PWY	67	False
PWY-7663	65	False
PWY-6609	65	False
PWY-6387	65	False
FASYN-ELONG-PWY	65	False
PWY-5918	62	False
PWY-7199	61	False
SO4ASSIM-PWY	61	False
PWY-5857	57	False
PWY-5856	57	False
PEPTIDOGLYCANSYN-PWY	57	False
PWY-5855	57	False
PWY-6708	57	False
FOLSYN-PWY	55	False
PANTOSYN-PWY	55	False
PWY0-166	55	False
PWY-6353	54	False
UBISYN-PWY	54	False
PANTO-PWY	53	False
PWY-5973	50	False
PWY-6612	50	False
PWY-1269	48	False
HEME-BIOSYNTHESIS-II	46	False
PWY-6147	46	False
PWY0-1297	44	False
PWY-7539	44	False
PWY-6700	43	False
PWY-7094	41	False
PWY-7208	41	False
PWY-6901	41	False
PWY-6151	41	False
PWY-6386	40	False
PWY-5505	40	False
PWY-6385	38	False
PWY-7560	38	False
NONMEVIPP-PWY	38	False
PWY-3001	38	False
TRNA-CHARGING-PWY	38	False
PWY-5695	37	False
ARGSYN-PWY	37	False
POLYAMINSYN3-PWY	37	False
CALVIN-PWY	37	False
PWY-5861	37	False
PWY-7400	37	False
PWY-6126	37	False
PWY-6467	37	False
PWY-7229	37	False
PWY-7196	36	False
PWY-5838	36	False
PWY-5347	36	False
GLUCUROCAT-PWY	36	False
SER-GLYSYN-PWY	36	False
PWY-841	36	False
PWY-7219	36	False
PWY-7220	36	False
PWY-7222	36	False
GLUCONEO-PWY	36	False
COMPLETE-ARO-PWY	35	False
PWY-5899	35	False
PWY-5898	35	False
PWY-5897	35	False
PWY-5097	35	False
PWY-5189	35	False
TCA	34	False
ARO-PWY	34	False
TRPSYN-PWY	34	False
ANAGLYCOLYSIS-PWY	34	False
PWY-2942	34	False
PWY0-781	34	False
PWY-6123	34	False
THRESYN-PWY	33	False
RIBOSYN2-PWY	33	False
PWY-5686	33	False
PWY-6121	33	False
PWY-6125	33	False
FAO-PWY	33	False
NONOXIPENT-PWY	33	False
PWY-6737	33	False
GLYCOGENSYNTH-PWY	33	False
PWY-6163	32	False
PWY0-1241	31	False
PWY-6969	31	False
PWY0-162	31	False
PWY-7228	31	False
PWY-5840	31	False
PWY-5659	31	False
GLYCOLYSIS	31	False
PWY-7221	30	False
ARGSYNBSUB-PWY	30	False
PWY-7197	30	False
COA-PWY	30	False
PWY-5667	29	False
HEMESYN2-PWY	29	False
PWY-5420	29	False
GLYCOCAT-PWY	29	False
PWY0-1319	29	False
PHOSLIPSYN-PWY	28	False
PWY-5837	28	False
PWY4FS-7	28	False
PWY4FS-8	28	False
PWY-5863	28	False
PWY-4984	28	False
PWY-5484	27	False
HISTSYN-PWY	27	False
P4-PWY	27	False
GLYOXYLATE-BYPASS	27	False
PWY-5188	27	False
DAPLYSINESYN-PWY	27	False
PWY-6122	26	False
REDCITCYC	26	False
PWY-7111	26	False
PWY-5154	26	False
PENTOSE-P-PWY	26	False
PWY-6277	26	False
PWY-5103	25	False
GLUTORN-PWY	25	False
PWY-3781	25	False
PWY0-1261	24	False
PWY-5121	24	False
PWY-5101	24	False
OANTIGEN-PWY	24	False
P105-PWY	24	False
PWY-5676	23	False
PWY-7392	22	False
PWY-6703	22	False
RHAMCAT-PWY	22	False
PYRIDNUCSAL-PWY	22	False
VALSYN-PWY	22	False
ALL-CHORISMATE-PWY	22	False
PWY-5100	22	False
BRANCHED-CHAIN-AA-SYN-PWY	22	False
ILEUSYN-PWY	22	False
POLYISOPRENSYN-PWY	22	False
COLANSYN-PWY	21	False
PWY-5392	20	False
PWY-5022	20	False
DTDPRHAMSYN-PWY	20	False
P23-PWY	20	False
HSERMETANA-PWY	19	False
PWY-7323	19	False
PWY-6897	19	False
PWY-5920	19	False
PWY-6383	18	False
PWY-7332	18	False
TCA-GLYOX-BYPASS	18	False
PWY-5419	18	False
PWY-7007	18	False
PWY0-1415	18	False
PWY-6478	17	False
PWY-6749	17	False
LEU-DEG2-PWY	17	False
P163-PWY	17	False
GLYCOLYSIS-TCA-GLYOX-BYPASS	17	False
PYRIDNUCSYN-PWY	16	False
PWY-6263	16	False
PWY-5845	16	False
PWY-5850	16	False
PWY-5896	16	False
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	15	False
PWY-1622	15	False
ASPASN-PWY	15	False
PWY-7371	14	False
COBALSYN-PWY	14	False
PWY-181	13	False
PWY-5862	13	False
PWY-5860	13	False
PWY-7376	12	False
P441-PWY	12	False
PWY-6545	12	False
PWY-7237	12	False
PWY-7255	11	False
PWY-5180	11	False
PWY-5415	11	False
PWY-5654	11	False
P124-PWY	11	False
PWY-5182	11	False
GLCMANNANAUT-PWY	11	False
PWY-6282	10	False
PWY-7664	10	False
PWY-7431	10	False
PWY0-862	10	False
PWY0-1298	10	False
PWYG-321	10	False
PWY-5304	10	False
P42-PWY	10	False
PWY-5989	10	False
PWY-7242	9	False
PWY-7254	9	False
PWY-6396	9	False
P381-PWY	9	False
P122-PWY	9	False
PWY-6507	9	False
PWY-7187	9	False
PWY-6895	9	False
PWY-1541	9	False
FASYN-INITIAL-PWY	9	False
PWY-5430	9	False
DENOVOPURINE2-PWY	9	False
PWY490-3	9	False
PWY-6588	9	False
PRPP-PWY	9	False
P161-PWY	8	False
GLUCARGALACTSUPER-PWY	8	False
ARG+POLYAMINE-SYN	8	False
PWY-5384	8	False
BIOTIN-BIOSYNTHESIS-PWY	8	False
GALACTUROCAT-PWY	8	False
PWY-6876	8	False
PWY-5104	8	False
PWY-6269	8	False
GLUCARDEG-PWY	8	False
