id	clr	W
1CMET2-PWY	10.51913736739099	112
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	2.354071882813642	4
AEROBACTINSYN-PWY	3.031058678102604	2
ALL-CHORISMATE-PWY	4.003238157757065	22
ANAEROFRUCAT-PWY	1.844889891431286	87
ANAGLYCOLYSIS-PWY	5.057628087144357	34
ARG+POLYAMINE-SYN	1.1453252608042428	8
ARGORNPROST-PWY	5.013051537894617	139
ARGSYN-PWY	5.691677249040597	37
ARGSYNBSUB-PWY	5.563652600477709	30
ARO-PWY	6.497385060092739	34
ASPASN-PWY	2.3077615363105553	15
AST-PWY	0.593479018989242	2
BIOTIN-BIOSYNTHESIS-PWY	2.2259687494240232	8
BRANCHED-CHAIN-AA-SYN-PWY	6.708081141485823	22
CALVIN-PWY	4.984159435292948	37
CATECHOL-ORTHO-CLEAVAGE-PWY	1.4491899043543395	5
CENTBENZCOA-PWY	2.9644008443497087	3
CENTFERM-PWY	0.5650243431969059	4
CHLOROPHYLL-SYN	3.477991800526604	1
COA-PWY	6.4558960345440894	30
COBALSYN-PWY	3.827114734050822	14
CODH-PWY	1.1938922056089059	5
COLANSYN-PWY	8.106919662305355	21
COMPLETE-ARO-PWY	6.588666577574348	35
CRNFORCAT-PWY	16.42663503681503	342
DAPLYSINESYN-PWY	5.779796493828803	27
DENITRIFICATION-PWY	4.166855074420993	6
DENOVOPURINE2-PWY	1.4314372373238726	9
DTDPRHAMSYN-PWY	5.3812588999324245	20
ENTBACSYN-PWY	1.1119250392726217	4
FAO-PWY	3.7471170677740715	33
FASYN-ELONG-PWY	9.597205902285124	65
FASYN-INITIAL-PWY	4.777000035500575	9
FERMENTATION-PWY	15.447179375287902	178
FOLSYN-PWY	7.647945000943038	55
FUC-RHAMCAT-PWY	1.2508841499738035	0
FUCCAT-PWY	1.1238487137877995	1
GALACT-GLUCUROCAT-PWY	8.948426031707061	160
GALACTARDEG-PWY	3.8350992915784117	8
GALACTUROCAT-PWY	2.0223848407753064	8
GALLATE-DEGRADATION-I-PWY	3.1603279161613735	2
GALLATE-DEGRADATION-II-PWY	1.9216932512000835	3
GLCMANNANAUT-PWY	5.239067283370346	11
GLUCARDEG-PWY	3.7249091319141616	8
GLUCARGALACTSUPER-PWY	3.8350992915784117	8
GLUCONEO-PWY	3.6703420920635974	36
GLUCOSE1PMETAB-PWY	1.752586642420191	8
GLUCUROCAT-PWY	0.8582282349903971	36
GLUTORN-PWY	6.293530336761957	25
GLYCOCAT-PWY	7.628321071541806	29
GLYCOGENSYNTH-PWY	5.632253359739501	33
GLYCOL-GLYOXDEG-PWY	2.7193286009751905	1
GLYCOLYSIS	3.5062403660354535	31
GLYCOLYSIS-E-D	2.64426863803948	81
GLYCOLYSIS-TCA-GLYOX-BYPASS	4.934974053732918	17
GLYOXYLATE-BYPASS	5.542821412180057	27
GOLPDLCAT-PWY	5.254524516174995	3
HCAMHPDEG-PWY	3.5113061749286003	5
HEME-BIOSYNTHESIS-II	0.9378984062270745	46
HEMESYN2-PWY	3.2413013608679244	29
HEXITOLDEGSUPER-PWY	0.09937583600981441	8
HISDEG-PWY	2.584309554582535	120
HISTSYN-PWY	6.019936682003333	27
HOMOSER-METSYN-PWY	2.580548127162099	105
HSERMETANA-PWY	3.6827622677722003	19
ILEUSYN-PWY	6.932631470055083	22
KDO-NAGLIPASYN-PWY	4.142636559752347	1
KETOGLUCONMET-PWY	3.203350524842648	5
LEU-DEG2-PWY	4.735996880982596	17
LIPASYN-PWY	1.6102073027084844	1
MET-SAM-PWY	2.6304284561283717	81
METH-ACETATE-PWY	2.910504665936092	2
METHANOGENESIS-PWY	0.3679120432861175	1
METHGLYUT-PWY	6.252066354536515	8
METHYLGALLATE-DEGRADATION-PWY	3.257094794320386	2
NAD-BIOSYNTHESIS-II	4.769220649911791	3
NADSYN-PWY	1.9211076164980398	5
NAGLIPASYN-PWY	16.10116340827336	183
NONMEVIPP-PWY	5.89218029367479	38
NONOXIPENT-PWY	3.363092650542735	33
OANTIGEN-PWY	5.116297895637606	24
P101-PWY	0.9217712102178836	5
P105-PWY	5.810467806258015	24
P108-PWY	3.805591810913621	88
P122-PWY	3.853143360742953	9
P124-PWY	0.3459769571927097	11
P125-PWY	1.9918571726190728	6
P161-PWY	0.2103051252999989	8
P162-PWY	3.810601833226376	1
P163-PWY	4.593519839405669	17
P164-PWY	2.512576874111743	2
P184-PWY	2.74922346415617	2
P221-PWY	0.7247932628218087	7
P23-PWY	5.485969884054411	20
P241-PWY	1.5937675027267857	2
P261-PWY	1.0543686282024134	4
P281-PWY	2.2765934092548417	7
P341-PWY	0.14644450370287126	1
P381-PWY	0.9879996473277615	9
P4-PWY	4.909011349316839	27
P42-PWY	4.379347874688796	10
P441-PWY	4.9770323740442866	12
P461-PWY	0.10447103389799711	5
P562-PWY	0.4365722807956659	6
P621-PWY	1.9838164150656616	5
PANTO-PWY	6.945545496198688	53
PANTOSYN-PWY	6.932829672881707	55
PENTOSE-P-PWY	3.587172362898574	26
PEPTIDOGLYCANSYN-PWY	4.770474160424828	57
PHOSLIPSYN-PWY	6.145916745990244	28
POLYAMINSYN3-PWY	7.823559303696913	37
POLYAMSYN-PWY	1.0328298443200983	8
POLYISOPRENSYN-PWY	8.064930169828258	22
PPGPPMET-PWY	2.335550396253453	7
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	3.5824928758653036	15
PRPP-PWY	1.7236861814449953	9
PWY-1269	11.36638054627245	48
PWY-1361	0.1713713461758629	1
PWY-1501	1.5968951032459258	8
PWY-1541	7.603252577277599	9
PWY-1622	0.5780022757285643	15
PWY-181	0.43017323898070703	13
PWY-1861	0.713011340503936	6
PWY-1882	0.5712311556777427	1
PWY-2221	0.3101538128036498	1
PWY-2941	0.44011316059265704	4
PWY-2942	6.061362126626687	34
PWY-3001	5.636683626137546	38
PWY-3661	5.933165497678227	3
PWY-3781	5.0589505866161355	25
PWY-3801	1.345376959452353	0
PWY-3941	1.7406441653947848	7
PWY-4361	0.465894442982978	4
PWY-4984	0.8120128457870076	28
PWY-5005	2.4322081671790374	1
PWY-5022	2.5751936530139456	20
PWY-5028	3.123199261439493	6
PWY-5088	0.9618982913578515	0
PWY-5097	6.293520852213602	35
PWY-5100	5.917172979919139	22
PWY-5101	6.89206790621475	24
PWY-5103	6.630319436887184	25
PWY-5104	5.2024071184076215	8
PWY-5121	4.878064771580488	24
PWY-5154	5.609363148571094	26
PWY-5177	4.36646168270255	1
PWY-5178	1.7135526774899856	8
PWY-5180	4.189329734933312	11
PWY-5181	0.6103310326121489	7
PWY-5182	4.189329734933312	11
PWY-5183	0.45906538861338025	1
PWY-5188	5.676593505936476	27
PWY-5189	5.592910624131134	35
PWY-5198	1.7184441489680953	1
PWY-5265	37.524699981366716	398
PWY-5266	1.9670199846001095	0
PWY-5273	1.9670199846001095	0
PWY-5304	1.7247947105371328	10
PWY-5345	8.01861092162927	98
PWY-5347	3.635703732271112	36
PWY-5384	1.727685729245403	8
PWY-5392	4.676264415278251	20
PWY-5415	2.7487752276372093	11
PWY-5417	1.2434822341938867	5
PWY-5419	4.966161300294793	18
PWY-5420	5.069790508670368	29
PWY-5430	2.5472765797655033	9
PWY-5431	1.2434822341938867	5
PWY-5484	2.0925435829970014	27
PWY-5499	3.1691719215963223	2
PWY-5505	5.872039111235982	40
PWY-5507	0.10764111882240031	1
PWY-5509	2.6727055694403483	8
PWY-5529	3.272584279895818	0
PWY-5531	1.019228136521189	2
PWY-5647	1.7777199145082179	7
PWY-5651	1.8866699802902576	4
PWY-5654	3.2700878311904553	11
PWY-5655	2.18929757853419	7
PWY-5656	4.043109099588099	5
PWY-5659	5.807731590385894	31
PWY-5667	6.928150636014147	29
PWY-5676	5.958396615700436	23
PWY-5677	0.18935101603081042	1
PWY-5686	6.088371294323551	33
PWY-5695	3.3866368582501183	37
PWY-5705	1.2439338276280247	7
PWY-5741	1.2573464800746672	8
PWY-5747	1.4020055532555644	5
PWY-5837	1.01500116348885	28
PWY-5838	0.9433785503472581	36
PWY-5840	0.7910542095690843	31
PWY-5845	3.3012325525105752	16
PWY-5850	3.3012325525105752	16
PWY-5855	11.47632122986386	57
PWY-5856	11.47632122986386	57
PWY-5857	11.47632122986386	57
PWY-5860	3.3714335497322128	13
PWY-5861	1.1567500378102187	37
PWY-5862	3.3714335497322128	13
PWY-5863	0.9763388167413907	28
PWY-5896	3.3012325525105752	16
PWY-5897	0.9089988786055934	35
PWY-5898	0.9089988786055934	35
PWY-5899	0.9089988786055934	35
PWY-5910	0.6606419341300135	6
PWY-5913	12.774551890109349	155
PWY-5918	2.3075000279824556	62
PWY-5920	4.4474129222984695	19
PWY-5941	0.5627836791019807	5
PWY-5971	2.810099561252224	6
PWY-5973	8.42772670982477	50
PWY-5989	5.1696678302371	10
PWY-6071	14.347990169909709	240
PWY-6107	2.5978193339046403	6
PWY-6121	6.071358296110083	33
PWY-6122	5.87408620973371	26
PWY-6123	6.176126125477065	34
PWY-6125	5.891583867238782	33
PWY-6126	6.105598489914284	37
PWY-6147	6.307914232469789	46
PWY-6151	5.96929000997838	41
PWY-6163	6.5393007528482245	32
PWY-6167	1.7102343225081487	1
PWY-6174	1.3375556058968394	0
PWY-6182	1.2987084713916843	5
PWY-6185	2.0446807948338868	5
PWY-621	0.25059419010503325	6
PWY-6210	1.7070627340855973	7
PWY-6263	6.8077607096172965	16
PWY-6269	2.682241028211066	8
PWY-6277	5.87408620973371	26
PWY-6282	5.549996742665682	10
PWY-6317	1.0887221463559615	75
PWY-6338	3.43529676516879	5
PWY-6339	2.385852107232128	2
PWY-6349	1.588396280748401	1
PWY-6350	1.7452670188005959	1
PWY-6353	0.24545789622090913	54
PWY-6383	1.371216698909143	18
PWY-6385	3.8729965637771224	38
PWY-6386	3.455361162777201	40
PWY-6387	4.624250225846246	65
PWY-6396	1.8824983328270843	9
PWY-6397	3.0336321226558485	6
PWY-6404	3.258921371926865	5
PWY-6467	11.059156858504851	37
PWY-6470	0.4906597026012869	5
PWY-6471	0.1642014662398031	4
PWY-6478	5.530385894961896	17
PWY-6505	1.89755750585522	7
PWY-6507	2.145325406301346	9
PWY-6519	1.4754692332693442	5
PWY-6545	6.011800198159664	12
PWY-6562	0.3554758149464705	4
PWY-6572	3.5049046474125998	3
PWY-6588	1.4392392550532116	9
PWY-6590	0.5538460605496506	5
PWY-6608	1.2849783730816131	127
PWY-6609	1.156909524706744	65
PWY-6612	7.896199574484521	50
PWY-6628	0.26756323324327375	6
PWY-6630	0.26618175749008083	6
