	W	Reject null hypothesis
PWY-1541	372	True
P162-PWY	365	True
PWY-5177	359	True
PWY-3661	358	True
PWY-6944	347	True
PWY-6992	329	False
PWY-7315	223	False
PWY-5862	204	False
PWY-5860	204	False
PWY-5845	191	False
PWY-5850	191	False
PWY-5896	191	False
PWY-6731	72	False
PWY-7374	46	False
NONMEVIPP-PWY	23	False
PWY-7560	23	False
POLYAMINSYN3-PWY	22	False
PWY-6737	21	False
PWY-6263	19	False
PWY-2221	18	False
PWY-5505	18	False
PWY-7371	18	False
HSERMETANA-PWY	17	False
GLYCOCAT-PWY	17	False
PWY-5154	17	False
GLYCOGENSYNTH-PWY	16	False
MET-SAM-PWY	15	False
HISDEG-PWY	15	False
CODH-PWY	15	False
PWY0-781	15	False
COMPLETE-ARO-PWY	15	False
ARO-PWY	15	False
PWY-7229	14	False
PWY-6317	14	False
P4-PWY	14	False
PWY-6897	14	False
PWY-6163	14	False
PWY-6126	14	False
PWY-5121	14	False
PWY-7219	14	False
PWY-7220	14	False
PWY-7222	14	False
DTDPRHAMSYN-PWY	14	False
RIBOSYN2-PWY	14	False
PWY-841	14	False
PWY-3001	14	False
PWY0-1261	14	False
PWY-7323	13	False
PWY-6478	13	False
DENITRIFICATION-PWY	13	False
PWY-6608	13	False
PWY-6609	13	False
PWY-5741	13	False
SO4ASSIM-PWY	13	False
PWY-7539	13	False
PWY-5347	13	False
PENTOSE-P-PWY	13	False
PWY-6901	13	False
PWY-5345	13	False
PWY-7392	13	False
SULFATE-CYS-PWY	13	False
PWY-6147	13	False
POLYISOPRENSYN-PWY	13	False
PWY-7196	13	False
SALVADEHYPOX-PWY	13	False
PWY-7200	13	False
PWY-6383	13	False
PWY0-1297	13	False
PWY-5101	13	False
PWY-7211	13	False
P23-PWY	13	False
PWY-6123	13	False
PWY-6353	13	False
SER-GLYSYN-PWY	12	False
PWY-5913	12	False
PWY-5189	12	False
PWY-5695	12	False
PWY-5686	12	False
PWY-5667	12	False
PWY-5659	12	False
PWY-5484	12	False
PWY-5989	12	False
PWY-5188	12	False
TCA	12	False
THRESYN-PWY	12	False
PWY-5100	12	False
PWY-5097	12	False
TRNA-CHARGING-PWY	12	False
PWY-3781	12	False
TRPSYN-PWY	12	False
PWY-5918	12	False
PWY0-1241	12	False
PWY-6071	12	False
PWY0-162	12	False
PWY-7400	12	False
PWY-7332	12	False
PWY-7328	12	False
PWY-7234	12	False
PWY-7228	12	False
PWY-7221	12	False
PWY-7208	12	False
PWY0-1319	12	False
PWY-7197	12	False
PWY-7187	12	False
PWY-7184	12	False
PWY-7007	12	False
PWY0-1586	12	False
PWY-6969	12	False
PWY0-166	12	False
REDCITCYC	12	False
PWY0-321	12	False
PWY1G-0	12	False
PWY-6703	12	False
PWY-6612	12	False
PWY4FS-7	12	False
PWY-6386	12	False
PWY-6385	12	False
PWY-6277	12	False
PWY4FS-8	12	False
PYRIDNUCSYN-PWY	12	False
PWY-6125	12	False
PWY-6122	12	False
PWY-6121	12	False
PWY-6107	12	False
PWY-2942	12	False
1CMET2-PWY	12	False
COA-PWY	12	False
ANAGLYCOLYSIS-PWY	12	False
CALVIN-PWY	12	False
OANTIGEN-PWY	12	False
PHOSLIPSYN-PWY	12	False
PANTO-PWY	12	False
GALACT-GLUCUROCAT-PWY	12	False
ARGSYNBSUB-PWY	12	False
ARGSYN-PWY	12	False
ARGORNPROST-PWY	12	False
PRPP-PWY	12	False
GLYCOLYSIS	12	False
NONOXIPENT-PWY	12	False
GLYCOLYSIS-E-D	12	False
COLANSYN-PWY	12	False
DAPLYSINESYN-PWY	12	False
