sample ID	forward sequence count	reverse sequence count
GP475	83957	83957
GP361	79512	79512
GP472	79367	79367
GP215	78849	78849
GP214	78516	78516
GP236	77969	77969
GP383	77866	77866
GP341	77834	77834
GP183	77810	77810
GP378	77372	77372
GP298	77133	77133
GP323	77128	77128
GP209	77100	77100
GP273	76212	76212
GP249	76154	76154
GP252	75487	75487
GP231	75477	75477
GP210	75440	75440
GP226	75344	75344
GP460	74966	74966
GP413	74675	74675
GP431	74532	74532
GP212	74524	74524
GP179	74339	74339
GP410	74336	74336
GP195	74110	74110
GP222	73794	73794
GP372	73755	73755
GP297	73152	73152
GP388	72607	72607
GP461	72194	72194
GP452	72000	72000
GP331	71402	71402
GP156	70950	70950
GP188	70716	70716
GP453	70446	70446
GP157	70431	70431
GP357	70023	70023
GP192	69918	69918
GP403	69729	69729
GP310	69407	69407
GP438	69157	69157
GP382	68970	68970
GP304	68198	68198
GP190	68122	68122
GP356	67964	67964
GP176	67935	67935
GP397	67648	67648
GP417	66844	66844
GP424	66837	66837
GP189	66798	66798
GP469	66779	66779
GP245	66747	66747
GP220	66739	66739
GP464	66705	66705
GP321	66702	66702
GP449	66685	66685
GP353	66676	66676
GP281	66664	66664
GP401	66653	66653
GP167	66610	66610
GP451	66605	66605
GP149	66604	66604
GP147	66585	66585
GP278	66563	66563
GP290	66550	66550
GP425	66550	66550
GP171	66541	66541
GP351	66537	66537
GP208	66532	66532
GP402	66531	66531
GP199	66525	66525
GP316	66519	66519
GP262	66505	66505
GP358	66500	66500
GP302	66493	66493
GP207	66492	66492
GP442	66476	66476
GP470	66457	66457
GP257	66432	66432
GP261	66397	66397
GP232	66347	66347
GP373	66341	66341
GP166	66325	66325
GP348	66297	66297
GP182	66242	66242
GP366	66240	66240
GP340	66235	66235
GP235	66221	66221
GP181	66204	66204
GP225	66174	66174
GP168	66158	66158
GP377	66153	66153
GP202	66151	66151
GP175	66118	66118
GP303	66086	66086
GP191	66050	66050
GP250	66026	66026
GP420	65981	65981
GP263	65975	65975
GP409	65973	65973
GP242	65941	65941
GP153	65865	65865
GP187	65845	65845
GP392	65835	65835
GP368	65811	65811
GP332	65797	65797
GP227	65797	65797
GP284	65791	65791
GP185	65761	65761
GP154	65753	65753
GP322	65713	65713
GP151	65699	65699
GP427	65690	65690
GP333	65684	65684
GP318	65673	65673
GP439	65639	65639
GP237	65611	65611
GP211	65607	65607
GP217	65607	65607
GP213	65591	65591
GP229	65583	65583
GP334	65577	65577
GP363	65568	65568
GP386	65567	65567
GP448	65561	65561
GP280	65561	65561
GP419	65549	65549
GP384	65537	65537
GP172	65487	65487
GP324	65486	65486
GP347	65410	65410
GP270	65403	65403
GP365	65402	65402
GP223	65394	65394
GP169	65383	65383
GP308	65380	65380
GP148	65346	65346
GP381	65299	65299
GP311	65277	65277
GP301	65258	65258
GP260	65239	65239
GP251	65214	65214
GP219	65214	65214
GP238	65209	65209
GP326	65181	65181
GP165	65177	65177
GP6710	65136	65136
GP275	65119	65119
GP177	65113	65113
GP441	65095	65095
GP164	65052	65052
GP224	65039	65039
GP163	65012	65012
GP376	64970	64970
GP440	64959	64959
GP450	64949	64949
GP243	64943	64943
GP404	64899	64899
GP221	64873	64873
GP319	64852	64852
GP218	64848	64848
GP350	64845	64845
GP272	64813	64813
GP240	64774	64774
GP446	64753	64753
GP380	64744	64744
GP277	64736	64736
GP203	64727	64727
GP436	64639	64639
GP216	64639	64639
GP314	64627	64627
GP342	64622	64622
GP463	64607	64607
GP467	64595	64595
GP391	64571	64571
GP161	64570	64570
GP306	64556	64556
GP385	64518	64518
GP299	64484	64484
GP186	64421	64421
GP198	64414	64414
GP395	64409	64409
GP421	64392	64392
GP405	64379	64379
GP426	64354	64354
GP412	64329	64329
GP256	64306	64306
GP264	64269	64269
GP230	64203	64203
GP283	64180	64180
GP266	64177	64177
GP371	64164	64164
GP455	64164	64164
GP375	64137	64137
GP294	64104	64104
GP354	64103	64103
GP677	64053	64053
GP285	64037	64037
GP344	64024	64024
GP248	64006	64006
GP466	63997	63997
GP193	63972	63972
GP194	63957	63957
GP197	63950	63950
GP200	63940	63940
GP434	63904	63904
GP174	63893	63893
GP387	63859	63859
GP430	63809	63809
GP274	63802	63802
GP364	63792	63792
GP433	63773	63773
GP443	63757	63757
GP418	63757	63757
GP239	63751	63751
GP305	63738	63738
GP178	63729	63729
GP282	63717	63717
GP457	63713	63713
GP337	63690	63690
GP254	63637	63637
GP394	63562	63562
GP246	63525	63525
GP184	63512	63512
GP406	63503	63503
GP447	63501	63501
GP155	63488	63488
GP162	63429	63429
GP369	63409	63409
