sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
GP148	65346	61091	93.49	55593	35514	54.35	32243	49.34
GP149	66604	62189	93.37	57392	39534	59.36	36335	54.55
GP150	62858	58801	93.55	53273	32524	51.74	29251	46.54
GP151	65699	61660	93.85	59367	52339	79.66	51173	77.89
GP152	62397	57239	91.73	53929	42101	67.47	40514	64.93
GP153	65865	60395	91.7	56250	43127	65.48	41395	62.85
GP154	65753	60214	91.58	52532	28882	43.92	24009	36.51
GP155	63488	58010	91.37	51186	31454	49.54	25750	40.56
GP156	70950	64914	91.49	59978	44363	62.53	42350	59.69
GP157	70431	64276	91.26	60104	46021	65.34	43970	62.43
GP158	59810	56619	94.66	52805	41212	68.9	39481	66.01
GP159	63150	59005	93.44	54339	40378	63.94	38299	60.65
GP160	63008	58178	92.33	55466	45777	72.65	44102	69.99
GP161	64570	59185	91.66	56084	46176	71.51	44655	69.16
GP162	63429	58420	92.1	55827	48246	76.06	46950	74.02
GP163	65012	60119	92.47	57377	49583	76.27	48273	74.25
GP164	65052	57465	88.34	54807	47182	72.53	46036	70.77
GP165	65177	57703	88.53	54967	46719	71.68	45404	69.66
GP166	66325	60727	91.56	59117	54237	81.77	53172	80.17
GP167	66610	60535	90.88	53591	30595	45.93	24726	37.12
GP168	66158	59913	90.56	56200	45917	69.41	37687	56.97
GP169	65383	59703	91.31	53156	32369	49.51	26149	39.99
GP170	62613	59064	94.33	56706	48522	77.5	46721	74.62
GP171	66541	60121	90.35	57550	49132	73.84	47613	71.55
GP172	65487	60555	92.47	57176	45427	69.37	43383	66.25
GP173	62567	57964	92.64	54183	42238	67.51	40077	64.05
GP174	63893	59683	93.41	56395	45909	71.85	44129	69.07
GP175	66118	62081	93.89	58982	49469	74.82	47831	72.34
GP176	67935	61565	90.62	58400	47270	69.58	45294	66.67
GP177	65113	59128	90.81	55699	43466	66.75	41481	63.71
GP178	63729	58027	91.05	54184	40689	63.85	38452	60.34
GP179	74339	68639	92.33	65065	52179	70.19	49592	66.71
GP180	62099	56315	90.69	53285	42449	68.36	40515	65.24
GP181	66204	59689	90.16	56912	47296	71.44	45888	69.31
GP182	66242	60097	90.72	56041	40756	61.53	38755	58.51
GP183	77810	71294	91.63	67752	54418	69.94	52406	67.35
GP184	63512	57583	90.66	54290	42367	66.71	40608	63.94
GP185	65761	60066	91.34	56935	45310	68.9	43769	66.56
GP186	64421	59949	93.06	56343	42307	65.67	39950	62.01
GP187	65845	61358	93.19	57547	43281	65.73	40298	61.2
GP188	70716	66677	94.29	62452	47694	67.44	44593	63.06
GP189	66798	62784	93.99	58900	45035	67.42	42526	63.66
GP190	68122	61631	90.47	57899	43564	63.95	41341	60.69
GP191	66050	59802	90.54	56623	44652	67.6	42872	64.91
GP192	69918	62943	90.02	59801	48751	69.73	46306	66.23
GP193	63972	57840	90.41	54502	42642	66.66	40965	64.04
GP194	63957	57377	89.71	53439	39232	61.34	37016	57.88
GP195	74110	67581	91.19	63368	48436	65.36	45930	61.98
GP196	62279	58496	93.93	55111	42873	68.84	40756	65.44
GP197	63950	59103	92.42	55587	42545	66.53	40216	62.89
