	W	Reject null hypothesis
PWY-5265	370	True
CRNFORCAT-PWY	343	True
PWY-7003	341	True
GOLPDLCAT-PWY	300	False
PWY0-321	244	False
PWY-6071	232	False
PWY0-1533	186	False
PWY-6353	128	False
PWY-6608	121	False
PWY-7200	113	False
SALVADEHYPOX-PWY	97	False
ANAEROFRUCAT-PWY	83	False
PWY0-1586	72	False
PWY-7199	65	False
PWY-5918	64	False
HEME-BIOSYNTHESIS-II	63	False
PWY-6609	57	False
VALSYN-PWY	57	False
ILEUSYN-PWY	57	False
UDPNAGSYN-PWY	56	False
GLYCOLYSIS-E-D	51	False
PWY0-42	50	False
ASPASN-PWY	50	False
PWY-7196	46	False
PWY-6387	45	False
PEPTIDOGLYCANSYN-PWY	41	False
FERMENTATION-PWY	40	False
PWY-5101	40	False
PWY-5747	38	False
PWY0-1297	37	False
PWY-7111	36	False
PWY-7431	35	False
PWY-5913	34	False
REDCITCYC	31	False
PANTOSYN-PWY	30	False
PWY-7234	29	False
PWY-7211	29	False
PWY0-1296	28	False
PWY-2942	28	False
PANTO-PWY	28	False
SULFATE-CYS-PWY	28	False
PWY-5097	26	False
PWY-7539	26	False
GLUCONEO-PWY	25	False
PWY-6386	25	False
BRANCHED-CHAIN-AA-SYN-PWY	24	False
PWY0-166	24	False
PWY-5345	23	False
GLYCOLYSIS	23	False
SER-GLYSYN-PWY	22	False
PWY-5103	22	False
PHOSLIPSYN-PWY	22	False
PWY-6147	22	False
PWY-6737	22	False
SO4ASSIM-PWY	22	False
PWY-5695	21	False
PWY-5188	21	False
PWY4FS-7	21	False
PWY-7229	21	False
PWY4FS-8	21	False
PWY-6385	21	False
GLYCOCAT-PWY	21	False
PWY-7184	21	False
PWY-7222	21	False
PWY-7220	21	False
PWY-6125	20	False
PWY-6121	20	False
PWY0-1319	20	False
PWY-7228	20	False
PWY-6892	20	False
TEICHOICACID-PWY	20	False
PWY-5022	20	False
PWY-5667	20	False
PWY-6123	20	False
PWY0-781	19	False
PWY-5484	19	False
COLANSYN-PWY	19	False
PWY-7560	19	False
TCA	19	False
PWY-5100	19	False
PWY-7219	19	False
NONOXIPENT-PWY	19	False
NONMEVIPP-PWY	19	False
PWY-7046	19	False
PWY-3001	19	False
PWY-6126	19	False
DAPLYSINESYN-PWY	19	False
PWY-6163	19	False
PWY-3781	18	False
PWY-6151	18	False
PWY-5121	18	False
PWY-5686	18	False
PWY-841	18	False
RIBOSYN2-PWY	18	False
PWY-6122	18	False
PWY-6969	18	False
PWY-6277	18	False
PWY-5189	17	False
PWY-7221	17	False
THISYN-PWY	17	False
PWY-7663	17	False
1CMET2-PWY	17	False
HISDEG-PWY	17	False
GLYCOGENSYNTH-PWY	17	False
HISTSYN-PWY	17	False
FASYN-ELONG-PWY	17	False
P4-PWY	17	False
ARO-PWY	17	False
COMPLETE-ARO-PWY	17	False
CALVIN-PWY	16	False
RHAMCAT-PWY	16	False
ARGSYN-PWY	16	False
PWY-7400	16	False
UBISYN-PWY	16	False
PWY-6708	16	False
PWY-5855	16	False
PWY-5857	16	False
PWY-5856	16	False
GLUTORN-PWY	16	False
FOLSYN-PWY	16	False
PWY-5973	15	False
PWY-7392	15	False
ARGSYNBSUB-PWY	15	False
THRESYN-PWY	15	False
P105-PWY	15	False
ANAGLYCOLYSIS-PWY	15	False
PWY-5347	15	False
PENTOSE-P-PWY	14	False
PWY-5154	14	False
PWY0-162	14	False
PWY-6545	14	False
PWY-7208	14	False
GLYOXYLATE-BYPASS	14	False
PWY-6700	14	False
PWY-5415	14	False
MET-SAM-PWY	14	False
TRPSYN-PWY	14	False
