id	clr	W
1CMET2-PWY	1.7823324536665317	17
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.38996447195493894	3
AEROBACTINSYN-PWY	0.34975716355025444	1
ALL-CHORISMATE-PWY	0.21823234942567354	3
ANAEROFRUCAT-PWY	0.5223487822068342	83
ANAGLYCOLYSIS-PWY	0.9655958266537223	15
ARG+POLYAMINE-SYN	0.5105457121967997	12
ARGORNPROST-PWY	2.53818795330616	12
ARGSYN-PWY	1.122533808234675	16
ARGSYNBSUB-PWY	1.0282526194627788	15
ARO-PWY	1.273210995634319	17
ASPASN-PWY	3.5376070830213324	50
AST-PWY	0.577439984017975	3
BIOTIN-BIOSYNTHESIS-PWY	1.6520568281410415	6
BRANCHED-CHAIN-AA-SYN-PWY	1.873251059421337	24
CALVIN-PWY	0.862817292401024	16
CATECHOL-ORTHO-CLEAVAGE-PWY	0.9021474490637454	3
CENTBENZCOA-PWY	0.24004677722452616	1
CENTFERM-PWY	1.1402456809813442	4
CHLOROPHYLL-SYN	1.2560594338138933	0
COA-PWY	1.168161514581437	13
COBALSYN-PWY	1.7000037662064886	8
CODH-PWY	1.7584952794676436	5
COLANSYN-PWY	2.230536390669328	19
COMPLETE-ARO-PWY	1.2532939407453274	17
CRNFORCAT-PWY	11.439814881830035	343
DAPLYSINESYN-PWY	1.5928088487640257	19
DENITRIFICATION-PWY	0.3031738914836874	3
DENOVOPURINE2-PWY	0.3432164312702373	6
DTDPRHAMSYN-PWY	1.1406387797003332	9
ENTBACSYN-PWY	0.5243827303628934	3
FAO-PWY	1.1133118959679398	7
FASYN-ELONG-PWY	1.6699797835036247	17
FASYN-INITIAL-PWY	2.023221735442486	8
FERMENTATION-PWY	3.7249982087744704	40
FOLSYN-PWY	1.3208190206296235	16
FUC-RHAMCAT-PWY	1.9983960043140927	0
FUCCAT-PWY	1.1624320558444274	1
GALACT-GLUCUROCAT-PWY	1.5943603517638727	6
GALACTARDEG-PWY	1.3846680789352936	5
GALACTUROCAT-PWY	0.9882080578556007	7
GALLATE-DEGRADATION-I-PWY	2.2564736519413646	5
GALLATE-DEGRADATION-II-PWY	1.2490939166682122	0
GLCMANNANAUT-PWY	0.2969111888140651	4
GLUCARDEG-PWY	2.2913812796749276	7
GLUCARGALACTSUPER-PWY	1.3846680789352936	5
GLUCONEO-PWY	0.8099607272644616	25
GLUCOSE1PMETAB-PWY	1.112081112562372	8
GLUCUROCAT-PWY	1.3003063935251304	7
GLUTORN-PWY	1.1528926257606191	16
GLYCOCAT-PWY	1.827284491695674	21
GLYCOGENSYNTH-PWY	0.9850156444681138	17
GLYCOL-GLYOXDEG-PWY	2.1225261068561463	0
GLYCOLYSIS	0.6656321071450784	23
GLYCOLYSIS-E-D	0.5957021970005935	51
GLYCOLYSIS-TCA-GLYOX-BYPASS	1.4293145738113868	10
GLYOXYLATE-BYPASS	1.678757750343141	14
GOLPDLCAT-PWY	5.973297417213456	300
HCAMHPDEG-PWY	3.903397742297136	10
HEME-BIOSYNTHESIS-II	0.5772605062631369	63
HEMESYN2-PWY	0.7071414533017019	11
HEXITOLDEGSUPER-PWY	2.101763872304621	11
HISDEG-PWY	0.5084849262641467	17
HISTSYN-PWY	1.1616401262263532	17
HOMOSER-METSYN-PWY	0.8870008967743879	9
HSERMETANA-PWY	2.042431454328213	8
ILEUSYN-PWY	2.706155065874718	57
KDO-NAGLIPASYN-PWY	1.238648210763524	0
KETOGLUCONMET-PWY	1.3296411879498928	3
LEU-DEG2-PWY	1.245149899338185	12
LIPASYN-PWY	1.2185619808714692	0
MET-SAM-PWY	0.864752694118376	14
METH-ACETATE-PWY	0.33199764256705727	2
METHANOGENESIS-PWY	1.3776074062033739	0
METHGLYUT-PWY	0.45440564185082666	0
METHYLGALLATE-DEGRADATION-PWY	2.3137386868531826	5
NAD-BIOSYNTHESIS-II	0.05549254913304724	4
NADSYN-PWY	0.48743802672489384	3
NAGLIPASYN-PWY	3.508058485357155	12
NONMEVIPP-PWY	1.2544083658669287	19
NONOXIPENT-PWY	0.6650287708211723	19
OANTIGEN-PWY	1.1037070153101851	13
P101-PWY	1.5949594674881962	5
P105-PWY	1.726811559192709	15
P108-PWY	1.0074789431490199	10
P122-PWY	1.77398837695074	7
P124-PWY	0.8008900630453212	7
P125-PWY	1.160618933355391	4
P161-PWY	0.8863686299705843	6
P162-PWY	1.1194554769523593	0
P163-PWY	1.1077853922886696	2
P164-PWY	0.27300879832006464	1
P184-PWY	1.8629304086755443	2
P221-PWY	2.6632972097048015	10
P23-PWY	0.5810410390765376	7
P241-PWY	1.1224008502336313	2
P261-PWY	0.19033284094453073	4
P281-PWY	0.8285453442126232	6
P341-PWY	0.2768297537009924	0
P381-PWY	0.62086962243207	6
P4-PWY	1.4451006708147003	17
P42-PWY	0.36987608859226206	7
P441-PWY	0.3386357920615301	4
P461-PWY	2.452639422715478	11
P562-PWY	1.4837841102118434	5
P621-PWY	1.4748609096451406	5
PANTO-PWY	1.8821074848876267	28
PANTOSYN-PWY	1.5813036351004	30
PENTOSE-P-PWY	0.7874047530355586	14
PEPTIDOGLYCANSYN-PWY	0.7874851526365922	41
PHOSLIPSYN-PWY	1.1531337948648985	22
POLYAMINSYN3-PWY	0.36452324829510985	7
POLYAMSYN-PWY	0.6981139392684776	9
POLYISOPRENSYN-PWY	1.4927806197540607	10
PPGPPMET-PWY	2.8086714757849776	10
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	2.49195573933369	10
PRPP-PWY	0.1898680565304448	8
PWY-1269	2.392208369091884	8
PWY-1361	0.9168744388443937	0
PWY-1501	2.262976409200922	7
PWY-1541	0.3372671492508665	0
PWY-1622	2.422749920556496	9
PWY-181	1.814758933882221	8
PWY-1861	1.1978001094705144	5
PWY-1882	0.5408529623201727	1
PWY-2221	0.4167583743513566	4
PWY-2941	1.1468380883514393	5
PWY-2942	1.4396262655835805	28
PWY-3001	1.1791057502877702	19
PWY-3661	0.5440516042744443	1
PWY-3781	1.2974501786784718	18
PWY-3801	1.103870258679335	0
PWY-3941	1.0294218215751307	5
PWY-4361	0.6762315691407994	4
PWY-4984	0.4359624175709246	7
PWY-5005	3.014178023012566	3
PWY-5022	1.1607979325940498	20
PWY-5028	1.7683257621850796	6
PWY-5088	0.677604563205398	0
PWY-5097	1.4402588658973106	26
PWY-5100	1.8891778678426003	19
PWY-5101	2.363029329557199	40
PWY-5103	1.6964701597589324	22
PWY-5104	0.5383397263521101	3
