	W	Reject null hypothesis
PWY-5265	396	True
PWY-1541	368	True
PWY-3661	365	True
PWY-6892	355	False
THISYN-PWY	337	False
PWY-7046	320	False
PWY-6992	314	False
CRNFORCAT-PWY	310	False
PWY-5499	288	False
PWY-7098	256	False
PWY-6338	253	False
PWY-7097	253	False
ALL-CHORISMATE-PWY	246	False
PWY-6071	222	False
PWY-7315	210	False
PWY-5845	192	False
PWY-5850	192	False
PWY-5860	192	False
PWY-5896	192	False
PWY-5862	192	False
GALACT-GLUCUROCAT-PWY	149	False
PWY0-321	143	False
HISDEG-PWY	133	False
SULFATE-CYS-PWY	125	False
PWY-1622	111	False
PWY-5695	98	False
PWY-5913	89	False
PWY0-1533	71	False
SO4ASSIM-PWY	71	False
HOMOSER-METSYN-PWY	67	False
GLCMANNANAUT-PWY	67	False
PWY0-42	66	False
PWY-6387	65	False
PWY-6737	63	False
P441-PWY	63	False
PWY-7560	59	False
PWY-5676	59	False
SALVADEHYPOX-PWY	59	False
NONMEVIPP-PWY	59	False
PEPTIDOGLYCANSYN-PWY	58	False
PWY490-3	56	False
PWY-7200	55	False
PWY-5345	54	False
PANTOSYN-PWY	52	False
UDPNAGSYN-PWY	51	False
ANAEROFRUCAT-PWY	49	False
PWY-7234	49	False
PANTO-PWY	48	False
NAGLIPASYN-PWY	48	False
PWY-6630	46	False
PWY-6628	46	False
POLYAMINSYN3-PWY	46	False
FAO-PWY	45	False
GLYCOGENSYNTH-PWY	44	False
SER-GLYSYN-PWY	44	False
PWY-6151	44	False
HEMESYN2-PWY	44	False
PWY-6608	43	False
GLYCOLYSIS-E-D	43	False
PWY-7094	43	False
MET-SAM-PWY	42	False
PWY-7539	42	False
PWY-5505	42	False
PWY-3001	40	False
PWY-5918	39	False
PWY-2942	39	False
PWY-5121	39	False
PWY-6147	37	False
TYRFUMCAT-PWY	36	False
PWY-6901	36	False
GLYCOCAT-PWY	36	False
PWY-7211	36	False
FERMENTATION-PWY	36	False
THRESYN-PWY	35	False
PWY-5747	35	False
PWY-5973	35	False
PWY-5097	35	False
TRNA-CHARGING-PWY	34	False
ANAGLYCOLYSIS-PWY	34	False
PWY-7663	33	False
ARO-PWY	33	False
PWY-7199	33	False
PWY-722	33	False
FASYN-ELONG-PWY	33	False
PWY-7229	33	False
COMPLETE-ARO-PWY	33	False
PWY-6263	33	False
PWY-5347	32	False
PWY0-1241	32	False
PWY-7371	32	False
PWY-7111	31	False
PWY-5100	31	False
PWY-7220	31	False
PWY-7222	31	False
1CMET2-PWY	31	False
GLUCONEO-PWY	31	False
CALVIN-PWY	31	False
HEME-BIOSYNTHESIS-II	31	False
PWY0-781	30	False
PWY0-166	30	False
PWY-6126	30	False
PWY-7400	30	False
TCA	30	False
GLUCARDEG-PWY	30	False
PWY-5189	30	False
PWY-6700	30	False
PWY-5022	30	False
ARGSYN-PWY	30	False
PWY-6969	30	False
PWY-6125	29	False
PWY-7221	29	False
NONOXIPENT-PWY	29	False
GLYCOLYSIS	29	False
PWY-841	29	False
PWY-7184	29	False
P4-PWY	29	False
PWY-5857	28	False
PWY-5856	28	False
PWY-7228	28	False
PWY-5419	28	False
PWY-5855	28	False
PWY-7219	28	False
UBISYN-PWY	28	False
P105-PWY	28	False
PWY-6708	28	False
PWY0-1261	27	False
PWY-5420	27	False
RIBOSYN2-PWY	27	False
PWY-6163	27	False
PWY-6385	27	False
PWY-6386	27	False
GLYCOLYSIS-TCA-GLYOX-BYPASS	27	False
PWY-6467	27	False
PENTOSE-P-PWY	27	False
FOLSYN-PWY	27	False
PWY-7208	27	False
PWY-5101	27	False
ILEUSYN-PWY	26	False
COLANSYN-PWY	26	False
DAPLYSINESYN-PWY	26	False
PWY-7197	26	False
PWY-6612	26	False
VALSYN-PWY	26	False
PWY-1269	26	False
