id	clr	W
1CMET2-PWY	12.065053710175322	31
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.2682604805781572	15
AEROBACTINSYN-PWY	7.3147095940225455	8
ALL-CHORISMATE-PWY	13.15175010119988	246
ANAEROFRUCAT-PWY	2.3918982814556053	49
ANAGLYCOLYSIS-PWY	6.939876338877457	34
ARG+POLYAMINE-SYN	2.691055719042573	18
ARGORNPROST-PWY	0.8578599544104946	17
ARGSYN-PWY	6.5657881832746785	30
ARGSYNBSUB-PWY	5.997308838094007	25
ARO-PWY	6.619146345330343	33
ASPASN-PWY	0.060941981960339446	11
AST-PWY	5.329711404603822	5
BIOTIN-BIOSYNTHESIS-PWY	0.06938919369795955	18
BRANCHED-CHAIN-AA-SYN-PWY	5.423821698722534	25
CALVIN-PWY	6.4257848724138995	31
CATECHOL-ORTHO-CLEAVAGE-PWY	0.10704105844991317	11
CENTBENZCOA-PWY	6.222533386620153	22
CENTFERM-PWY	1.6221852963554058	9
CHLOROPHYLL-SYN	0.2056362870993314	1
COA-PWY	5.768523344952984	23
COBALSYN-PWY	6.49650015539387	24
CODH-PWY	0.16243031934369392	7
COLANSYN-PWY	6.491933963611874	26
COMPLETE-ARO-PWY	6.638978980059014	33
CRNFORCAT-PWY	12.687560190703413	310
DAPLYSINESYN-PWY	5.415659827901433	26
DENITRIFICATION-PWY	4.018560742115142	13
DENOVOPURINE2-PWY	3.2414448970459615	12
DTDPRHAMSYN-PWY	6.063433512368366	22
ENTBACSYN-PWY	2.920378300009017	8
FAO-PWY	1.8634405867929835	45
FASYN-ELONG-PWY	9.622559786375742	33
FASYN-INITIAL-PWY	0.570580964744468	20
FERMENTATION-PWY	10.82931821789454	36
FOLSYN-PWY	9.49267072420295	27
FUC-RHAMCAT-PWY	2.756087599970142	1
FUCCAT-PWY	1.037915682874881	3
GALACT-GLUCUROCAT-PWY	3.347659542632353	149
GALACTARDEG-PWY	5.1793140172362815	18
GALACTUROCAT-PWY	4.524537477489809	16
GALLATE-DEGRADATION-I-PWY	3.768620908480602	5
GALLATE-DEGRADATION-II-PWY	3.3112041390324407	7
GLCMANNANAUT-PWY	11.277921621694585	67
GLUCARDEG-PWY	10.054763553013435	30
GLUCARGALACTSUPER-PWY	5.1793140172362815	18
GLUCONEO-PWY	4.911473367543076	31
GLUCOSE1PMETAB-PWY	0.4469048451070962	9
GLUCUROCAT-PWY	0.7337662205883743	12
GLUTORN-PWY	5.222504813407206	23
GLYCOCAT-PWY	9.501249421584333	36
