	W	Reject null hypothesis
P621-PWY	226	True
VALDEG-PWY	176	False
PWY490-3	163	False
PWY-6876	143	False
PWY-7374	130	False
PWY-3941	98	False
PWY-6107	59	False
PWY-6919	44	False
PWY-6915	26	False
P341-PWY	22	False
PWY-6396	20	False
PWY-5088	16	False
PWY-5971	15	False
PWY-5028	12	False
P221-PWY	11	False
PWY-5180	10	False
HOMOSER-METSYN-PWY	10	False
PWY-6901	10	False
PWY-5182	10	False
PWY-5920	9	False
PWY0-1415	9	False
PWY-5845	9	False
PWY-5850	9	False
PWY-5896	9	False
PWY-5862	8	False
PWY-5913	8	False
PWY-5860	8	False
PWY-5705	8	False
PWY-6123	7	False
HSERMETANA-PWY	7	False
P4-PWY	7	False
MET-SAM-PWY	7	False
PWY-6147	7	False
P122-PWY	7	False
PWY-6282	7	False
FERMENTATION-PWY	7	False
PWY-7211	7	False
PWY0-862	7	False
PWY-7539	7	False
PWY-7328	7	False
PWY-7234	7	False
PWY-7228	7	False
CODH-PWY	7	False
PWY-7431	7	False
DAPLYSINESYN-PWY	7	False
PWY-7220	6	False
PWY-6969	6	False
TRPSYN-PWY	6	False
SULFATE-CYS-PWY	6	False
SO4ASSIM-PWY	6	False
PYRIDNUCSAL-PWY	6	False
PWYG-321	6	False
PANTOSYN-PWY	6	False
PWY-6737	6	False
PWY0-781	6	False
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	6	False
PWY-2942	6	False
PWY0-1319	6	False
PWY0-1297	6	False
PWY-5097	6	False
PWY-7184	6	False
PWY-5101	6	False
PWY-5103	6	False
PWY-5154	6	False
PWY-6545	6	False
PWY-5188	6	False
PWY-5347	6	False
PWY-5667	6	False
PWY-7323	6	False
PWY-5989	6	False
PWY-5973	6	False
PWY-7222	6	False
P125-PWY	6	False
1CMET2-PWY	6	False
VALSYN-PWY	6	False
COBALSYN-PWY	6	False
BRANCHED-CHAIN-AA-SYN-PWY	6	False
ILEUSYN-PWY	6	False
GLYCOCAT-PWY	6	False
FASYN-INITIAL-PWY	6	False
COLANSYN-PWY	6	False
PWY4FS-7	5	False
PWY0-162	5	False
PWY-5857	5	False
PWY-5856	5	False
PWY-5855	5	False
PWY-5686	5	False
PWY-5022	5	False
PWY4FS-8	5	False
GLYOXYLATE-BYPASS	5	False
PWY0-1533	5	False
PWY0-166	5	False
PWY-5415	5	False
PWY-5345	5	False
PWY-7664	5	False
ARO-PWY	5	False
PWY-5189	5	False
ARGSYN-PWY	5	False
GLYCOLYSIS-TCA-GLYOX-BYPASS	5	False
PWY-5121	5	False
PWY-841	5	False
PWY-6122	5	False
PWY-6121	5	False
PWY-3001	5	False
COMPLETE-ARO-PWY	5	False
PWY-7219	5	False
PWY-7111	5	False
PWY-7221	5	False
PWY-7229	5	False
PWY-6708	5	False
PWY-6700	5	False
PWY-6612	5	False
PWY-6588	5	False
FOLSYN-PWY	5	False
PWY-7392	5	False
