id	clr	W
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;__	0.03822189141931309	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	0.3210964066355344	1
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0.33163278310478084	1
k__Bacteria;__;__;__;__;__	-0.09192603009743916	0
k__Bacteria;p__;c__;o__;f__;g__	0.02300134630887829	0
k__Bacteria;p__Acidobacteria;__;__;__;__	0.010463716484244268	2
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	0.03781494489661008	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	-0.5382710727533235	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;__;__;__	-0.619985347800978	4
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	-0.34116623930242973	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	-0.15995192296658955	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	-0.05236873893731264	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	-0.670502514362759	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	-0.33055052494432324	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;__;__	0.1947348897852672	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__	0.21677009745320042	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidicapsa	-0.06493792150476307	2
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidopila	0.3286780046921123	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter	0.08474065496792316	1
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella	-0.020925206049130285	2
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Telmatobacter	0.18835412177478783	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	-0.09528967160618207	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;__	0.002244228699907813	2
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__	0.5782936156506928	3
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter	0.18686570099572475	0
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__	0.13872869220252093	0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	0.372406907468611	0
k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__;g__	0.01301909779506416	2
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga	-0.020925206049130285	2
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__	-0.26034797771787965	0
k__Bacteria;p__Acidobacteria;c__RB25;o__;f__;g__	-0.36311556220049024	0
k__Bacteria;p__Acidobacteria;c__S035;o__;f__;g__	0.03102207769432111	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;__;__	0.4712156637016819	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	-0.2506376854997612	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__AKIW659;g__	0.09376999103162209	1
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PK34;g__	-0.1503731517738221	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	0.40108134694497727	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__	0.09754977102252799	0
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__	-0.36750231117445065	0
k__Bacteria;p__Acidobacteria;c__TM1;o__;f__;g__	0.02609861741145658	1
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24;f__;g__	-0.0021358138146302386	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100;f__;g__	0.0048464037213608036	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29;f__;g__	0.5039547531333952	2
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__	0.6530346401846592	3
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__	-0.02628842581020377	0
k__Bacteria;p__Acidobacteria;c__iii1-8;__;__;__	0.07014563714603772	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__	0.02741105568584734	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__;f__;g__	-0.009340488674611125	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__	-0.07656389317004686	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36;f__;g__	0.14568734304562536	1
k__Bacteria;p__Actinobacteria;__;__;__;__	-0.13004936486085494	2
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;__;__	0.20079744332541238	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	-0.6728600836137062	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__	-0.4087741925457671	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;__	0.022048433858763428	2
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__Ilumatobacter	-0.21433775849186798	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__	-0.22578307377114903	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;__	0.11612957750129771	2
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__	0.12008196088603623	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	-0.5210133035093625	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__	-0.6611183227345717	12
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__koll13;g__	-0.4389713901344588	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__koll13;g__mixed	-0.6333066712876283	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;__;__;__	-0.20914726633176223	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	0.047498563360109713	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae;g__Actinospica	0.030974379126817997	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;__	0.23958913683019012	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Kutzneria	-0.009340488674611347	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Lentzea	-0.17075357773756494	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Umezawaea	0.002244228699907813	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas	0.021253666720298214	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	-0.04773291000892821	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__	0.5834272312529563	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Actinomycetales	0.40857385163848475	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Kaistibacter	0.155481813186769	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;__	-0.035520223871015943	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Actinotelluria	-0.16970961217872127	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Blastococcus	-1.0045317042822075	70
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae;g__Glycomyces	-0.004131301337640947	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;__	-0.8373563953979226	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Oryzihumus	0.3775860585061118	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Tetrasphaera	-0.8159777386489627	183
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;__	0.26764976343996716	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Kineosporia	-0.15043924668975542	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__	-0.530186320175182	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces	0.02890472951186096	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Frondihabitans	-0.23356724153988562	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Herbiconiux	-0.14540702012440931	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia	-0.48047253200916556	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Nocardia	0.07396578587276659	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter	-0.7170770335072283	7
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus	-0.11485616518538788	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;__	0.1711839571569742	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Actinoplanes	0.2209256413006502	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Catenuloplanes	0.046609280054030644	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Dactylosporangium	-0.012934700159874302	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Micromonospora	-0.23745300784146717	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Phytohabitans	0.36372184751613956	4
