Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	AboveMedian	AboveMedian	AboveMedian	AboveMedian	AboveMedian	BelowMedian	BelowMedian	BelowMedian	BelowMedian	BelowMedian
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	1.0	1.0	1.0	1.0	1081.0	1.0	1.0	1.0	4.5	2227.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__	125.0	397.0	527.0	916.5	1822.0	270.0	530.5	598.0	783.0	2313.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__	20.0	452.0	649.0	895.0	2040.0	41.0	487.5	588.0	798.0	1314.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__	126.0	213.5	238.0	304.5	663.0	118.0	152.5	194.0	228.0	449.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__	32.0	129.5	171.0	244.0	362.0	47.0	112.0	135.0	171.5	345.0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__	1.0	72.0	111.0	150.0	258.0	6.0	98.5	122.0	155.0	267.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	168.0	319.0	358.0	488.5	691.0	213.0	305.0	368.0	444.5	737.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__	4.0	73.0	98.0	146.0	314.0	4.0	79.5	94.0	109.0	199.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	191.0	259.5	362.0	445.0	658.0	133.0	205.0	239.0	301.0	490.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	117.0	282.0	327.0	416.5	506.0	87.0	297.0	399.0	448.5	566.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Microlunatus	1.0	88.5	137.0	185.5	242.0	13.0	117.0	158.0	176.5	315.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;__	63.0	97.5	138.0	158.0	214.0	29.0	100.0	119.0	145.5	225.0
