#SampleID	Age_binary
#q2:types	categorical
Whitelands_2018_19_	BelowMedian
Castle_Field_West__W_	AboveMedian
Toposcope_Field_-_1980s	AboveMedian
Bradenham_post-1986_b	AboveMedian
Lardon_Chase_The_Holies_motorcycle	BelowMedian
Stonehenge_2000_2017a	AboveMedian
Stonehenge_2003_2017b	AboveMedian
Stonehenge_2009	BelowMedian
Stonehenge_2007_2016	BelowMedian
Stonehenge_2005	AboveMedian
Stonehenge_2002_2017	AboveMedian
Stonehenge_2010	BelowMedian
Stonehenge_2011	BelowMedian
Stonehenge_-_Luxenborough_BankB	AboveMedian
Watlington_natural_reversion	AboveMedian
St_Catherines_A3	AboveMedian
HARLEY_FARMS_Chittern	BelowMedian
HARLEY_FARMS_New1	BelowMedian
HARLEY_FARMS_new2b	BelowMedian
WINDMILL_farm	AboveMedian
DRUIDS	AboveMedian
Stratton_Wood	AboveMedian
WESTMEAD_FARM	AboveMedian
RSPB_orig_green	AboveMedian
RSPB_churchil	BelowMedian
RSPB_junction	BelowMedian
RSPB_Mainline	BelowMedian
Baltic_farm_1	AboveMedian
Baltic_farm_2	AboveMedian
WestEndFarm	BelowMedian
HorntonHouseFarm_1_parallel	BelowMedian
TownsendFarm_1	BelowMedian
TownsendFarm_2	BelowMedian
TownsendFarm_3_big	BelowMedian
ChurchFarm	BelowMedian
StowellFarms_1_adj	BelowMedian
MannorFmAltonBarnes	BelowMedian
HommingtonFarm	BelowMedian
ThropeManor_1	AboveMedian
ThropeManor_2	AboveMedian
ThropeManor_3	AboveMedian
MannorFmBroadChalke	BelowMedian
BigleyFm_1	BelowMedian
BigleyFm_2	BelowMedian
NorringtonMannorFm_1	BelowMedian
NorringtonMannorFm_2	BelowMedian
ManorFmBerwickStJohn_1	BelowMedian
ManorFmBerwickStJohn_3	BelowMedian
Jemma_1	BelowMedian
Jemma_2	BelowMedian
Jemma_7	BelowMedian
Jemma_4	BelowMedian
Jemma_5	BelowMedian
Jemma_6	BelowMedian
Jemma_9	BelowMedian
HomeFarm_WoodlandTrust_Hampshire_good_1c	AboveMedian
Crux_easton_70b1	AboveMedian
Crux_easton_70b2	AboveMedian
Martin_Down_arabel_reversion	AboveMedian
Parsonage_down_reversion	AboveMedian
TARGET_MartinDown	AboveMedian
TARGET_St_Catherines	AboveMedian
TARGET_ParsonageDown	AboveMedian
TARGET_KNEPP_A_New_Barn_Field	AboveMedian
Knepp_Pond_field	AboveMedian
Knepp_Benton_field	AboveMedian
