id	clr	W
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;__	4.045162993172005	7
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	3.6805409930112702	8
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	2.5980711928042606	6
k__Bacteria;__;__;__;__;__	1.0119263190070518	1
k__Bacteria;p__;c__;o__;f__;g__	0.8814748927092636	1
k__Bacteria;p__Acidobacteria;__;__;__;__	1.115661454414649	5
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	0.7499359927396418	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	1.7443553725916818	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;__;__;__	1.0376290945314661	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	0.39941827078167796	2
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	0.7931886637828159	2
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0.5625281734004214	4
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	0.2083041673716191	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	0.07742754227394834	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;__;__	0.9246361884832595	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__	0.9095931715210289	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidicapsa	0.9024892339304089	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidopila	0.43622513531536866	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter	0.6368877469496785	1
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella	0.7506489485551642	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Telmatobacter	0.7813221124871927	1
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	1.0482839106442117	1
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;__	0.8488818726852471	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__	0.5211154241264979	1
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter	1.1159260820404626	0
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__	0.6262088582215536	0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	0.48764235314610893	0
k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__;g__	1.147879209101278	1
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga	0.984958574330397	2
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__	1.294929556148517	3
k__Bacteria;p__Acidobacteria;c__RB25;o__;f__;g__	0.6363171504119789	0
k__Bacteria;p__Acidobacteria;c__S035;o__;f__;g__	0.7554444018434519	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;__;__	0.48547756931191827	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	3.531956389859544	2
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PK34;g__	0.3038188290736465	0
