	W	Reject null hypothesis
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	0	False
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;__	0	False
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__B97;f__;g__	0	False
k__Bacteria;p__Planctomycetes;c__C6;o__MVS-107;f__;g__	0	False
k__Bacteria;p__Chloroflexi;c__TK17;o__;f__;g__	0	False
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Azoarcus	0	False
k__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__	0	False
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__;g__	0	False
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Psychrobacillus	0	False
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__	0	False
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;__;__	0	False
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__;f__;g__	0	False
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax	0	False
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Nocardia	0	False
k__Bacteria;p__Chloroflexi;c__TK17;o__mle1-48;f__;g__	0	False
k__Bacteria;p__Chloroflexi;c__C0119;o__;f__;g__	0	False
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__S0208;f__;g__	0	False
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0	False
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__FAC88;f__;g__	0	False
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;__	0	False
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Rickettsiella	0	False
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2;o__;f__;g__	0	False
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Leptothrix	0	False
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas	0	False
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];__;__	0	False
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Luteolibacter	0	False
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodopila	0	False
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Filomicrobium	0	False
k__Bacteria;p__Planctomycetes;c__C6;o__d113;f__;g__	0	False
