Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	no	no	no	no	no	yes	yes	yes	yes	yes
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	1.0	1.0	1.0	2.25	2227.0	1.0	1.0	1.0	1.0	1550.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__	315.0	439.0	594.0	782.5	1822.0	125.0	440.0	556.5	920.25	2313.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__	168.0	517.25	595.0	946.0	2040.0	20.0	409.5	632.0	765.5	1478.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__	118.0	173.75	211.0	254.25	398.0	124.0	185.75	220.0	261.0	663.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__	32.0	126.5	159.0	224.75	362.0	47.0	107.75	152.0	190.75	307.0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__	34.0	89.0	109.0	144.75	258.0	1.0	83.25	123.5	157.0	267.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	213.0	319.75	369.5	496.0	737.0	168.0	281.75	351.0	440.5	608.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__	22.0	92.5	107.0	147.0	314.0	4.0	66.5	86.5	103.5	281.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	133.0	222.5	265.0	345.75	559.0	160.0	229.5	275.0	415.25	658.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	192.0	296.5	399.0	434.25	520.0	87.0	284.0	325.0	435.25	566.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Microlunatus	40.0	108.25	134.5	180.25	315.0	1.0	94.75	149.5	177.0	268.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;__	56.0	98.0	125.5	156.5	183.0	29.0	100.25	125.0	150.0	225.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	358.0	552.0	637.0	725.0	858.0	309.0	588.0	643.5	780.0	1019.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	45.0	128.0	160.0	185.0	230.0	1.0	94.0	154.5	183.5	234.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__;g__	13.0	28.5	33.5	50.75	149.0	1.0	21.75	35.5	50.5	114.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	9.0	27.75	43.0	81.0	429.0	13.0	26.5	50.5	98.75	172.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__	9.0	65.5	97.5	126.0	210.0	1.0	58.75	91.0	141.5	216.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__	270.0	458.75	527.5	577.5	845.0	112.0	418.25	490.0	564.75	758.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter	1.0	24.0	35.5	58.5	142.0	1.0	25.75	39.5	62.0	100.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	33.0	45.75	57.5	65.5	91.0	1.0	45.25	58.5	67.0	93.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__	1.0	85.75	120.5	144.5	288.0	1.0	54.0	82.5	123.0	214.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	154.0	302.0	378.5	467.5	693.0	11.0	303.0	369.5	441.75	585.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__Ilumatobacter	57.0	113.5	145.0	178.25	325.0	5.0	104.25	136.5	156.0	250.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__	35.0	62.5	74.0	88.75	127.0	1.0	63.5	78.0	90.75	183.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;__	14.0	30.25	50.5	68.25	108.0	1.0	25.75	52.0	73.5	101.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__	1.0	27.75	38.0	52.5	70.0	11.0	27.75	47.0	59.5	100.0
