id	clr	W
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;__	-0.011010041530867487	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	-0.3887806231100138	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	-0.31109034853196416	0
k__Bacteria;__;__;__;__;__	-0.18724348324291107	1
k__Bacteria;p__;c__;o__;f__;g__	-0.17414721386048848	1
k__Bacteria;p__Acidobacteria;__;__;__;__	0.045931782155716805	0
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	-0.1937113687243992	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	0.4296498979404588	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;__;__;__	-0.26520998587897093	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	0.09376639861402136	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	0.18535431093268873	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	-0.029183872439008773	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	0.20527087523720233	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	0.09725434364533614	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;__;__	0.10725385725828518	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__	-0.044984084057653306	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidicapsa	0.12840232370619353	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidopila	0.2554355892987886	0
