id	clr	W
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;__	0.032041464194704196	9
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	2.2370676758679657	13
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	1.0590757673709725	9
k__Bacteria;__;__;__;__;__	0.19035241974670192	14
k__Bacteria;p__;c__;o__;f__;g__	1.4982644436909724	8
k__Bacteria;p__Acidobacteria;__;__;__;__	3.991126854403736	27
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	11.456924083608778	45
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	10.127448243463864	200
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;__;__;__	6.292286977225835	16
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	9.002544519041603	141
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	3.085664528701609	14
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0.6411736182491447	20
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	22.290491684887684	379
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	4.856503955125034	11
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;__;__	5.940547772048918	17
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__	7.668281225639391	33
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidicapsa	0.7569892465497327	15
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidopila	4.344397779606685	18
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter	1.1959927787627087	25
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella	1.5385627550046663	20
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Telmatobacter	7.536734859850944	36
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	0.9605178371957671	6
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;__	2.628319078538356	26
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__	18.589453166230193	355
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter	6.050023499410889	26
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__	0.16666783838746593	3
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	6.05939826027364	22
k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__;g__	2.567976832309531	27
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga	2.6366045357431926	27
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__	4.6875117764600915	24
k__Bacteria;p__Acidobacteria;c__RB25;o__;f__;g__	2.134776892751629	5
k__Bacteria;p__Acidobacteria;c__S035;o__;f__;g__	0.09457254370076658	4
