id	clr	W
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;__	0.25336172158762815	12
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	-0.4617514353072059	9
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	-0.2946361938097761	2
k__Bacteria;__;__;__;__;__	0.00036547515561258237	6
k__Bacteria;p__;c__;o__;f__;g__	0.3909633441229641	4
k__Bacteria;p__Acidobacteria;__;__;__;__	-0.11822071889612129	17
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	-0.47675874131722895	17
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	0.2481636384782686	2
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;__;__;__	0.9302127252026056	10
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	0.7054535772705837	17
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	0.5970488436643011	19
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0.13136011211651244	14
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	1.1601896545929096	14
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	1.1047921286111344	14
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;__;__	-1.3900233037074616	13
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__	-1.4441428318648053	170
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidicapsa	0.05838461029717856	18
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidopila	-1.20813069006851	31
