id	clr	W
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;__	3.537587005004727	5
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	6.148577144247874	16
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	4.107598509221312	11
k__Bacteria;__;__;__;__;__	1.0359625905911471	0
k__Bacteria;p__;c__;o__;f__;g__	1.0206282384244028	1
k__Bacteria;p__Acidobacteria;__;__;__;__	1.475676199872936	2
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	1.0560935511447795	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	1.4824239297284798	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;__;__;__	0.5318070859582936	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	0.5780130528269497	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	0.7309295786767385	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0.7787055779220626	2
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	0.2849583055075915	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	0.11973563497039844	1
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;__;__	1.3114229995942575	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__	1.165198099536711	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidicapsa	1.3658561844993962	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidopila	0.7382458033394175	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter	0.5993710583758274	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella	1.0484661045580632	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Telmatobacter	0.9777883838620127	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	1.5253677544612938	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;__	1.1595237878080507	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__	0.7907024620869347	1
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter	1.3537327150911524	0
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__	0.973710545807978	0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	0.831760949790263	0
k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__;g__	1.570992609088206	2
