Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	1940-60	1940-60	1940-60	1940-60	1940-60	1981-2000	1981-2000	1981-2000	1981-2000	1981-2000	2001-2010	2001-2010	2001-2010	2001-2010	2001-2010	2011-2020	2011-2020	2011-2020	2011-2020	2011-2020
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1430.0	1.0	1.0	1.0	1.0	4385.0	1.0	1.0	1.0	1.0	2055.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__	557.0	588.75	620.5	652.25	684.0	561.0	1011.5	1159.0	1599.75	2603.0	563.0	1117.0	1516.0	1946.0	3244.0	444.0	1306.5	1564.0	1957.5	9199.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__	827.0	1066.25	1305.5	1544.75	1784.0	143.0	1044.25	1741.5	2741.75	3967.0	204.0	1298.0	1673.0	2009.0	2699.0	205.0	946.5	1417.0	1972.0	4612.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__	288.0	291.5	295.0	298.5	302.0	279.0	621.0	753.0	892.25	952.0	174.0	348.0	575.0	808.0	1188.0	190.0	280.5	373.0	703.5	1733.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__	241.0	251.25	261.5	271.75	282.0	148.0	245.25	537.5	729.25	1320.0	45.0	245.0	453.0	553.0	862.0	92.0	206.0	339.0	455.5	1511.0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__	88.0	104.0	120.0	136.0	152.0	36.0	261.25	300.5	351.75	962.0	67.0	226.0	321.0	470.0	602.0	28.0	172.0	301.0	435.5	628.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	601.0	658.75	716.5	774.25	832.0	406.0	693.75	908.0	1133.0	1436.0	297.0	597.0	1075.0	1391.0	2043.0	252.0	542.5	817.0	1243.5	3380.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__	167.0	222.25	277.5	332.75	388.0	36.0	179.5	290.5	403.75	780.0	22.0	194.0	285.0	328.0	396.0	35.0	126.0	213.0	325.5	448.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	390.0	417.0	444.0	471.0	498.0	367.0	723.5	938.0	1237.75	1675.0	253.0	358.0	617.0	1008.0	1479.0	286.0	393.5	497.0	857.0	1825.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	487.0	498.0	509.0	520.0	531.0	299.0	728.5	1032.5	1454.0	1967.0	281.0	634.0	860.0	1610.0	2096.0	342.0	497.0	624.0	1368.0	2377.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Microlunatus	135.0	147.25	159.5	171.75	184.0	61.0	268.0	338.0	428.75	903.0	123.0	229.0	390.0	813.0	1258.0	56.0	191.5	276.0	518.0	788.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;__	87.0	114.0	141.0	168.0	195.0	138.0	350.75	387.5	548.25	697.0	115.0	186.0	383.0	429.0	559.0	141.0	200.5	255.0	329.5	637.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	467.0	542.75	618.5	694.25	770.0	820.0	1258.25	1658.5	2049.5	2702.0	611.0	967.0	1782.0	2401.0	3274.0	466.0	888.5	1605.0	2271.5	3140.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	109.0	151.75	194.5	237.25	280.0	89.0	270.75	468.0	692.5	971.0	59.0	237.0	379.0	593.0	704.0	55.0	184.5	386.0	473.5	756.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__;g__	48.0	50.0	52.0	54.0	56.0	9.0	76.75	91.0	122.0	337.0	38.0	56.0	85.0	265.0	565.0	6.0	38.5	70.0	121.5	300.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	94.0	194.0	294.0	394.0	494.0	52.0	92.75	135.5	168.5	233.0	26.0	74.0	116.0	163.0	304.0	18.0	56.5	80.0	182.5	397.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__	60.0	63.5	67.0	70.5	74.0	58.0	157.25	311.0	367.5	600.0	92.0	170.0	289.0	390.0	594.0	73.0	126.5	241.0	375.0	613.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__	778.0	817.25	856.5	895.75	935.0	358.0	895.25	1257.0	1618.75	2228.0	536.0	750.0	1389.0	1991.0	2964.0	461.0	717.5	1136.0	1548.5	2416.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter	1.0	7.0	13.0	19.0	25.0	21.0	42.5	59.5	116.25	187.0	27.0	63.0	98.0	132.0	207.0	24.0	65.5	114.0	207.5	319.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	72.0	74.25	76.5	78.75	81.0	26.0	107.5	192.0	254.75	343.0	42.0	98.0	152.0	223.0	281.0	15.0	84.0	110.0	172.5	247.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__	170.0	176.5	183.0	189.5	196.0	1.0	166.75	318.5	492.0	531.0	1.0	182.0	295.0	375.0	565.0	21.0	110.0	183.0	263.5	572.0
