#SampleID	Year_group
#q2:types	categorical
Whitelands_2018_19_	2011-2020
Castle_Field_West__W_	2001-2010
Toposcope_Field_-_1980s	1981-2000
Bradenham_post-1986_b	1981-2000
Lardon_Chase_The_Holies_motorcycle	2001-2010
Stonehenge_2000_2017a	1981-2000
Stonehenge_2003_2017b	2001-2010
Stonehenge_2009	2001-2010
Stonehenge_2007_2016	2001-2010
Stonehenge_2005	2001-2010
Stonehenge_2002_2017	2001-2010
Stonehenge_2010	2001-2010
Stonehenge_2011	2011-2020
Stonehenge_-_Luxenborough_BankB	1981-2000
Watlington_natural_reversion	1981-2000
St_Catherines_A3	1981-2000
HARLEY_FARMS_Chittern	2011-2020
HARLEY_FARMS_New1	2011-2020
HARLEY_FARMS_new2b	2011-2020
WINDMILL_farm	1981-2000
DRUIDS	2001-2010
Stratton_Wood	1981-2000
WESTMEAD_FARM	1981-2000
RSPB_orig_green	2001-2010
RSPB_churchil	2001-2010
RSPB_junction	2001-2010
RSPB_Mainline	2011-2020
Baltic_farm_1	2001-2010
Baltic_farm_2	1981-2000
WestEndFarm	2011-2020
HorntonHouseFarm_1_parallel	2011-2020
TownsendFarm_1	2011-2020
TownsendFarm_2	2001-2010
TownsendFarm_3_big	2011-2020
ChurchFarm	2011-2020
StowellFarms_1_adj	2011-2020
MannorFmAltonBarnes	2011-2020
HommingtonFarm	2011-2020
ThropeManor_1	2001-2010
ThropeManor_2	1981-2000
ThropeManor_3	1981-2000
MannorFmBroadChalke	2001-2010
BigleyFm_1	2011-2020
BigleyFm_2	2011-2020
NorringtonMannorFm_1	2001-2010
NorringtonMannorFm_2	2001-2010
ManorFmBerwickStJohn_1	2011-2020
ManorFmBerwickStJohn_3	2011-2020
Jemma_1	2001-2010
Jemma_2	2001-2010
Jemma_7	2011-2020
Jemma_4	2011-2020
Jemma_5	2011-2020
Jemma_6	2011-2020
Jemma_9	2011-2020
HomeFarm_WoodlandTrust_Hampshire_good_1c	1981-2000
Crux_easton_70b1	1981-2000
Crux_easton_70b2	2001-2010
Martin_Down_arabel_reversion	1940-60
Parsonage_down_reversion	1940-60
