id	clr	W
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;__	0.2391728042347412	5
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	0.3634761012283859	8
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0.1617657724192576	0
k__Bacteria;__;__;__;__;__	-0.12487429242960602	4
k__Bacteria;p__;c__;o__;f__;g__	0.2542449937486504	0
k__Bacteria;p__Acidobacteria;__;__;__;__	0.027325929390228598	5
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	-0.13556129508504888	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	-0.16043232302405797	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;__;__;__	0.5602604504539259	5
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	0.30222554970843163	1
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	0.32912429051284553	2
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0.0863971130664618	5
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	0.5182237343178389	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	0.7332583405327799	5
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;__;__	-0.672403320993587	1
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__	-0.6218539402611515	1
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidicapsa	0.013937058109045664	2
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidopila	-0.7732159222968942	10
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter	-0.04244937645807556	4
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella	-0.005965352084562614	2
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Telmatobacter	-0.34900241084690353	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	-0.2238593556072045	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;__	0.01860829083108384	6
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__	-0.5456984468111161	3
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter	-0.524348835418864	1
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__	0.5094129551926239	3
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	-0.8622026963624934	3
k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__;g__	0.027325929390228598	4
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga	0.12719977381460212	7
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__	0.22725007324870528	2
k__Bacteria;p__Acidobacteria;c__RB25;o__;f__;g__	0.18562073271013693	0
k__Bacteria;p__Acidobacteria;c__S035;o__;f__;g__	-0.27183566638292156	2
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;__;__	-0.7922270713543096	9
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	-0.2013211033358473	1
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__AKIW659;g__	0.011846365033683526	4
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PK34;g__	-0.04464654890615877	0
