Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	AboveMedian	AboveMedian	AboveMedian	AboveMedian	AboveMedian	BelowMedian	BelowMedian	BelowMedian	BelowMedian	BelowMedian
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	1.0	1.0	1.0	1.0	2227.0	1.0	1.0	1.0	1.0	1550.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__	270.0	438.0	599.0	735.0	1326.0	125.0	446.0	549.0	949.0	2313.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__	413.0	583.0	725.0	1050.0	2040.0	20.0	335.0	542.0	671.0	1244.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__	118.0	151.0	183.0	229.0	269.0	152.0	209.0	238.0	305.0	663.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__	49.0	121.0	162.0	242.0	345.0	32.0	110.0	150.0	172.0	362.0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__	34.0	86.0	116.0	161.0	267.0	1.0	89.0	124.0	150.0	258.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	213.0	319.0	372.0	493.0	737.0	168.0	274.0	348.0	395.0	643.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__	60.0	93.0	123.0	150.0	314.0	4.0	48.0	86.0	95.0	231.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	133.0	195.0	238.0	302.0	559.0	196.0	259.0	341.0	441.0	658.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	230.0	281.0	330.0	422.0	520.0	87.0	298.0	399.0	438.0	566.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Microlunatus	40.0	111.0	139.0	174.0	261.0	1.0	99.0	145.0	187.0	315.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;__	56.0	98.0	122.0	149.0	225.0	29.0	100.0	134.0	158.0	216.0
