	shannon_entropy
Whitelands_2018/19_	9.020046425364695
Castle_Field_West_(W)	8.613462986027939
Toposcope_Field_-_1980s	8.897735684479253
Bradenham_post-1986_b	8.904905840164394
Lardon_Chase_The_Holies_motorcycle	6.729938871942827
Stonehenge_2000_2017a	8.90698934595663
Stonehenge_2003_2017b	8.862937054596149
Stonehenge_2009	8.94701887510435
Stonehenge_2007_2016	8.898632940366875
Stonehenge_2005	8.909653609500536
Stonehenge_2002_2017	8.878373544416386
Stonehenge_2010	8.806172087238584
Stonehenge_2011	9.00554765946919
Stonehenge_-_Luxenborough_BankB	8.928229380444781
Watlington_natural_reversion	8.727445023398083
St_Catherines_A3	8.549949866337565
HARLEY_FARMS_Chittern	8.935713024065338
HARLEY_FARMS_New1	8.895994781730833
HARLEY_FARMS_new2b	8.922860924019703
WINDMILL_farm	8.213697657497132
DRUIDS	8.656824391070574
Stratton_Wood	8.696640747066603
WESTMEAD_FARM	8.57972482980512
RSPB_orig_green	8.851417759473673
RSPB_churchil	8.627751741668618
RSPB_junction	8.948669354742224
RSPB_Mainline	8.78930774809148
Baltic_farm_1	7.6304211517849705
Baltic_farm_2	8.243804837767897
WestEndFarm	7.762342490828104
HorntonHouseFarm_1_parallel	8.528577389760363
TownsendFarm_1	8.562041013279769
TownsendFarm_2	8.717860324083533
TownsendFarm_3_big	8.71255672325151
ChurchFarm	8.857432136671052
StowellFarms_1_adj	7.4510907215965965
MannorFmAltonBarnes	8.360001621688443
HommingtonFarm	8.583240240914613
ThropeManor_1	7.461698180507585
ThropeManor_2	7.441291386011132
ThropeManor_3	7.998617987124198
MannorFmBroadChalke	8.18273524898719
BigleyFm_1	7.507273109523222
BigleyFm_2	7.302066274495846
NorringtonMannorFm_1	8.04123419804147
NorringtonMannorFm_2	8.397943633419041
ManorFmBerwickStJohn_1	7.740059198695376
ManorFmBerwickStJohn_3	7.7690814968761055
Jemma_1	8.13209742780193
Jemma_2	8.14809306125365
Jemma_7	8.258336189653855
Jemma_4	7.83915841024609
Jemma_5	8.591031358526982
Jemma_6	8.665255637297689
Jemma_9	7.854591605175745
HomeFarm_WoodlandTrust_Hampshire_good_1c	8.088763979229014
Crux_easton_70b1	8.31682086212496
Crux_easton_70b2	8.436455910161978
Martin_Down_arabel_reversion	7.654084044646751
Parsonage_down_reversion	7.768939185481822
TARGET_MartinDown	7.566321046659255
TARGET_St_Catherines	7.426047612328685
TARGET_ParsonageDown	7.367308300115529
TARGET_KNEPP_A New_Barn_Field	7.657885162593486
Knepp_Pond_field	7.076393769629318
Knepp_Benton_field	7.789477573057903
