Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),2.4492753623188435,0.11757913661869307,0.6289937320764856
0-10 (n=23),11-20 (n=24),0.0452898550724683,0.8314719399523026,0.9423550974283895
0-10 (n=23),21-30 (n=11),0.01660079051383434,0.8974810451698947,0.9423550974283895
0-10 (n=23),31-40 (n=3),0.7101449275362484,0.3993957036668485,0.7739083350579805
0-10 (n=23),61-70 (n=1),0.13043478260870245,0.7179816667337696,0.9423509375880726
0-10 (n=23),71-100 (n=1),0.42260869565217263,0.5156382177966414,0.9023668811441226
100+ (n=3),11-20 (n=24),3.1488095238095184,0.07598237857716962,0.6289937320764856
100+ (n=3),21-30 (n=11),4.4181818181818215,0.03555790569992092,0.6289937320764856
100+ (n=3),31-40 (n=3),2.3333333333333286,0.1266304579476181,0.6289937320764856
100+ (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.6289937320764856
100+ (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.6289937320764856
11-20 (n=24),21-30 (n=11),0.001262626262644062,0.9716543717923435,0.9716543717923435
11-20 (n=24),31-40 (n=3),0.857142857142847,0.3545394797735042,0.7739083350579805
11-20 (n=24),61-70 (n=1),0.07692307692309441,0.7815112949986892,0.9423550974283895
11-20 (n=24),71-100 (n=1),0.6923076923076934,0.4053805564589422,0.7739083350579805
21-30 (n=11),31-40 (n=3),0.15151515151515582,0.6970916100059593,0.9423509375880726
21-30 (n=11),61-70 (n=1),0.020979020979019936,0.8848361221226188,0.9423550974283895
21-30 (n=11),71-100 (n=1),1.0279720279720337,0.3106354563373966,0.7739083350579805
31-40 (n=3),61-70 (n=1),0.1999999999999993,0.6547208460185774,0.9423509375880726
31-40 (n=3),71-100 (n=1),0.1999999999999993,0.6547208460185774,0.9423509375880726
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.7739083350579805
