id	Year_est	Age	Establishment	Cutting	Cattle	Sheep	Plough	Year_group	Age_group	Age_binary	pH_binary	pielou_evenness
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
Whitelands_2018_19_	2018	3	seed_mix	no	no	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	0.931138743856958
Castle_Field_West__W_	2002	19	seed_mix	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	0.918292433042374
Toposcope_Field_-_1980s	1985	36	Natural_regen	no	yes	yes	no	1981-2000	31-40	AboveMedian	AboveMedian	0.928196616282732
Bradenham_post-1986_b	1986	35	seed_mix	no	yes	yes	yes	1981-2000	31-40	AboveMedian	BelowMedian	0.925533066453418
Lardon_Chase_The_Holies_motorcycle	2007	14	Natural_regen	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	0.780593288061736
Stonehenge_2000_2017a	2000	21	Green_hay_bush	no	yes	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	0.926660593212214
Stonehenge_2003_2017b	2003	18	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	0.92199083273803
Stonehenge_2009	2009	12	Green_hay_bush	no	no	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	0.921913971548564
Stonehenge_2007_2016	2007	14	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	0.922012117994043
Stonehenge_2005	2005	16	Green_hay_bush	no	no	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	0.930074994324144
Stonehenge_2002_2017	2002	19	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	0.923202030553848
Stonehenge_2010	2010	11	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	0.919835764085464
Stonehenge_2011	2011	10	Green_hay_bush	no	yes	yes	yes	2011-2020	0-10	BelowMedian	BelowMedian	0.925651249766013
