Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),7.666666666666671,0.0056250277057542115,0.11441171905156883
0-10 (n=23),11-20 (n=24),0.06521739130434412,0.7984319648086486,0.8824774347885064
0-10 (n=23),21-30 (n=11),0.01660079051383434,0.8974810451698947,0.9423550974283895
0-10 (n=23),31-40 (n=3),1.5475040257648942,0.21350429283368,0.298906009967152
0-10 (n=23),61-70 (n=1),2.760000000000005,0.09664823731222794,0.2885691836772249
0-10 (n=23),71-100 (n=1),2.300869565217397,0.12930159289480816,0.2885691836772249
100+ (n=3),11-20 (n=24),6.482142857142847,0.010896354195387507,0.11441171905156883
100+ (n=3),21-30 (n=11),3.2060606060606034,0.07336592680281469,0.2885691836772249
100+ (n=3),31-40 (n=3),3.857142857142854,0.049534613435626915,0.2885691836772249
100+ (n=3),61-70 (n=1),0.1999999999999993,0.6547208460185774,0.7638409870216737
100+ (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.2885691836772249
11-20 (n=24),21-30 (n=11),0.001262626262644062,0.9716543717923435,0.9716543717923435
11-20 (n=24),31-40 (n=3),3.1488095238095184,0.07598237857716962,0.2885691836772249
11-20 (n=24),61-70 (n=1),2.3269230769230944,0.1271529926000121,0.2885691836772249
11-20 (n=24),71-100 (n=1),1.923076923076934,0.1655178586974648,0.2885691836772249
21-30 (n=11),31-40 (n=3),1.7515151515151501,0.18568637005052918,0.2885691836772249
21-30 (n=11),61-70 (n=1),1.6993006993007072,0.19237945578481658,0.2885691836772249
21-30 (n=11),71-100 (n=1),1.0279720279720337,0.3106354563373966,0.39197180383065494
31-40 (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.2885691836772249
31-40 (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.2885691836772249
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.39197180383065494
