Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),6.391304347826093,0.011468073022237483,0.142323993680564
0-10 (n=23),11-20 (n=24),0.08876811594203105,0.7657491214606578,0.846354292140727
0-10 (n=23),21-30 (n=11),0.01660079051383434,0.8974810451698947,0.9423550974283895
0-10 (n=23),31-40 (n=3),1.753623188405797,0.18542189470595588,0.3249511475884261
0-10 (n=23),61-70 (n=1),2.300869565217397,0.12930159289480816,0.3249511475884261
0-10 (n=23),71-100 (n=1),1.507826086956527,0.2194711061096979,0.3545302483310504
100+ (n=3),11-20 (n=24),6.095238095238088,0.013554666064815618,0.142323993680564
100+ (n=3),21-30 (n=11),3.787878787878789,0.0516250333942387,0.27103142531975316
100+ (n=3),31-40 (n=3),3.857142857142854,0.049534613435626915,0.27103142531975316
100+ (n=3),61-70 (n=1),0.1999999999999993,0.6547208460185774,0.7638409870216737
100+ (n=3),71-100 (n=1),0.1999999999999993,0.6547208460185774,0.7638409870216737
11-20 (n=24),21-30 (n=11),1.4210854715202004e-14,0.9999999048847483,0.9999999048847483
11-20 (n=24),31-40 (n=3),2.3809523809523796,0.12282264810139236,0.3249511475884261
11-20 (n=24),61-70 (n=1),1.923076923076934,0.1655178586974648,0.3249511475884261
11-20 (n=24),71-100 (n=1),1.923076923076934,0.1655178586974648,0.3249511475884261
21-30 (n=11),31-40 (n=3),1.7515151515151501,0.18568637005052918,0.3249511475884261
21-30 (n=11),61-70 (n=1),1.0279720279720337,0.3106354563373966,0.4164700415700709
21-30 (n=11),71-100 (n=1),1.0279720279720337,0.3106354563373966,0.4164700415700709
31-40 (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.3249511475884261
31-40 (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.3249511475884261
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.4164700415700709
