#SampleID	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough	Year_est_clean	Age_clean	Year_group	Age_group
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	categorical	numeric	numeric	categorical	categorical
Whitelands_2018/19_	2018	3	SU2990087100	51.581972; -1.5698756	seed_mix	8.03	136.4	no	no	yes	yes	2018	3	2011-2020	0-10
Castle_Field_West_(W)	2002	19	SU2950086200	51.573901; -1.5757235	seed_mix	7.93	139.3	no	yes	yes	yes	2002	19	2001-2010	11-20
Toposcope_Field_-_1980s	1985	36	SU2950086600	51.577497; -1.5756901	Natural_regen	7.94	139.7	no	yes	yes	no	1985	36	1981-2000	31-40
Bradenham_post-1986_b	1986	35	SU8290097718	51.672127; -0.80258692	seed_mix	7.84	151.7	no	yes	yes	yes	1986	35	1981-2000	31-40
Lardon_Chase_The_Holies_motorcycle	2007	14	SU5930079800	51.514021; -1.1468383	Natural_regen	7.94	135.7	no	no	yes	no	2007	14	2001-2010	11-20
Stonehenge_2000_2017a	2000	21	SU1370042400	51.180671; -1.8053828	Green_hay/bush	7.88	144.3	no	yes	yes	yes	2000	21	1981-2000	21-30
Stonehenge_2003_2017b	2003	18	SU1150041600	51.173525; -1.8368821	Green_hay/bush	7.69	184.4	no	yes	yes	yes	2003	18	2001-2010	11-20
Stonehenge_2009	2009	12	SU1050041700	51.174443; -1.8511833	Green_hay/bush	7.82	156.5	no	no	yes	yes	2009	12	2001-2010	11-20
Stonehenge_2007_2016	2007	14	SU1100041900	51.176233; -1.8440251	Green_hay/bush	7.87	158.8	no	yes	yes	yes	2007	14	2001-2010	11-20
Stonehenge_2005	2005	16	SU1140042200	51.178922; -1.8382937	Green_hay/bush	7.85	145	no	no	yes	yes	2005	16	2001-2010	11-20
Stonehenge_2002_2017	2002	19	SU1480043200	51.187837; -1.7896132	Green_hay/bush	7.91	130.3	no	yes	yes	yes	2002	19	2001-2010	11-20
Stonehenge_2010	2010	11	SU1070043000	51.186129; -1.8482842	Green_hay/bush	7.69	202	no	yes	yes	yes	2010	11	2001-2010	11-20
Stonehenge_2011	2011	10	SU1050043600	51.191528; -1.8511284	Green_hay/bush	7.85	174.3	no	yes	yes	yes	2011	10	2011-2020	0-10
Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193; -1.8168457	Green_hay/bush	7.78	186.6	yes	no	yes	yes	2000	21	1981-2000	21-30
Watlington_natural_reversion	2000	21	SU7050293600	51.636798; -0.98266944	Natural_regen	7.8	147.5	no	no	yes	no	2000	21	1981-2000	21-30
